INDUSTRIAL DIAMOND STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: April 06, 2020
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	0	NA	NA	NA	NA	NA	0.022	28400000	557000000	NA
1901	0	NA	NA	NA	NA	NA	0.031	26800000	525000000	NA
1902	0	NA	NA	NA	NA	NA	0.03	27000000	509000000	NA
1903	0	NA	NA	NA	NA	NA	0.027	27500000	500000000	NA
1904	0	NA	NA	NA	NA	NA	0.018	29300000	533000000	NA
1905	0	NA	NA	NA	NA	NA	0.0056	35000000	637000000	NA
1906	0	NA	NA	NA	NA	NA	0.0077	33400000	607000000	NA
1907	0	NA	NA	NA	NA	NA	0.022	28400000	498000000	NA
1908	0	NA	NA	NA	NA	NA	0.031	26800000	487000000	NA
1909	0	NA	NA	NA	NA	NA	0.03	27000000	490000000	NA
1910	0	NA	NA	NA	NA	NA	0.0081	33100000	580000000	NA
1911	0	NA	NA	NA	NA	NA	0.0096	32200000	565000000	NA
1912	0	NA	NA	NA	NA	NA	0.019	29000000	491000000	NA
1913	0	NA	NA	NA	NA	NA	0.02	28800000	474000000	NA
1914	0	NA	NA	NA	NA	NA	0.023	28100000	458000000	NA
1915	0	NA	NA	NA	NA	NA	0.015	30100000	486000000	NA
1916	0	NA	NA	NA	NA	NA	0.034	26400000	395000000	NA
1917	0	NA	NA	NA	NA	NA	0.06	24200000	308000000	NA
1918	0	NA	NA	NA	NA	NA	0.048	25100000	271000000	NA
1919	0	NA	NA	NA	NA	NA	0.11	22100000	208000000	NA
1920	0	NA	NA	NA	NA	NA	0.16	20700000	168000000	NA
1921	0	NA	NA	NA	NA	NA	0.016	29900000	272000000	NA
1922	0	NA	NA	NA	NA	NA	0.04	25800000	250000000	NA
1923	0	NA	NA	NA	NA	NA	0.0067	34000000	324000000	NA
1924	0	NA	0.0268	NA	NA	NA	0.027	51400000	490000000	NA
1925	0	NA	0.0789	NA	NA	NA	0.079	34700000	324000000	NA
1926	0	NA	0.00354	NA	NA	NA	0.0035	58800000	539000000	NA
1927	0	NA	0.00725	NA	NA	NA	0.0073	305000000	2850000000	NA
1928	0	NA	0.00787	NA	NA	NA	0.0079	354000000	3380000000	NA
1929	0	NA	0.0103	NA	NA	NA	0.01	403000000	3840000000	NA
1930	0	NA	0.0302	NA	NA	NA	0.03	94300000	925000000	NA
1931	0	NA	0.0452	NA	NA	NA	0.045	53600000	573000000	NA
1932	0	NA	0.0329	NA	NA	NA	0.033	32600000	389000000	NA
1933	0	NA	0.0533	NA	NA	NA	0.053	24600000	309000000	NA
1934	0	NA	0.106	NA	NA	NA	0.11	27800000	338000000	NA
1935	0	NA	0.192	NA	NA	NA	0.19	22900000	272000000	NA
1936	0	NA	0.234	NA	NA	NA	0.23	18800000	222000000	NA
1937	0	NA	0.378	NA	NA	NA	0.38	17900000	203000000	NA
1938	0	NA	0.279	NA	NA	NA	0.28	15400000	178000000	2.2
1939	0	NA	0.714	NA	NA	NA	0.71	13700000	161000000	2.2
1940	0	NA	0.762	NA	NA	NA	0.76	14500000	169000000	2.85
1941	0	NA	1.38	NA	NA	NA	1.4	10800000	120000000	1.87
1942	0	NA	2.24	0.00909	NA	NA	2.2	9850000	98600000	1.94
1943	0	NA	2.44	0.0233	NA	NA	2.4	9030000	85200000	2.01
1944	0	NA	2.53	0.0239	NA	NA	2.5	9070000	84000000	2.09
1945	0	NA	2.16	0.0184	NA	NA	2.1	5970000	54300000	2.16
