IRON AND STEEL STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) unless otherwise noted]
Last modification: November 2, 2019.
STEEL STATISTICS
Year	Steel product shipments	Raw steel production	Imports	Exports	Semifinished imports	Stock changes	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	9490000	9240000	NA	NA	NA	NA	9500000	35.5	697	NA
1901	12300000	12200000	NA	NA	NA	NA	12000000	31.8	623	NA
1902	13900000	13600000	NA	NA	NA	NA	14000000	34.8	645	NA
1903	13200000	13200000	NA	NA	NA	NA	13000000	34.4	627	NA
1904	12000000	12600000	NA	NA	NA	NA	12000000	29.3	481	NA
1905	16800000	18200000	NA	NA	NA	NA	17000000	32.6	593	NA
1906	19600000	21200000	NA	NA	NA	NA	20000000	33.3	606	NA
1907	19900000	21200000	NA	NA	NA	NA	20000000	35.3	608	NA
1908	11800000	12700000	NA	NA	NA	NA	12000000	32.6	593	NA
1909	19600000	21700000	NA	NA	NA	NA	20000000	28.9	525	NA
1910	21600000	23700000	NA	NA	NA	NA	22000000	31.5	553	NA
1911	19000000	21500000	NA	NA	NA	NA	19000000	27.8	487	NA
1912	24700000	28300000	NA	NA	NA	NA	25000000	27.6	468	NA
1913	24800000	28400000	NA	NA	NA	NA	25000000	30.4	501	NA
1914	18400000	21300000	127000	1210000	NA	NA	17300000	25.4	414	NA
1915	24400000	29100000	174000	3010000	NA	NA	21600000	28.9	466	NA
1916	32400000	38700000	170000	5000000	NA	NA	27600000	54.7	817	NA
1917	33100000	40600000	216000	5240000	NA	NA	28100000	76.9	980	NA
1918	31200000	39900000	113000	4600000	NA	NA	26700000	63.7	688	NA
1919	25100000	31100000	195000	3700000	NA	NA	21600000	53.6	505	NA
1920	32300000	37800000	203000	4250000	NA	NA	28300000	65.9	537	NA
1921	14800000	17800000	71700	1980000	NA	NA	12900000	41.7	379	NA
1922	26500000	32000000	193000	1730000	NA	NA	25000000	37.5	364	NA
1923	33300000	40300000	219000	1520000	NA	NA	32000000	51.4	490	NA
1924	28100000	34000000	152000	1560000	NA	NA	26700000	48.5	462	NA
1925	33400000	40600000	171000	1510000	NA	NA	32100000	45	419	NA
1926	35500000	43200000	188000	1850000	NA	NA	33800000	43.9	404	NA
1927	32900000	40200000	121000	1720000	NA	NA	31300000	40.6	380	NA
1928	37700000	46000000	139000	2060000	NA	NA	35800000	41.2	393	NA
1929	41100000	50300000	155000	2210000	NA	NA	39000000	42.3	403	NA
1930	29500000	36400000	293000	1440000	NA	NA	28400000	38.1	372	NA
1931	19200000	23500000	278000	740000	NA	NA	18700000	35.9	385	NA
1932	10500000	12400000	202000	328000	NA	NA	10400000	34.8	415	NA
1933	16700000	21100000	176000	510000	NA	NA	16400000	36.2	453	NA
1934	19000000	23600000	144000	871000	NA	NA	18300000	39.9	485	NA
1935	24000000	27700000	255000	868000	NA	NA	23400000	39.7	472	NA
1936	33800000	43300000	374000	1100000	NA	NA	33100000	42.3	496	NA
1937	36800000	45900000	266000	512000	NA	NA	36600000	52.9	599	NA
1938	23500000	25700000	151000	375000	NA	NA	23300000	51.8	599	NA
1939	39000000	60800000	174000	2360000	NA	NA	36800000	48.3	566	NA
1940	48700000	78000000	19700	7340000	NA	NA	41400000	47.4	552	NA
1941	62300000	75200000	16200	5930000	NA	NA	56400000	47.4	526	NA
1942	60900000	78000000	22500	6470000	NA	NA	54500000	47.4	474	NA
1943	60600000	80600000	16000	6370000	NA	NA	54200000	47.4	447	172000000
1944	59600000	81300000	51000	5350000	NA	NA	54300000	47.4	439	164000000
1945	53800000	72300000	69000	1940000	NA	NA	51900000	48.7	441	101000000
1946	46400000	60400000	23200	1770000	NA	NA	44700000	54.5	455	123000000
1947	59100000	77000000	31000	2680000	NA	NA	56500000	60	438	123000000
1948	66000000	80400000	142000	1920000	NA	NA	64200000	68.1	461	141000000
1949	58100000	70700000	277000	2060000	NA	NA	56300000	73.9	506	145000000
1950	72200000	87800000	1000000	1260000	NA	NA	71900000	76.5	517	189000000
1951	78900000	95400000	2080000	1410000	NA	NA	79600000	81.6	511	211000000
1952	68000000	84500000	1130000	4040000	NA	NA	65100000	83.3	513	211000000
1953	80200000	101000000	1590000	3050000	NA	NA	78700000	89.3	545	235000000
1954	63200000	80100000	811000	2810000	NA	NA	61200000	93	564	224000000
1955	84700000	106000000	995000	4060000	NA	NA	81600000	98.6	599	269000000
1956	83300000	105000000	1370000	4310000	NA	NA	80400000	106	635	284000000
1957	79900000	102000000	1170000	5370000	NA	NA	75700000	116	671	293000000
1958	59900000	77300000	1650000	2930000	NA	NA	58600000	118	665	271000000
1959	69400000	84800000	4190000	1790000	NA	NA	71800000	125	702	305000000
1960	71100000	90100000	3240000	2950000	NA	NA	71400000	125	690	346000000
1961	66100000	88900000	3000000	2010000	NA	NA	67100000	125	683	352000000
1962	70600000	89200000	3900000	2060000	NA	NA	72400000	125	676	361000000
1963	75600000	99100000	5110000	2420000	NA	NA	78300000	127	674	387000000
1964	85000000	115000000	6010000	3690000	NA	NA	87300000	131	687	437000000
1965	92700000	119000000	9650000	2620000	NA	NA	99700000	131	676	459000000
1966	90000000	122000000	10000000	1950000	NA	NA	98100000	130	653	475000000
1967	83900000	115000000	10700000	1910000	NA	NA	92700000	131	637	494000000
1968	91900000	119000000	16700000	2420000	NA	NA	106000000	135	634	530000000
1969	85100000	128000000	13200000	5788000	177000	170000	92700000	145	642	574000000
1970	82400000	119000000	12600000	6950000	155000	NA	87700000	154	647	594000000
1971	78900000	109000000	17000000	3200000	249000	NA	92300000	174	700	581000000
1972	83300000	121000000	16500000	3220000	238000	NA	96200000	157	613	629000000
1973	101000000	137000000	14200000	4500000	156000	-454000	111000000	185	678	698000000
1974	99300000	132000000	14900000	6340000	165000	-454000	108000000	238	786	708000000
