KYANITE AND RELATED MATERIALS STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 29, 2018
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1928	NA	NA	NA	NA	NA	NA	2300
1929	NA	NA	NA	NA	NA	NA	3700
1930	NA	NA	NA	NA	NA	NA	8800
1931	NA	NA	NA	NA	NA	NA	3500
1932	NA	NA	NA	NA	NA	NA	5700
1933	NA	NA	NA	NA	NA	NA	4500
1934	NA	NA	NA	NA	45.7	556	9700
1935	NA	NA	NA	NA	25.4	302	20000
1936	NA	NA	NA	NA	33.1	388	25000
1937	NA	6960	NA	NA	39.2	443	27000
1938	NA	3600	NA	NA	45.23	523	29000
1939	NA	3070	NA	NA	51.3	602	15000
1940	NA	6950	NA	NA	51.3	597	13000
1941	NA	13000	NA	NA	44.6	495	22000
1942	NA	5920	NA	NA	33.9	339	25000
1943	NA	9050	NA	NA	33.9	319	23000
1944	NA	5520	NA	NA	39.4	365	15000
1945	NA	13700	279	NA	39.4	357	15000
1946	NA	10300	310	NA	31.1	260	23000
1947	NA	11100	217	NA	31.1	227	43000
1948	NA	15500	419	NA	38	257	46000
1949	NA	11000	943	NA	34.7	238	61000
1950	NA	15800	854	NA	34.7	235	58000
1951	NA	17800	898	NA	38	238	73000
1952	NA	8220	1020	NA	38	234	67000
1953	NA	6010	936	NA	38	232	47000
1954	NA	4380	1040	NA	44.6	270	73000
1955	NA	6880	1560	NA	38	231	38000
1956	21800	6310	1210	NA	38	228	58000
1957	18000	5440	2350	NA	38	220	82000
1958	14800	1780	2260	NA	38	214	76000
1959	16500	5110	2480	NA	53.5	300	77000
1960	19500	5490	2950	NA	53.5	295	95000
1961	13400	4910	3630	NA	53.5	292	130000
1962	17300	4790	3240	NA	53.5	289	130000
1963	26800	2380	4580	NA	53.5	285	120000
1964	32800	2160	5520	NA	57.9	304	120000
1965	36300	3670	9290	NA	57.9	300	120000
1966	45000	3090	15700	NA	57.9	291	130000
1967	36500	1650	19400	NA	57.9	283	130000
1968	32700	1320	18600	NA	77.7	364	120000
1969	44100	1890	17900	NA	74.4	330	140000
1970	50400	1070	21800	NA	67.2	282	200000
1971	50000	1220	28600	NA	72.2	291	190000
1972	42100	112	67100	NA	72.2	282	180000
1973	52800	200	85000	NA	72.2	265	200000
1974	37700	176	123000	NA	78.3	259	180000
1975	21900	59	136000	NA	99.8	302	190000
1976	38300	100	57500	NA	99.8	286	230000
1977	36500	48	35200	NA	93.1	250	250000
1978	34500	NA	36300	NA	99.2	248	240000
1979	36900	NA	45400	NA	99.2	223	290000
1980	36800	NA	45400	NA	109	216	350000
1981	38100	NA	40800	NA	122	219	330000
1982	24500	NA	36300	NA	122	206	290000
1983	20900	NA	36300	NA	122	200	240000
1984	24500	6800	40800	NA	130	204	280000
1985	25000	2720	40800	NA	130	197	340000
1986	W	4540	45000	NA	130	193	300000
1987	W	12700	41000	NA	138	198	340000
1988	W	8890	45000	NA	138	190	380000
1989	W	10300	41000	NA	126	166	410000
1990	W	17700	35000	NA	126	157	400000
1991	W	5140	33000	NA	126	151	310000
1992	W	6000	35000	NA	141	164	320000
1993	W	12200	33000	NA	156	176	270000
1994	W	7900	35000	NA	171	188	280000
1995	W	3210	35000	NA	196	210	280000
1996	W	11300	35000	NA	208	216	300000
1997	W	8170	35000	NA	229	233	350000
1998	129000	9610	35000	104000	213	213	460000
1999	129000	6290	35000	100000	210	205	360000
2000	130000	6440	35000	101000	222	210	406000
2001	130000	3260	35000	98000	222	204	424000
2002	130000	4620	35000	100000	206	187	353000
2003	130000	4480	35000	99000	206	182	388000
2004	130000	4010	35000	99000	199	172	435000
2005	142000	6300	35000	113000	191	166	420000
2006	140000	4350	35000	109000	198	183	416000
2007	158000	1760	35700	124000	273	215	475000
2008	137000	5580	36100	107000	266	201	423000
2009	111000	4880	25800	90100	296	225	341000
2010	93000	2180	37900	57300	310	232	344000
2011	98200	5390	38100	65300	316	229	357000
2012	98500	3260	36400	65400	315	224	327000
2013	110000	4110	42400	71700	350	245	364000
2014	88600	4020	40000	52600	330	227	372000
2015	109000	11500	39900	80600	340	234	402000
2016	79700	2510	37100	45100	350	238	393000
2017	91300	7430	42400	56300	340	226	395000
NA Not available. r Revised. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly, M.J. Potter, D.J. Cordier, and A.O. Tanner.
Data are calculated, estimated, or reported.  See notes for more information.
