PEAT  STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: July 26, 2019
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1904	1090	NA	NA	NA	1090	5.4	97.6	NA
1905	7180	NA	NA	NA	7180	5.2	94	NA
1906	1000	7610	NA	NA	8610	5	90.4	NA
1907	NA	7930	NA	NA	7930	4.8	83.7	NA
1908	22500	8090	NA	NA	30600	5.91	106.8	NA
1909	26500	8530	NA	NA	35000	4.81	86.9	NA
1910	33600	8120	NA	NA	41700	4.18	72.9	NA
1911	50000	8180	NA	NA	58200	5.46	95.2	NA
1912	43000	8210	NA	NA	51200	5.31	89.4	NA
1913	30200	9960	NA	NA	40100	5.94	97.8	NA
1914	42700	9000	NA	NA	51700	7.3	119	NA
1915	38400	6820	NA	NA	45200	7.52	121.4	NA
1916	47600	2760	NA	NA	50400	7.75	115.9	NA
1917	88300	459	NA	NA	88800	8.04	102.4	NA
1918	97300	459	NA	NA	97800	10.76	116.2	NA
1919	62800	421	NA	NA	63200	11.24	105.9	NA
1920	66400	2510	NA	NA	68900	13.88	113.1	NA
1921	27600	3130	NA	NA	30700	9.44	86	NA
1922	55000	4360	NA	NA	59400	7.34	71.2	NA
1923	55700	5420	NA	NA	61100	6.77	64.5	NA
1924	50300	5030	NA	NA	55300	7.86	74.9	NA
1925	67500	9280	NA	NA	76800	6.89	64.2	NA
1926	56200	15100	NA	NA	71300	6.48	59.7	NA
1927	NA	28700	NA	NA	79500	8.3	77.8	NA
1928	NA	36400	NA	NA	81300	8.2	78.2	NA
1929	NA	52200	NA	NA	83200	8.1	77.2	NA
1930	NA	63900	NA	NA	85100	8.1	79.1	NA
1931	NA	58000	NA	NA	87000	8	85.8	NA
1932	NA	58700	NA	NA	88900	7.9	94	NA
1933	NA	37400	NA	NA	90700	7.8	97.8	NA
1934	36800	40000	NA	NA	76800	5.82	70.8	NA
1935	33600	49500	NA	NA	83100	5.93	70.6	23000000
1936	41800	68100	NA	NA	110000	6.38	74.8	23000000
1937	46500	78800	NA	NA	125000	6.57	74.4	29000000
1938	41700	63100	NA	NA	105000	6.87	79.4	28000000
1939	50300	71300	NA	NA	122000	7.2	84.4	4800000
1940	63600	19700	NA	NA	83300	8.12	94.5	39000000
1941	78500	27500	NA	NA	106000	8.38	92.9	12000000
1942	64900	44700	NA	NA	110000	7.97	79.7	12000000
1943	54400	53900	NA	NA	108000	9.03	85.1	15000000
1944	88000	58700	NA	NA	147000	9.98	92.4	14000000
1945	97100	70500	NA	NA	168000	8.45	76.5	14000000
1946	128000	76300	NA	NA	204000	7.88	65.9	38000000
1947	124000	72200	NA	NA	196000	7.03	51.4	47000000
1948	118000	82600	NA	NA	200000	7.9	53.4	45000000
1949	118000	86000	NA	NA	203000	8.68	59.4	45000000
1950	119000	113000	NA	NA	231000	9.63	65.1	51000000
1951	176000	131000	NA	NA	307000	8.44	52.9	54000000
1952	191000	152000	NA	NA	343000	9.05	55.7	54000000
1953	185000	181000	NA	NA	367000	8.73	53.3	47000000
1954	222000	219000	NA	NA	440000	10.2	61.8	53000000
1955	248000	208000	NA	NA	456000	9.19	55.9	60000000
1956	248000	225000	NA	NA	472000	9.37	56.2	54000000
1957	287000	224000	NA	NA	511000	12.1	70.2	64000000
1958	297000	244000	NA	NA	542000	11.6	65.4	59000000
1959	381000	260000	NA	NA	641000	11.5	64.4	70000000
1960	427000	239000	NA	NA	667000	11.4	62.8	150000000
1961	482000	229000	NA	NA	711000	10.5	57.2	150000000
1962	519000	243000	NA	NA	762000	10.1	54.5	130000000
1963	525000	237000	NA	NA	762000	10.9	58.1	160000000
1964	589000	245000	NA	NA	834000	10.7	56.3	170000000
1965	548000	250000	NA	NA	798000	11.1	57.4	180000000
1966	554000	267000	NA	NA	821000	11.8	59.4	200000000
1967	560000	255000	NA	NA	815000	12	58.6	200000000
1968	562000	261000	NA	NA	822000	12.9	60.4	190000000
1969	519000	272000	NA	NA	791000	13.8	61.3	81000000
1970	469000	257000	NA	NA	726000	12.6	52.9	84000000
1971	549000	269000	NA	NA	817000	12.9	51.9	200000000
1972	523000	282000	NA	NA	806000	12.9	50.3	200000000
1973	576000	294000	NA	NA	870000	13.4	49.2	200000000
1974	663000	296000	NA	NA	959000	17.2	56.9	200000000
1975	700000	263000	NA	NA	963000	18.2	55.1	200000000
1976	701000	307000	NA	NA	1010000	18.2	52.1	200000000
1977	709000	299000	NA	NA	1010000	19	51.1	200000000
1978	746000	345000	NA	357000	733000	19.1	47.8	210000000
1979	748000	346000	NA	318000	1130000	21.4	48	200000000
1980	712000	365000	NA	299000	1090000	22.6	44.7	200000000
1981	622000	310000	NA	244000	988000	27.4	49.1	200000000
1982	724000	336000	NA	324000	980000	24.2	40.9	370000000
1983	639000	380000	NA	397000	945000	28.4	46.5	380000000
1984	726000	440000	NA	523000	1040000	27	42.4	380000000
1985	761000	433000	NA	579000	1140000	27.4	41.5	260000000
1986	827000	502000	NA	503000	1400000	25.5	37.9	250000000
1987	866000	467000	NA	436000	1400000	24.2	34.7	230000000
1988	766000	535000	NA	406000	1330000	24.7	34	190000000
1989	690000	481000	30000	365000	1180000	25.2	33.1	190000000
1990	692000	543000	12000	357000	1230000	26.6	33.2	180000000
1991	632000	573000	13000	298000	1250000	25.3	30.3	170000000
1992	599000	639000	22000	308000	1230000	25.7	29.9	29000000
1993	616000	648000	8000	269000	1290000	27.5	31	22000000
1994	574000	669000	23000	252000	1240000	27.2	29.9	27000000
1995	648000	669000	20000	384000	1170000	25.8	27.6	30000000
1996	549000	667000	19000	342000	1240000	28.9	30	29300000
1997	661000	754000	22000	421000	1310000	23.2	23.6	30200000
1998	685000	761000	30000	408000	1430000	24.3	24.3	19800000
1999	731000	752000	40000	272000	1580000	26.5	25.9	31000000
2000	792000	786000	37000	279000	1530000	26.9	25.5	24700000
2001	736000	776000	31000	257000	1500000	25.8	23.7	25700000
