POTASH STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) K2O unless otherwise noted]
Last modification: September 30, 2019
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	877	77000	NA	NA	77900	65.7	1290	NA
1901	NA	54400	NA	NA	54400	72.2	1420	NA
1902	NA	18300	NA	NA	18300	55.5	1050	NA
1903	NA	12900	NA	NA	12900	60.1	1090	NA
1904	NA	73500	NA	NA	73500	72.4	1320	NA
1905	411	125000	NA	NA	125000	76.2	1380	NA
1906	NA	27200	NA	NA	27200	65.8	1200	NA
1907	NA	28100	NA	NA	28100	89.8	1580	NA
1908	NA	26800	NA	NA	26800	54.6	993	NA
1909	NA	152000	NA	NA	152000	72.3	1310	NA
1910	NA	318000	NA	NA	318000	58.2	1020	NA
1911	NA	321000	NA	NA	321000	64.1	1120	NA
1912	NA	301000	NA	NA	301000	63.7	1080	NA
1913	NA	241000	NA	NA	241000	61.1	1010	NA
1914	NA	179000	NA	NA	179000	63.3	1030	NA
1915	989	40900	NA	NA	41800	91.4	1470	NA
1916	8820	3850	NA	NA	12700	501	7490	NA
1917	29600	2300	NA	NA	31900	468	5970	NA
1918	35000	1930	NA	14700	36900	458	4950	NA
1919	41500	32900	NA	11430	74300	227	2140	122000
1920	37600	192000	NA	8160	229000	192	1560	224000
1921	4000	66400	NA	11500	70400	131	1190	994000
1922	10300	179000	NA	10600	189000	63.4	615	1400000
1923	17500	185000	1410	11200	201000	64	610	1250000
1924	19800	178000	690	9770	202000	60.3	575	1100000
1925	23400	227000	840	9320	258000	61	568	1590000
1926	22700	242000	NA	8170	264000	73.8	680	1710000
1927	44900	221000	NA	2270	249000	78.2	732	2000000
1928	54800	300000	NA	1910	355000	72.1	687	2030000
1929	52200	295000	NA	5630	347000	76.9	733	2200000
1930	51400	311000	NA	9980	354000	75.9	741	2050000
1931	57900	195000	NA	9530	238000	77.5	831	1400000
1932	50500	103000	NA	25400	152000	71.3	849	1250000
1933	126000	156000	NA	19000	266000	60.7	760	1670000
1934	104000	156000	NA	45400	249000	55.6	676	1980000
1935	204000	219000	NA	16300	423000	41.4	493	2270000
1936	202000	192000	NA	30800	394000	48.9	573	2310000
1937	242000	319000	56200	50500	504000	49.5	560	2820000
1938	260000	176000	47000	79300	388000	51.9	600	3010000
1939	332000	90800	76000	26700	347000	43	504	2730000
1940	357000	108000	57000	14900	407000	34.1	397	2810000
1941	482000	14400	51600	8810	445000	39.4	437	3210000
1942	618000	3950	44600	5480	577000	33.6	336	3170000
1943	664000	15500	63500	12700	616000	33.3	314	3270000
1944	742000	4360	62500	27000	684000	36.9	342	3040000
1945	790000	5460	61300	31100	734000	36.8	333	1910000
1946	842000	3960	59600	34500	787000	33.7	282	2310000
1947	956000	23600	61800	13300	917000	31.1	227	2620000
1948	1040000	24700	63300	10200	999000	30.8	208	2940000
1949	1020000	17400	63100	8230	971000	31.3	214	2540000
1950	1160000	182000	59000	18700	1280000	41.7	282	3130000
1951	1280000	285000	62300	29300	1500000	41.3	259	5080000
1952	1450000	171000	51100	89100	1570000	43.1	265	5620000
1953	1570000	121000	44500	253000	1650000	43.4	265	5900000
1954	1740000	108000	59900	283000	1790000	41.8	253	6620000
1955	1820000	161000	118000	337000	1860000	42.3	257	7260000
1956	1910000	164000	205000	399000	1870000	41.2	247	7530000
1957	1940000	165000	212000	508000	1890000	39.2	227	7890000
1958	2120000	181000	230000	337000	2070000	36.8	208	7980000
1959	2250000	212000	306000	251000	2150000	37.7	211	8530000
1960	2360000	205000	445000	282000	2120000	36.7	202	9070000
1961	2260000	238000	429000	506000	2060000	38.9	212	9710000
1962	2470000	309000	459000	259000	2320000	41.7	225	9800000
1963	2460000	539000	386000	434000	2610000	41.9	223	11300000
1964	2760000	669000	561000	268000	2870000	41.3	217	12300000
1965	2660000	1010000	588000	457000	3080000	42.7	221	13700000
1966	2840000	1350000	564000	626000	3630000	41.3	208	14600000
1967	2840000	1540000	629000	783000	3790000	34.1	166	15700000
1968	2640000	1960000	679000	613000	3940000	28	131	16200000
1969	2780000	2120000	643000	356000	4260000	23.7	105	17400000
1970	2420000	2360000	519000	412000	4290000	35.2	148	18200000
1971	2350000	2510000	523000	388000	4350000	39.6	159	19900000
1972	2380000	2690000	705000	425000	4370000	39.4	154	20000000
1973	2600000	3250000	821000	187000	5050000	39.9	146	18900000
1974	2310000	3920000	728000	191000	5520000	57.1	189	21100000
1975	1900000	3440000	740000	562000	4640000	78.14	236	24700000
1976	2270000	4170000	879000	471000	5580000	82.97	238	24300000
1977	2230000	4610000	865000	467000	5990000	81.89	220	25200000
1978	2310000	4710000	809000	414000	6210000	86.5	216	26100000
1979	2390000	5170000	635000	251000	6920000	104	234	25700000
1980	2220000	4970000	840000	273000	6350000	129	256	27900000
1981	1910000	4800000	491000	520000	6210000	156	280	27100000
1982	1780000	3860000	519000	520000	5120000	146	247	24500000
1983	1510000	4440000	300000	391000	5650000	135	222	27400000
1984	1640000	4830000	446000	312000	6020000	135	212	29300000
1985	1270000	4590000	513000	336000	5350000	127	192	29200000
1986	1150000	4210000	547000	378000	4840000	110	164	28800000
1987	1490000	4070000	470000	155000	5090000	124	178	30500000
1988	1430000	4220000	380000	248000	5260000	164	226	31800000
1989	1540000	3410000	446000	307000	4500000	172	226	29300000
1990	1720000	4160000	470000	303000	5410000	132	164	27500000
1991	1710000	4160000	624000	343000	5240000	163	195	26100000
1992	1770000	4250000	663000	283000	5350000	171	198	23900000
1993	1480000	4360000	415000	305000	5430000	159	180	20400000
1994	1470000	4800000	464000	234000	5810000	159	175	23100000
1995	1400000	4830000	409000	312000	5820000	152	163	24700000
1996	1430000	4950000	481000	265000	5900000	146	152	23900000
1997	1400000	5490000	466000	200000	6430000	145	147	25500000
1998	1300000	4780000	477000	300000	5600000	174	174	26000000
1999	1200000	4470000	459000	300000	5210000	162	158	27200000
2000	1200000	4610000	367000	301000	5600000	155	147	27000000
2001	1100000	4540000	366000	NA	5300000	151	139	26400000
2002	1200000	4620000	371000	NA	5400000	164	149	27100000
2003	1100000	4720000	329000	NA	5600000	166	147	28600000
2004	1200000	4920000	233000	NA	6000000	182	157	32100000
2005	1200000	4920000	200000	NA	5900000	267	223	33800000
2006	1100000	4470000	332000	NA	5200000	298	241	30400000
2007	1100000	4970000	199000	NA	5900000	300	236	34900000
2008	1100000	5800000	222000	NA	6700000	532	403	33700000
2009	720000	2220000	303000	NA	2500000	737	560	20800000
2010	930000	4760000	264000	NA	5500000	569	425	33900000
2011	1000000	4980000	178000	NA	5800000	689	499	35800000
2012	900000	4240000	202000	NA	5000000	686	487	32800000
2013	960000	4650000	257000	NA	5300000	610	427	36100000
2014	850000	4970000	100000	NA	5800000	529	364	41000000
2015	740000	5000000	106000	NA	5500000	593	408	40400000
2016	510000	4550000	96000	NA	5000000	498	338	38700000
2017	480000	5860000	128000	NA	6200000	351.24	234	41900000
2018	520000	5700000	105000	NA	6100000	367.49	239	43300000
1Compiled by D.A. Buckingham, J.P. Searls, J.A. Ober, and S.M. Jasinski.
Data are calculated, estimated, or reported.  See notes for more information.
