PUMICE AND PUMICITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 4, 2019
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1902	635	NA	NA	635	4.33	82	NA
1903	776	NA	NA	776	3.32	60	NA
1904	1390	NA	NA	1390	3.9	71	NA
1905	1660	NA	NA	1660	3.33	61	NA
1906	11100	NA	NA	11100	1.51	27	NA
1907	7360	NA	NA	7360	4.6	81	NA
1908	9590	NA	NA	9590	4.1	75	NA
1909	13700	NA	NA	13700	2.44	44	NA
1910	21100	NA	NA	21100	4.5	79	NA
1911	19700	NA	NA	19700	4.5	79	NA
1912	24600	NA	NA	24600	3.52	60	NA
1913	22300	NA	NA	22300	2.49	41	NA
1914	25000	NA	NA	25000	2.36	38.5	NA
1915	25100	NA	NA	25100	2.51	40.5	NA
1916	30200	NA	NA	30200	2.72	40.7	NA
1917	32000	NA	NA	32000	2.65	33.8	NA
1918	27800	NA	NA	27800	3.29	35.5	NA
1919	32700	NA	NA	32700	3.57	33.7	NA
1920	38000	NA	NA	38000	3.01	24.5	66000
1921	33700	NA	NA	33700	4.71	42.8	47600
1922	41100	NA	NA	41100	4.28	41.6	240000
1923	51300	NA	NA	51300	4.18	39.8	275000
1924	39600	8230	NA	47800	4.81	45.8	157000
1925	36600	9200	NA	45800	4.88	45.6	166000
1926	48900	8700	NA	57600	4.27	39.2	NA
1927	48400	8100	NA	56500	4.59	42.9	NA
1928	52100	10100	NA	62200	5.35	51	NA
1929	67000	8770	NA	75800	5.81	55.3	NA
1930	51600	5900	NA	57500	6.52	63.9	NA
1931	35000	5940	NA	41000	5.42	58.1	NA
1932	48300	4030	NA	52300	4.87	58	NA
1933	55500	6170	NA	61700	4.35	54.5	NA
1934	50900	6430	NA	57400	4.07	49.5	NA
1935	54400	7930	NA	62400	4.54	54.1	NA
1936	66100	6390	NA	72500	4.96	58.2	NA
1937	64400	7960	NA	72400	4.69	53.1	NA
1938	59600	5390	NA	65000	5.25	60.7	NA
