RARE EARTHS STATISTICS1
U.S. GEOLOGICAL SURVEY
[All quantities in metric tons (t) rare-earth oxide equivalent unless otherwise noted]
Last modification: October 31, 2018
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	227	NA	NA	227	NA	NA	1040
1901	187	NA	NA	187	NA	NA	1090
1902	200	NA	NA	200	NA	NA	863
1903	215	NA	NA	215	NA	NA	2030
1904	186	NA	NA	186	NA	NA	2860
1905	335	NA	NA	335	NA	NA	2780
1906	211	NA	NA	211	NA	NA	2600
1907	137	NA	NA	137	NA	NA	2580
1908	105	NA	NA	105	NA	NA	2840
1909	135	NA	NA	135	NA	NA	3690
1910	25	NA	NA	25	NA	NA	3020
1911	NA	NA	NA	22	NA	NA	2490
1912	NA	NA	NA	19	NA	NA	2500
1913	NA	NA	NA	15	NA	NA	1480
1914	NA	NA	NA	12	NA	NA	992
1915	9	NA	NA	9	NA	NA	870
1916	9	NA	NA	9	NA	NA	731
1917	25	NA	NA	25	NA	NA	1730
1918	NA	NA	NA	20	NA	NA	1470
1919	NA	NA	NA	15	NA	NA	1210
1920	NA	NA	NA	9.99	NA	NA	1590
1921	NA	NA	NA	5	NA	NA	929
1922	NA	0.017	NA	0.017	2450	23800	189
1923	NA	13.6	NA	13.6	344	3280	138
1924	NA	37.2	NA	37.2	219	2090	348
1925	0.499	6.74	NA	7.24	1070	10000	12
1926	NA	3.53	NA	3.53	311	2850	146
1927	NA	26.4	NA	26.4	237	2210	352
1928	NA	31.4	NA	31.4	451	4300	180
1929	NA	41.7	NA	41.7	412	3920	197
1930	NA	27.1	NA	27.1	601	5890	17
1931	NA	0.12	NA	0.12	367	3930	50
1932	NA	NA	NA	0.069	5930	70600	530
1933	NA	0.018	NA	0.018	11600	145000	302
1934	NA	NA	NA	0.015	11700	142000	564
1935	NA	NA	NA	0.012	11700	139000	2130
1936	NA	0.009	NA	0.009	11700	137000	1840
1937	NA	652	NA	652	4	41	2150
1938	NA	377	NA	377	3	38	3310
1939	NA	471	NA	471	3	29	2510
1940	NA	0.2	NA	0.2	8480	98700	2370
1941	NA	8.13	NA	8.13	11200	124000	2380
1942	NA	4.66	10.5	6.19	9930	99300	1500
1943	NA	2.34	22.1	4.25	7240	68300	1900
1944	NA	8.18	16.9	2.31	8680	80400	3200
1945	NA	13.3	13	0.365	9620	87500	1440
1946	NA	6.31	16	83.2	11100	92500	721
1947	NA	0.268	73.4	200	14400	105000	1300
1948	20	0.644	22.2	200	14700	99300	2720
1949	NA	1.43	28.2	300	8900	61000	1290
