SAND AND GRAVEL (INDUSTRIAL) STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: March 31, 2020
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1902	1220000	NA	NA	1220000	0.9	17	NA
1903	1170000	NA	NA	1170000	1.07	19	NA
1904	4410000	NA	NA	4410000	0.74	13	NA
1905	4670000	NA	NA	4670000	0.81	15	NA
1906	5430000	NA	NA	5430000	0.73	13	NA
1907	5890000	NA	NA	5890000	0.77	13	NA
1908	3730000	NA	NA	3730000	0.8	15	NA
1909	5020000	NA	NA	5020000	0.78	14	NA
1910	6030000	NA	NA	6030000	0.78	14	NA
1911	6950000	NA	NA	6950000	0.71	12	NA
1912	8190000	NA	NA	8190000	0.68	11	NA
1913	7120000	NA	NA	7120000	0.76	12.6	NA
1914	6380000	NA	NA	6380000	0.71	11.6	NA
1915	7740000	NA	NA	7740000	0.63	10.1	NA
1916	9010000	NA	NA	9010000	0.78	11.7	NA
1917	8940000	NA	NA	8940000	1.09	13.9	NA
1918	9110000	NA	NA	9110000	1.4	15.1	NA
1919	7700000	NA	NA	7700000	1.4	13.1	NA
1920	9680000	NA	NA	9680000	1.71	13.9	NA
1921	5180000	NA	NA	5180000	1.5	13.7	NA
1922	7970000	1170	162000	7810000	1.36	13.2	NA
1923	10400000	2090	250000	10200000	1.44	13.7	NA
1924	9680000	5880	142000	9540000	1.36	13	NA
1925	10800000	3800	193000	10600000	1.28	11.9	NA
1926	11200000	8000	192000	11000000	1.23	11.3	NA
1927	10100000	9680	191000	9940000	1.2	11.2	NA
1928	10400000	39100	334000	10100000	1.22	11.7	NA
1929	11700000	0	221000	11500000	1.24	11.8	NA
1930	7630000	22400	147000	7510000	1.31	12.8	NA
1931	5600000	31800	98800	5530000	1.29	13.8	NA
1932	3720000	24100	43600	3700000	1.28	15.2	NA
1933	4740000	23800	37400	4730000	1.3	16.3	NA
1934	5480000	22200	15200	5490000	1.39	16.9	NA
1935	6840000	40200	17000	6860000	1.33	15.8	NA
1936	8500000	48000	22600	8530000	1.27	14.9	NA
1937	9960000	46300	30500	9980000	1.3	14.8	NA
1938	5910000	30700	16100	5920000	1.37	15.8	NA
1939	7870000	21500	12600	7880000	1.33	15.6	NA
1940	9660000	3930	NA	9660000	1.31	15.2	NA
1941	13000000	0	NA	13000000	1.38	15.3	NA
1942	14300000	0	NA	14300000	1.49	14.9	NA
1943	15600000	16	NA	15600000	1.52	14.3	NA
1944	16000000	14	NA	16000000	1.51	14	NA
1945	14200000	0	NA	14200000	1.52	13.8	NA
1946	14500000	4540	NA	14500000	1.59	13.3	NA
1947	16300000	7080	NA	16300000	1.72	12.5	NA
1948	15300000	15300	NA	15300000	1.9	12.9	NA
1949	12600000	10400	NA	12600000	2.03	13.9	NA
1950	15600000	8340	NA	15600000	2.06	13.9	NA
1951	17200000	5680	NA	17200000	2.21	13.8	NA
1952	15700000	3640	NA	15700000	2.32	14.3	NA
1953	16500000	5160	NA	16500000	2.44	14.9	NA
1954	15100000	9370	NA	15100000	2.84	17.2	NA
1955	18000000	154	NA	18000000	2.74	16.7	NA
1956	19200000	434	NA	19200000	2.91	17.4	NA
1957	17400000	620	NA	17400000	3.06	17.7	NA
1958	14100000	5910	NA	14100000	3.26	18.4	NA
1959	16600000	92	NA	16600000	3.49	19.5	NA
1960	16600000	9770	NA	16600000	3.55	19.6	NA
1961	16400000	2	NA	16400000	3.6	19.7	NA
1962	18200000	28500	NA	18300000	3.82	20.6	NA
1963	19100000	20600	NA	19200000	3.67	19.5	NA
1964	21100000	36600	NA	21200000	3.58	18.8	NA
1965	23000000	9820	NA	23000000	3.54	18.3	NA
1966	23900000	16300	NA	23900000	3.62	18.2	NA
1967	23000000	39900	NA	23000000	3.74	18.2	NA
1968	24500000	22700	NA	24500000	4.13	19.4	NA
1969	26300000	39000	NA	26400000	4.13	18.4	NA
1970	26400000	58100	NA	26500000	3.83	16.1	NA
1971	23700000	43500	798000	23000000	3.77	15.2	NA
1972	26800000	44500	951000	25900000	4.12	16.1	NA
1973	26300000	43500	767000	25600000	4.04	14.8	NA
1974	26400000	0	1020000	25400000	5.08	16.8	NA
1975	24800000	40700	1970000	22800000	6	18.2	NA
1976	27100000	55000	2300000	24900000	6.17	17.7	NA
1977	28400000	0	2330000	26200000	8.06	21.7	NA
1978	29800000	41700	2570000	27300000	8.29	20.7	NA
1979	30400000	64400	1080000	29400000	8.77	19.7	NA
