SELENIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) selenium content unless otherwise noted]
Last modification: October 4, 2018
Year	Primary production	Secondary production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	0	NA	0	0	0	NA	0	NA	NA	NA
1901	0	NA	0	0	0	NA	0	NA	NA	NA
1902	0	NA	0	0	0	NA	0	NA	NA	NA
1903	0	NA	0	0	0	NA	0	NA	NA	NA
1904	0	NA	0	0	0	NA	0	NA	NA	NA
1905	0	NA	0	0	0	NA	0	NA	NA	NA
1906	0	NA	0	0	0	NA	0	NA	NA	NA
1907	0	NA	0	0	0	NA	0	NA	NA	NA
1908	0	NA	0	0	0	NA	0	NA	NA	NA
1909	0	NA	0	0	0	NA	0	7600	140000	NA
1910	4.84	NA	4.84	NA	NA	NA	4.84	7200	130000	NA
1911	W	NA	W	NA	NA	NA	7.62666666667	6600	120000	NA
1912	W	NA	W	NA	NA	NA	10.4133333333	5500	93000	NA
1913	13.2	NA	13.2	NA	NA	NA	13.2	3700	60900	NA
1914	10.4	NA	10.4	NA	NA	NA	10.4	3310	54000	NA
1915	W	NA	18.7	NA	NA	NA	12.9	3140	50400	NA
1916	W	NA	18.7	NA	NA	NA	15.4	2980	44600	NA
1917	18	NA	18	NA	NA	NA	18	4740	60400	NA
1918	47	NA	24.7	NA	NA	6.58	24.7	6610	71400	NA
1919	27.2	NA	27.2	NA	NA	NA	27.2	5250	49500	NA
1920	41.8	NA	41.8	NA	NA	NA	41.8	4410	35900	NA
1921	27.1	NA	25.4	0.502	NA	NA	25.4	4700	42800	NA
1922	51.5	NA	56	0.749	NA	NA	56	4320	41900	NA
1923	61.8	NA	57.7	0.426	NA	0.307	57.7	4100	39100	NA
1924	85.5	NA	69.7	0.136	NA	22	69.7	4100	39100	NA
1925	94	NA	88	2.63	NA	28	88	3750	34900	NA
1926	118	NA	114	8.57	NA	32.8	114	4300	39600	NA
1927	171	NA	129	6.93	NA	71.9	129	4300	40300	NA
1928	190	NA	165	8.45	NA	97.4	165	4700	44800	NA
1929	234	NA	156	1.63	NA	177	156	3640	34700	NA
1930	206	NA	126	0.308	NA	257	126	4190	40900	NA
1931	84.1	NA	133	0.993	NA	208	133	4190	44900	NA
1932	W	NA	111	0.868	NA	NA	111	4190	49900	NA
1933	W	NA	151	0.841	NA	NA	151	4190	52500	NA
1934	115	NA	145	8.04	NA	NA	145	4190	51000	NA
1935	111	NA	106	81.3	NA	NA	106	4410	52500	NA
1936	160	NA	103	55.7	NA	NA	103	4140	48500	NA
1937	198	NA	128	42	NA	139	128	4140	46900	NA
1938	102	NA	75.5	45.8	NA	166	75.5	3970	45900	285
1939	103	NA	157	56.6	NA	112	157	3970	46600	194
1940	149	NA	150	61	NA	81.1	167	3860	44900	251
1941	281	NA	300	89.8	10.5	47.6	309	3860	42800	754
1942	228	NA	201	38	2.52	79.3	144	3860	38600	645
1943	292	NA	278	37.1	3.27	102	237	3860	36400	532
1944	238	NA	179	44.4	5.98	172	192	3860	35700	424
1945	221	NA	252	98.3	10.4	147	274	3860	35000	387
1946	135	NA	172	216	NA	106	184	3860	32300	475
1947	232	NA	223	240	NA	118	222	4140	30300	508
1948	253	NA	239	121	NA	105	380	4410	29800	471
1949	200	NA	181	78.3	NA	121	222	4410	30200	387
1950	254	NA	324	165	NA	48.3	236	6060	41000	418
1951	224	NA	248	112	NA	38.6	360	7170	45000	488
1952	312	30.3	313	55.9	NA	60.3	364	7170	44100	532
1953	419	44.4	512	46.4	NA	42.9	512	8000	48800	668
1954	324	57.4	391	83.5	NA	43.5	474	10200	61800	636
1955	317	69.1	400	87	NA	34.4	487	16500	100000	736
1956	421	85.5	469	107	NA	86.6	576	24800	149000	872
1957	409	56.4	279	67.1	NA	295	346	21500	125000	872
1958	310	44.1	328	83.5	NA	250	411	16000	90200	663
1959	330	23.3	358	102	NA	154	460	15400	86300	748
1960	244	0	250	73.5	NA	124	324	14900	82100	758
1961	464	0	357	53.1	NA	234	410	14100	76900	951
1962	453	NA	336	72.1	NA	351	408	13200	71200	948
1963	421	NA	308	154	NA	464	462	11300	60200	914
1964	421	NA	293	133	NA	592	426	9920	52200	981
1965	245	NA	374	114	NA	463	488	9920	51300	816
1966	281	NA	383	130	NA	362	513	9920	49900	895
1967	271	NA	299	137	NA	334	435	9920	48400	930
1968	287	NA	427	264	NA	194	691	9920	46500	883
1969	566	NA	648	248	NA	109	896	15400	68400	1290
1970	456	NA	479	206	171	85.7	514	19800	83200	1310
1971	298	NA	301	179	68	82.6	412	19800	79700	1140
1972	335	NA	345	195	99.8	72.9	447	19800	77200	1230
1973	361	NA	386	251	120	48.1	621	20400	74900	1220
1974	292	NA	304	380	75.4	35.9	710	36400	120000	1210
1975	162	NA	129	403	53.3	69.1	482	39700	120000	1180
1976	182	NA	168	368	87.8	80.2	449	39700	114000	1110
1977	227	NA	160	266	30.7	323	395	37700	101000	1380
1978	231	NA	147	363	103	507	407	33100	82800	1440
1979	266	NA	212	310	151	284	371	30100	67600	1620
1980	141	NA	141	284	81.8	284	343	24100	47700	1280
1981	252	NA	208	312	60.5	293	459	9660	17300	1290
1982	243	NA	308	347	117	254	538	7780	13100	1120
1983	354	NA	374	297	93.4	153	578	8530	14000	1400
1984	254	NA	224	377	123	139	550	19900	31200	1490
1985	W	NA	W	401	154	W	560	16400	24800	1320
1986	W	NA	W	463	161	W	570	12600	18700	1400
1987	W	NA	W	445	162	W	580	14400	20700	1420
1988	286	NA	260	425	243	W	590	21700	29900	1680
1989	253	NA	295	417	372	W	560	16800	22100	1600
1990	287	NA	250	381	207	W	530	12800	16000	1770
1991	260	NA	275	344	210	W	510	11900	14200	1640
