"Year","U.S. Production","Log. Logistic","Log. Gaussian","Reserves"
1900,63621,"57740.11796322","39635.32313989",219827863
1901,69389,"66512.28836004","55468.04674358",219761351
1902,88767,"76356.42630771","73405.83674882",219684994
1903,100461,"87355.59149582","93218.20707117",219597639
1904,117081,"99591.81414785","114698.01953825",219498047
1905,134717,"113144.93529484","137660.86053019",219384902
1906,126494,"128091.40190303","161943.21388462",219256811
1907,166095,"144503.04389987","187400.26883697",219112308
1908,178527,"162445.86196879","213903.73316004",218949862
1909,183171,"181978.85575957","241339.80589858",218767883
1910,209557,"203152.92183568","269607.36341949",218564730
1911,220449,"226009.84925518","298616.36599527",218338720
1912,222935,"250581.43822267","328286.47167237",218088139
1913,248446,"276888.76386999","358545.836312  ",217811250
1914,265763,"304941.60308475","389330.07685927",217506308
1915,281104,"334738.03760088","420581.37583516",217171570
1916,300767,"366264.24150868","452247.70713123",216805306
1917,335316,"399494.45615439","484282.16561907",216405812
1918,355928,"434391.15029694","516642.38548407",215971420
1919,378367,"470905.35856999","549290.03439011",215500515
1920,442929,"508977.18693279","582190.37251877",214991538
1921,472183,"548536.47002167","615311.86719821",214443001
1922,557531,"589503.5622356 ","648625.85526029",213853498
1923,732407,"631790.24206495","682106.24646827",213221708
1924,713940,"675300.70762578","715729.26237095",212546407
1925,620373,"719932.64057966","749473.20579074",211826474
1926,770874,"765578.31555875","783318.25686819",211060896
1927,901129,"812125.73280917","817246.29218661",210248770
1928,901474,"859459.75292719","851240.72400579",209389310
1929,1007323,"907463.21419224","885286.35705936",208481847
1930,898011,"956018.01499594","919369.26073011",207525829
1931,851081,"1005006.14611976","953476.65472117",206520823
1932,785159,"1054310.66002584","987596.80659879",205466512
1933,905656,"1103816.56680288","1021718.93980141",204362696
1934,908065,"1153411.64886783","1055833.15089617",203209284
1935,993942,"1202987.18889559","1089930.33502311",202006297
1936,1098513,"1252438.60767468","1124002.11860397",200753858
1937,1277653,"1301666.01062396","1158040.79850885",199452192
1938,1213254,"1350574.64352245","1192039.28697521",198101618
1939,1264256,"1399075.25958248","1225991.0616598 ",196702542
1940,1503176,"1447084.40132695","1259890.12027942",195255458
1941,1404182,"1494524.60181592","1293730.93936109",193760933
1942,1385479,"1541324.51061263","1327508.43667844",192219609
1943,1505613,"1587418.95050056","1361217.93700034",190632190
1944,1677904,"1632748.911377  ","1394855.14082032",188999441
1945,1713655,"1677261.48797852","1428416.09577241",187322180
1946,1733424,"1720909.76816097","1461897.1704722 ",185601270
1947,1856987,"1763652.67838524","1495295.03054989",183837617
1948,2020185,"1805454.79287372","1528606.61666771",182032162
1949,1841940,"1846286.11262282","1561829.12433605",180185876
1950,1973574,"1886121.8201056 ","1594959.98536196",178299754
1951,2247711,"1924942.01509419","1627996.85078133",176374812
1952,2289836,"1962731.43659189","1660937.57514093",174412081
1953,2357082,"1999479.17540361","1693780.20201012",172412602
1954,2314988,"2035178.38140488","1726522.95061416",170377423
1955,2484428,"2069825.96910312","1759164.20349157",168307597
1956,2617283,"2103422.32463021","1791702.49508746",166204175
1957,2616901,"2135971.01686892","1824136.50120347",164068204
1958,2448987,"2167478.51500261","1856465.02923214",161900726
1959,2574590,"2197953.91439204","1888687.0091107 ",159702772
1960,2574933,"2227408.67232681","1920801.48493501",157475363
1961,2621758,"2255856.35487463","1952807.60717999",155219507
1962,2676189,"2283312.39575778","1984704.62547778",152936194
1963,2752723,"2309793.86792463","2016491.88190905",150626400
1964,2786822,"2335319.26825294","2048168.80476714",148291081
1965,2848514,"2359908.31561916","2079734.90275802",145931173
1966,3027763,"2383581.76239397","2111189.7596023 ",143547591
1967,3215742,"2406361.21927543","2142533.02900875",141141230
1968,3329042,"2428268.9932465 ","2173764.42999076",138712961
1969,3371751,"2449327.93834026","2204883.74250032",136263633
1970,3517450,"2469561.31881296","2235890.80335569",133794072
1971,3453914,"2488992.68425899","2266785.50244101",131305079
1972,3455368,"2507645.75615134","2297567.77915821",128797433
1973,3360903,"2525544.32525504","2328237.61911263",126271889
1974,3202585,"2542712.15933566","2358795.05101572",123729177
1975,3056779,"2559172.92057109","2389240.14378932",121170004
1976,2976180,"2574950.09206896","2419573.00385719",118595054
1977,3009265,"2590066.91289376","2449793.7726107 ",116004987
1978,3178216,"2604546.3210156 ","2479902.62403664",113400440
1979,3121310,"2618410.90360539","2509899.76249572",110782029
1980,3146365,"2631682.85411822","2539785.42064173",108150347
1981,3128624,"2644383.93562664","2569559.85747164",105505963
1982,3156715,"2656535.44988788","2599223.35649768",102849427
1983,3170999,"2668158.21165351","2628776.22403356",100181269
1984,3249696,"2679272.52775493","2658218.78758686",97501997
1985,3274553,"2689898.18052438","2687551.3943509 ",94812098
1986,3168252,"2700054.41513724","2716774.40978935",92112044
1987,3047378,"2709759.93048761","2745888.21630757",89402284
1988,2979123,"2719032.87323499","2774893.21200523",86683251
1989,2778773,"2727890.83468501","2803789.80950471",83955360
1990,2684687,"2736350.85019199","2832578.43485073",81219009
1991,2707039,"2744429.40079422","2861259.52647643",78474580
1992,2624632,"2752142.41681601","2889833.5342319 ",75722438
1993,2499033,"2759505.28319179","2918300.91847114",72962932
1994,2431476,"2766532.8462879 ","2946662.14919383",70196399
1995,2394268,"2773239.4220176 ","2974917.70523856",67423160
1996,2366017,"2779638.80506215","3003068.07352422",64643521
1997,2354831,"2785744.2790287 ","3031113.7483368 ",61857777
1998,2281919,"2791568.62739107","3059055.23065863",59066208
1999,2146732,"2797124.1450745 ","3086893.0275376 ",56269084
2000,2130707,"2802422.6505594 ","3114627.65149396",53466662
2001,2117511,"2807475.49839145","3142259.61996237",50659186
2002,2096588,"2812293.59199784","3169789.45476714",47846892
2003,2060085,"2816887.39671938","3197217.68162866",45030005
2004,1989263,"2821266.95297928","3224544.82969931",42208738
2005,1892796,"2825441.88951743","3251771.43112681",39383296
2006,1857322,"2829421.43662833","3278898.0206438 ",36553875
2007,1853086,"2833214.43934773","3305925.13518175",33720660
2008,1830136,"2836829.37054049","3332853.31350805",30883831
2009,1953800,"2840274.34384829","3359683.09588481",28043557
2010,1999731,"2843557.12646137","3386415.02374808",25200000
2011,2062934,"2846685.15168412","3413049.63940656",22353314
2012,2380824,"2849665.53126849","3439587.48575828",19503649
2013,,"2852505.06749391","3466029.10602464",16651144
2014,,"2855210.2649756 ","3492375.04350054",13795933
2015,,"2857787.34218732","3518625.84131985",10938146
2016,,"2860242.24268671","3544782.04223521",8077904
2017,,"2862580.64603496","3570844.18841153",5215323
2018,,"2864807.97840418","3596812.82123226",2350515
2019,,"2866929.42286859","3622688.4811178 ",-516413
2020,,"2868949.92937706","3648471.70735539",-3385363
2021,,"2870874.2244064 ","3674163.03793974",-6256237
2022,,"2872706.82029617","3699763.00942391",-9128944
2023,,"2874452.02426704","3725272.15677987",-12003396
2024,,"2876113.94712584","3750691.01326803",-14879510
2025,,"2877696.51166121","3776020.1103156 ",-17757207
2026,,"2879203.46073488","3801259.97740283",-20636410
2027,,"2880638.36507385","3826411.14195712",-23517048
2028,,"2882004.63076972","3851474.12925433",-26399053
2029,,"2883305.50649146","3876449.46232691",-29282359
2030,,"2884544.09041879","3901337.66187861",-32166903
2031,,"2885723.33690304","3926139.2462052 ",-35052626
2032,,"2886846.06286313","3950854.73112116",-37939472
2033,,"2887914.95392407","3975484.6298916 ",-40827387
2034,,"2888932.57030583","4000029.45316968",-43716320
2035,,"2889901.35247008","4024489.70893859",-46606221
2036,,"2890823.62653282","4048865.9024584 ",-49497045
2037,,"2891701.60945045","4073158.53621723",-52388746
2038,,"2892537.41398698","4097368.10988643",-55281284
2039,,"2893333.05347028","4121495.12027988",-58174617
2040,,"2894090.44634438","4145540.06131682",-61068707
2041,,"2894811.42052573","4169503.4239882 ",-63963519
2042,,"2895497.71757045","4193385.69632643",-66859016
2043,,"2896150.99665966","4217187.36337812",-69755167
2044,,"2896772.83840997","4240908.90717984",-72651940
2045,,"2897364.74851593","4264550.80673667",-75549305
2046,,"2897928.1612309 ","4288113.53800329",-78447233
2047,,"2898464.442693  ","4311597.57386769",-81345697
2048,,"2898974.89410227","4335003.38413714",-84244672
2049,,"2899460.75475506","4358331.43552638",-87144133
2050,,"2899923.20494173","4381582.19164786",-90044056
2051,,"2900363.36871311","4404756.11300411",-92944420
2052,,"2900782.31652137","4427853.65698176",-95845202
2053,,"2901181.06774055","4450875.27784747",-98746383
2054,,"2901560.593072  ","4473821.42674543",-101647944
2055,,"2901921.81683941","4496692.55169649",-104549865
2056,,"2902265.61917854","4519489.09759868",-107452131
2057,,"2902592.83812585","4542211.50622917",-110354724
2058,,"2902904.27161086","4564860.21624749",-113257628
2059,,"2903200.67935609","4587435.66320004",-116160829
2060,,"2903482.78468894","4609938.27952569",-119064312
2061,,"2903751.27626926","4632368.4945625 ",-121968063
2062,,"2904006.80973647","4654726.73455539",-124872070
2063,,"2904250.00927973","4677013.42266493",-127776320
2064,,"2904481.46913478","4699228.97897679",-130680801
2065,,"2904701.75501056","4721373.82051224",-133585503
2066,,"2904911.40544895","4743448.36123935",-136490414
2067,,"2905110.93312066","4765453.0120849 ",-139395525
2068,,"2905300.82606003","4787388.18094702",-142300826
2069,,"2905481.54884172","4809254.27270848",-145206308
2070,,"2905653.54370193","4831051.68925056",-148111961
2071,,"2905817.23160653","4852780.82946745",-151017778
2072,,"2905973.01326874","4874442.0892813 ",-153923751
2073,,"2906121.27011868","4896035.86165758",-156829873
2074,,"2906262.36522687","4917562.53662095",-159736135
2075,,"2906396.64418397","4939022.50127167",-162642532
2076,,"2906524.43593871","4960416.1398022 ",-165549056
2077,,"2906646.05359606","4981743.83351428",-168455702
2078,,"2906761.79517736","5003005.96083636",-171362464
2079,,"2906871.94434425","5024202.89734117",-174269336
2080,,"2906976.77108821","5045335.01576374",-177176313
2081,,"2907076.53238709","5066402.6860196 ",-180083389
2082,,"2907171.47283042","5087406.27522322",-182990561
2083,,"2907261.82521479","5108346.14770654",-185897823
2084,,"2907347.81111081","5129222.66503801",-188805170
2085,,"2907429.64140306","5150036.18604136",-191712600
2086,,"2907507.51680398","5170787.06681485",-194620108
2087,,"2907581.62834343","5191475.66075053",-197527689
2088,,"2907652.15783464","5212102.31855358",-200435341
2089,,"2907719.2783179 ","5232667.3882619 ",-203343061
2090,,"2907783.15448297","5253171.21526549",-206250844
2091,,"2907843.94307127","5273614.14232631",-209158688
2092,,"2907901.7932587 ","5293996.50959778",-212066589
2093,,"2907956.84702017","5314318.65464465",-214974546
