"Year","Production","Shipments","Imports","Exports","Industry stocks","Government stocks","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production","Estimated","Log. Estimated","Reserves"
1900,23600,23800,8800,1020,"NA","NA",31300,"3,75","74,00",88000,"92881","98219","33546652921"
1901,19200,20200,18600,1020,"NA","NA",36800,"3,60","71,00",106000,"103629","109273","33546543647"
1902,27800,27800,16000,"NA","NA","NA",43800,"3,40","64,00",136000,"115589","121540","33546422107"
1903,48900,45400,15100,"NA","NA","NA",64000,"3,29","60,00",189000,"128892","135147","33546286959"
1904,48400,51800,15600,"NA","NA","NA",64000,"3,15","57,00",133000,"143680","150232","33546136727"
1905,48900,57500,11900,"NA","NA","NA",60800,"3,91","71,00",159000,"160111","166947","33545969779"
1906,76500,71700,18100,"NA","NA","NA",94600,"3,49","63,00",201000,"178355","185457","33545784322"
1907,99300,95900,25500,"NA","NA","NA",125000,"3,66","64,00",269000,"198602","205944","33545578377"
1908,53000,50900,22000,"NA","NA","NA",75000,"3,99","73,00",243000,"221056","228606","33545349770"
1909,131000,134000,19000,"NA","NA","NA",150000,"4,42","80,00",275000,"245943","253659","33545096111"
1910,151000,153000,15900,"NA","NA","NA",167000,"4,13","72,00",356000,"273508","281336","33544814774"
1911,158000,160000,43900,"NA","NA","NA",202000,"3,74","66,00",425000,"304019","311895","33544502879"
1912,162000,164000,26600,"NA","NA","NA",189000,"3,58","61,00",435000,"337765","345611","33544157268"
1913,214000,214000,21800,"NA","NA","NA",235000,"3,94","64,90",539000,"375064","382786","33543774482"
1914,223000,222000,25200,5460,"NA","NA",243000,"3,82","62,30",236000,"416259","423746","33543350735"
1915,302000,305000,3480,16300,"NA","NA",289000,"4,92","79,40",321000,"461722","468845","33542881889"
1916,432000,432000,30,18200,"NA","NA",414000,"2,85","42,60",701000,"511857","518465","33542363423"
1917,578000,578000,7810,22100,"NA","NA",563000,"3,71","47,30",1030000,"567099","573019","33541790404"
1918,615000,615000,3710,20000,"NA","NA",599000,"3,99","43,10",818000,"627919","632950","33541157454"
1919,383000,383000,6180,18000,"NA","NA",371000,"5,95","56,10",569000,"694824","698739","33540458714"
1920,530000,530000,43600,22600,"NA","NA",551000,"5,77","47,00",901000,"768362","770902","33539687811"
1921,142000,142000,28000,6040,"NA","NA",164000,"5,88","53,50",318000,"849120","849993","33538837818"
1922,315000,315000,24000,19900,"NA","NA",319000,"3,91","37,90",701000,"937729","936606","33537901211"
1923,531000,531000,121000,79800,"NA","NA",572000,"4,91","46,80",1200000,"1034866","1031379","33536869832"
1924,353000,353000,205000,78300,"NA","NA",480000,"4,43","42,20",1160000,"1141255","1134994","33535734837"
1925,322000,319000,359000,79900,"NA","NA",601000,"4,31","40,10",1380000,"1257670","1248180","33534486657"
1926,399000,399000,286000,89200,"NA","NA",596000,"4,15","38,20",1380000,"1384938","1371715","33533114941"
1927,326000,326000,362000,124000,"NA","NA",565000,"4,34","40,70",1880000,"1523939","1506429","33531608512"
1928,381000,381000,356000,115000,"NA","NA",622000,"4,31","41,10",2030000,"1675610","1653204","33529955307"
1929,372000,372000,387000,136000,"NA","NA",623000,"4,54","43,30",2150000,"1840945","1812979","33528142327"
1930,336000,336000,416000,106000,"NA","NA",646000,"4,79","46,80",1630000,"2020999","1986750","33526155576"
1931,199000,199000,311000,89800,"NA","NA",421000,"4,80","51,50",1150000,"2216890","2175572","33523980004"
1932,97900,98000,209000,28900,"NA","NA",278000,"4,99","59,40",1000000,"2429799","2380562","33521599442"
1933,157000,157000,152000,22100,"NA","NA",286000,"5,92","74,20",1100000,"2660970","2602900","33518996541"
1934,172000,172000,169000,52200,"NA","NA",255000,"7,10","86,40",1330000,"2911716","2843833","33516152708"
1935,249000,272000,203000,83800,"NA","NA",332000,"7,13","84,80",1770000,"3183418","3104672","33513048035"
1936,386000,376000,328000,85800,"NA","NA",557000,"7,22","84,70",2830000,"3477524","3386800","33509661235"
1937,432000,440000,516000,125000,"NA","NA",741000,"7,00","79,20",3750000,"3795553","3691665","33505969569"
1938,316000,297000,463000,58700,"NA","NA",721000,"7,61","88,00",3870000,"4139092","4020791","33501948778"
1939,381000,355000,529000,52500,"NA","NA",857000,"7,12","83,50",4340000,"4509801","4375770","33497573007"
1940,446000,456000,640000,83200,"NA","NA",999000,"6,72","78,20",4390000,"4909408","4758269","33492814738"
1941,952000,953000,1130000,137000,"NA","NA",1960000,"6,58","73,00",6110000,"5339712","5170028","33487644710"
1942,2640000,2490000,898000,265000,1570000,"NA",2870000,"6,62","66,20",8360000,"5802581","5612860","33482031850"
1943,6330000,6040000,1570000,242000,4480000,"NA",5420000,"6,91","65,10",14000000,"6299951","6088653","33475943196"
1944,2870000,2740000,569000,149000,4220000,"NA",3520000,"6,75","62,50",6960000,"6833825","6599368","33469343828"
1945,997000,1090000,751000,128000,3640000,"NA",2470000,"7,02","63,60",3430000,"7406272","7147041","33462196786"
1946,1120000,1040000,866000,99400,3570000,"NA",1920000,"6,89","57,60",4360000,"8019423","7733780","33454463006"
1947,1220000,1180000,1850000,95900,3780000,"NA",2610000,"6,42","46,90",6320000,"8675472","8361763","33446101243"
1948,1480000,1400000,2530000,55000,4090000,"NA",2770000,"6,26","42,30",8360000,"9376668","9033241","33437068001"
1949,1170000,1200000,2730000,35500,4250000,"NA",2720000,"5,98","41,00",8230000,"10125317","9750534","33427317467"
