Year,Primary production ,Secondary production,Imports,Exports ,Government shipments,Stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,Log. Estimated,Log. Log. Estimated,Reserves
1900,0,0,0,0,0,0,"0,022",28400000,557000000,,,,10039
1901,0,0,0,0,0,0,"0,031",26800000,525000000,,,,10039
1902,0,0,0,0,0,0,"0,03",27000000,509000000,,,,10039
1903,0,0,0,0,0,0,"0,027",27500000,500000000,,,,10039
1904,0,0,0,0,0,0,"0,018",29300000,533000000,,,,10039
1905,0,0,0,0,0,0,"0,0056",35000000,637000000,,,,10039
1906,0,0,0,0,0,0,"0,0077",33400000,607000000,,,,10039
1907,0,0,0,0,0,0,"0,022",28400000,498000000,,,,10039
1908,0,0,0,0,0,0,"0,031",26800000,487000000,,,,10039
1909,0,0,0,0,0,0,"0,03",27000000,490000000,,,,10039
1910,0,0,0,0,0,0,"0,0081",33100000,580000000,,,,10039
1911,0,0,0,0,0,0,"0,0096",32200000,565000000,,,,10039
1912,0,0,0,0,0,0,"0,019",29000000,491000000,,,,10039
1913,0,0,0,0,0,0,"0,02",28800000,474000000,,,,10039
1914,0,0,0,0,0,0,"0,023",28100000,458000000,,,,10039
1915,0,0,0,0,0,0,"0,015",30100000,486000000,,,,10039
1916,0,0,0,0,0,0,"0,034",26400000,395000000,,,,10039
1917,0,0,0,0,0,0,"0,06",24200000,308000000,,,,10039
1918,0,0,0,0,0,0,"0,048",25100000,271000000,,,,10039
1919,0,0,0,0,0,0,"0,11",22100000,208000000,,,,10039
1920,0,0,0,0,0,0,"0,16",20700000,168000000,,,,10039
1921,0,0,0,0,0,0,"0,016",29900000,272000000,,,,10039
1922,0,0,0,0,0,0,"0,04",25800000,250000000,,,,10039
1923,0,0,0,0,0,0,"0,0067",34000000,324000000,,,,10039
1924,0,0,"0,0268",0,0,0,"0,027",51400000,490000000,,,,10039
1925,0,0,"0,0789",0,0,0,"0,079",34700000,324000000,,,,10039
1926,0,0,"0,00354",0,0,0,"0,0035",58800000,539000000,,,,10039
1927,0,0,"0,00725",0,0,0,"0,0073",305000000,2850000000,,,,10039
1928,0,0,"0,00787",0,0,0,"0,0079",354000000,3380000000,,,,10039
1929,0,0,"0,0103",0,0,0,"0,01",403000000,3840000000,,,,10039
1930,0,0,"0,0302",0,0,0,"0,03",94300000,925000000,,,,10039
1931,0,0,"0,0452",0,0,0,"0,045",53600000,573000000,,,,10039
1932,0,0,"0,0329",0,0,0,"0,033",32600000,389000000,,,,10039
1933,0,0,"0,0533",0,0,0,"0,053",24600000,309000000,,,,10039
1934,0,0,"0,106",0,0,0,"0,11",27800000,338000000,,,,10039
1935,0,0,"0,192",0,0,0,"0,19",22900000,272000000,,,,10039
