"GOLD STATISTICS1",,,,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,,,
"[All values are in metric tons (t) gold content unless otherwise noted]",,,,,,,,,
"Last modification: October 26, 2011",,,,,,,,,
"Year","Primary production","Secondary production","Imports","Exports","Shipments","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production"
1900,120,"NA","NA","NA","NA","33,2",609 000,11 900 000,386
1901,120,"NA","NA","NA","NA","35,9",610 000,11 900 000,395
1902,122,"NA","NA","NA","NA","41,7",609 000,11 400 000,451
1903,114,"NA","NA","NA","NA","43,7",609 000,11 000 000,496
1904,122,"NA","NA","NA","NA","43,1",608 000,11 000 000,526
1905,133,"NA","NA","NA","NA","50,0",607 000,11 000 000,575
1906,146,"NA","NA","NA","NA","58,9",608 000,11 000 000,608
1907,132,"NA","NA","NA","NA","61,3",609 000,10 600 000,623
1908,138,"NA","54,2","63,0","NA","47,4",609 000,11 000 000,668
1909,150,"NA","57,7","62,1","NA","56,6",609 000,11 000 000,687
1910,143,"NA","73,9","4,67","NA","62,9",608 000,10 600 000,689
1911,146,"NA","62,1","9,87","NA","61,4",608 000,10 600 000,699
1912,140,"NA","74,9","40,0","NA","66,2",609 000,10 300 000,705
1913,135,"NA","63,6","70,3","NA","69,0",608 000,10 000 000,694
1914,139,"NA","41,7","79,4","NA","54,4",610 000,9 900 000,663
1915,150,"NA","99,0","3,36","NA","54,4",616 000,9 890 000,704
1916,140,"NA",794,"42,1","NA","75,3",623 000,9 300 000,685
1917,123,"NA",628,136,"NA","75,9",629 000,8 000 000,631
1918,102,"NA","83,0","12,4","NA","79,8",635 000,6 870 000,578
1919,"85,6","NA","75,1",184,"NA",115,641 000,6 040 000,550
1920,"74,1","NA",517,"58,9","NA",120,660 000,5 370 000,507
1921,"72,9","NA",808,"5,56","NA","72,9",662 000,6 030 000,498
1922,"71,3","NA",310,"8,46","NA","85,2",667 000,6 490 000,481
1923,"74,8","NA",316,"30,1","NA",101,664 000,6 350 000,554
1924,"76,0","NA",329,"0,410","NA","97,5",665 000,6 340 000,592
1925,"71,8","NA",170,160,"NA","92,1",664 000,6 180 000,591
1926,"69,4","NA",140,"14,7","NA","94,8",663 000,6 110 000,602
1927,"65,5","NA",159,"82,7","NA","85,5",664 000,6 240 000,597
1928,"66,8","NA",176,628,"NA","85,1",665 000,6 330 000,603
1929,"64,0","NA",264,164,"NA","85,6",663 000,6 310 000,609
1930,"66,5","NA",111,114,"NA","64,2",662 000,6 470 000,648
1931,"69,2","NA",299,581,"NA","43,9",723 000,7 740 000,695
1932,"72,5","NA",408,1 080,"NA","30,3",665 000,7 940 000,754
1933,"71,7","NA",219,127,"NA","20,7",847 000,10 700 000,793
1934,"86,4","NA",1 050,"46,9","NA","12,7",1 120 000,13 600 000,841
1935,101,"NA",1 470,"1,70","NA","23,0",1 120 000,13 300 000,924
1936,118,"NA",1 010,"24,5","NA","29,3",1 120 000,13 200 000,1 030
1937,128,"NA",1 450,"40,9","NA","35,2",1 120 000,12 700 000,1 100
1938,161,"NA",1 740,"5,23","NA","26,8",1 120 000,13 000 000,1 170
1939,145,"NA",3 170,"0,451","NA","34,5",1 110 000,13 000 000,1 230
1940,151,"NA",3 760,"0,995","NA","36,6",1 090 000,12 700 000,1 310
1941,148,"NA",872,"0,050","NA","60,4",1 090 000,12 000 000,1 080
1942,108,"NA",280,"0,091","NA","67,3",1 090 000,10 900 000,1 120
1943,"42,4","NA","90,4","21,4","NA","86,1",1 090 000,10 300 000,896
1944,"31,1","NA","89,3",853,"NA",109,1 090 000,10 100 000,813
1945,"29,7","NA","83,2",176,"NA",124,1 120 000,10 100 000,762
1946,"49,0","NA",340,197,"NA",177,1 120 000,9 320 000,860
1947,"65,6","NA",1 720,157,"NA","87,2",1 120 000,8 150 000,900
1948,"62,7","NA",1 720,166,"NA","80,1",1 120 000,7 560 000,932
1949,"62,0","NA",686,"67,5","NA",132,1 020 000,6 970 000,964
1950,"74,5","NA",145,455,"NA",120,1 120 000,7 560 000,879
1951,"61,6","NA","72,2",546,"NA","93,3",1 120 000,7 010 000,883
1952,"58,9","NA",658,"24,4","NA",113,1 110 000,6 830 000,868
1953,"60,9","NA","41,8","26,6","NA",100,1 120 000,6 830 000,864
1954,"57,1","NA","33,7","15,4","NA","69,6",1 130 000,6 830 000,965
1955,"58,5","NA","91,1","5,05","NA","61,1",1 130 000,6 860 000,947
1956,"56,8","NA",116,"22,8","NA","68,0",1 130 000,6 750 000,978
1957,"55,8","NA",240,149,"NA","69,7",1 120 000,6 510 000,1 020
1958,"54,1","NA",253,"27,6","NA","80,9",1 130 000,6 360 000,1 050
1959,"49,9","NA",264,"1,54","NA","98,8",1 130 000,6 310 000,1 130
1960,"51,8","NA",290,"1,46","NA",115,1 130 000,6 240 000,1 190
1961,"48,2","NA","50,2",689,"NA",122,1 130 000,6 160 000,1 230
1962,"48,0","NA",134,339,"NA",140,1 130 000,6 090 000,1 290
1963,"45,2","NA","39,8",181,"NA",132,1 130 000,6 010 000,1 340
1964,"45,3","16,1","36,4",376,-114,183,1 130 000,5 930 000,1 390
1965,"53,0","18,0","90,4",1 140,-146,204,1 130 000,5 840 000,1 440
1966,"56,1","21,2","37,3",406,-174,242,1 130 000,5 680 000,1 450
1967,"49,3","25,3","28,9",893,-195,291,1 130 000,5 530 000,1 420
1968,"46,0","28,0",185,745,"-57,8",296,1 290 000,6 040 000,1 440
1969,"53,9","28,0",182,"10,5",0,312,1 340 000,5 940 000,1 450
1970,"54,2","26,4",134,"3,30",0,272,1 170 000,4 920 000,1 480
1971,"46,5","28,9",196,"39,7",0,284,1 330 000,5 340 000,1 450
1972,"45,1","27,7",191,"23,8",0,292,1 880 000,7 340 000,1 390
1973,"36,6","23,4",120,"18,7","53,0",265,3 150 000,11 500 000,1 350
1974,"35,1","25,3","82,5","17,7","66,7",205,5 140 000,17 000 000,1 250
1975,"32,7","34,9","82,8","83,6","17,9",208,5 190 000,15 700 000,1 200
1976,"32,6","33,2","82,6","89,5","66,1",222,4 030 000,11 500 000,1 210
1977,"34,2","32,3",139,218,199,228,4 770 000,12 800 000,1 210
1978,"31,1","43,0",146,171,"48,8",243,6 220 000,15 600 000,1 210
1979,"30,0","52,1",144,513,"1,20",239,9 890 000,22 200 000,1 210
1980,"30,2","67,9",141,190,"55,5",170,19 700 000,39 000 000,1 220
1981,"42,9","50,1",145,200,"36,7",151,14 800 000,26 500 000,1 280
1982,"45,6","55,5",153,"92,4","41,4",177,12 100 000,20 400 000,1 340
1983,"62,3","55,5",143,"97,6","-6,80",194,13 600 000,22 300 000,1 400
1984,"64,9","55,0",245,155,"11,9",186,11 600 000,18 200 000,1 460
1985,"75,5","49,8",256,123,"15,1",180,10 200 000,15 500 000,1 530
1986,116,"47,3",490,155,146,188,11 800 000,17 600 000,1 610
1987,154,"63,8",120,120,"95,1",193,15 400 000,22 000 000,1 660
1988,201,"61,4","92,5",328,208,204,14 100 000,19 400 000,1 870
1989,266,"51,9",153,211,132,212,12 300 000,16 200 000,2 010
1990,294,"44,0","97,5",241,"51,5",198,12 400 000,15 400 000,2 180
1991,294,"48,1",179,310,"61,6",190,11 700 000,14 000 000,2 160
1992,330,"53,4",174,389,136,203,11 100 000,12 900 000,2 260
1993,331,"66,0",169,786,582,214,11 600 000,13 100 000,2 280
1994,327,"75,0",136,469,217,224,12 400 000,13 600 000,2 260
1995,317,"43,0",140,399,244,231,12 400 000,13 300 000,2 230
1996,326,"44,0",159,471,373,235,12 500 000,13 000 000,2 290
1997,362,"49,0",209,477,143,265,10 700 000,10 900 000,2 450
1998,366,"86,3",278,522,310,667,9 490 000,9 490 000,2 500
1999,341,"77,2",221,523,303,399,9 000 000,8 810 000,2 570
2000,353,"40,0",223,547,356,337,9 010 000,8 530 000,2 590
2001,335,41,193,489,259,257,8 750 000,8 050 000,2 600
2002,298,38,217,257,40,267,10 000 000,9 060 000,2 550
2003,277,44,249,352,55,224,11 700 000,10 400 000,2 540
2004,258,45,283,257,3,295,13 200 000,11 400 000,2 420
2005,256,40,341,324,0,277,14 300 000,11 900 000,2 470
2006,252,44,263,389,0,130,19 500 000,15 800 000,2 370
2007,238,66,170,519,189,214,22 400 000,17 600 000,2 350
2008,233,87,231,567,220,183,28 100 000,21 300 000,2 280
2009,223,92,320,381,0,254,31 300 000,23 800 000,2 460
2010,231,103,604,383,0,555,39 500 000,28 500 000,2 560
"NA Not available.",,,,,,,,,
"1Compiled by K.E. Porter (retired), E.B. Amey (retired), and M.W. George.",,,,,,,,,
"Data are calculated, estimated, or reported.  See notes for more information.",,,,,,,,,
