"Year","Production","Sold or used","Imports","Exports","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production","Estimated","Log. Estimated","Reserves"
1900,1520000,1520000,"NA",630000,885000,"3.54","69.00",3150000,2425717,2573317,77983094900
1901,1510000,1510000,"NA",741000,766000,"3.52","69.00",3000000,2555922,2702560,77980392400
1902,1510000,1510000,"NA",815000,699000,"3.10","58.00",3120000,2692721,2838029,77977554400
1903,1610000,1610000,"NA",798000,809000,"3.31","60.00",3450000,2836421,2980003,77974574400
1904,1910000,1900000,"NA",856000,1050000,"3.45","63.00",3870000,2987340,3128777,77971445600
1905,1980000,1980000,"NA",950000,1030000,"3.42","62.00",3850000,3145811,3284656,77968160900
1906,2110000,2110000,"NA",919000,1200000,"4.06","74.00",4190000,3312177,3447957,77964713000
1907,2300000,2300000,"NA",1030000,1270000,"4.63","81.00",4720000,3486799,3619011,77961093900
1908,2420000,2420000,14500,1210000,1230000,"4.72","86.00",5380000,3670048,3798162,77957295800
1909,2380000,2380000,10100,1040000,1350000,"2.41","44.00",4950000,3862313,3985769,77953310000
1910,2700000,2700000,22100,1100000,1620000,"1.80","32.00",5430000,4063994,4182203,77949127800
1911,3100000,3100000,16400,1270000,1850000,"1.52","27.00",5940000,4275511,4387851,77944740000
1912,3020000,3020000,29300,1230000,1820000,"1.60","27.00",6730000,4497296,4603117,77940136800
1913,3160000,3160000,17400,1390000,1790000,"1.08","17.80",7230000,4729799,4828417,77935308400
1914,2780000,2780000,15300,980000,1810000,"1.64","26.80",5420000,4973488,5064186,77930244200
1915,1970000,1870000,5400,257000,1610000,"2.39","38.50",4120000,5228846,5310876,77924933400
1916,2200000,2010000,4700,248000,1770000,"2.70","40.40",4830000,5496375,5568956,77919364400
1917,2900000,2630000,93,169000,2460000,"2.82","35.90",4710000,5776595,5838913,77913525500
1918,2320000,2530000,0,146000,2380000,"3.06","33.00",4190000,6070045,6121251,77907404200
1919,1880000,2310000,35,385000,1920000,"4.17","39.30",4150000,6377281,6416495,77900987700
1920,4040000,4170000,64,1090000,3080000,"4.71","38.30",6870000,6698883,6725191,77894262600
1921,2470000,2100000,3600,745000,1360000,"3.68","33.50",5430000,7035446,7047901,77887214700
1922,2370000,2460000,6000,731000,1730000,"2.73","26.50",5940000,7387590,7385214,77879829400
1923,2990000,3050000,6800,841000,2220000,"2.65","25.20",7120000,7755954,7737734,77872091700
1924,2890000,2910000,16400,832000,2100000,"2.53","24.10",7780000,8141198,8106094,77863985600
1925,3310000,3540000,2800,884000,2660000,"2.22","20.70",8900000,8544005,8490945,77855494700
1926,3650000,3260000,17700,761000,2520000,"2.64","24.20",9380000,8965080,8892964,77846601700
1927,3070000,3220000,28600,933000,2320000,"2.94","27.50",9990000,9405154,9312852,77837288800
1928,3580000,3560000,46500,913000,2690000,"3.13","29.80",10100000,9864976,9751335,77827537500
1929,3880000,3820000,45600,1160000,2710000,"3.04","29.00",10400000,10345324,10209165,77817328300
1930,4020000,3990000,33200,1250000,2780000,"3.15","30.90",11800000,10846998,10687120,77806641200
1931,2710000,2580000,13700,967000,1620000,"3.19","34.20",7860000,11370823,11186005,77795455200
1932,1730000,1730000,13200,623000,1120000,"2.70","32.10",7110000,11917651,11706656,77783748600
1933,2400000,2530000,7800,842000,1700000,"2.60","32.60",8900000,12488358,12249933,77771498600
1934,2950000,2880000,0,1010000,1870000,"2.69","32.70",9510000,13083847,12816730,77758681900
1935,3210000,3090000,3800,1120000,1970000,"2.64","31.40",10500000,13705049,13407970,77745273900
1936,3520000,3410000,3100,1230000,2180000,"2.13","25.10",11300000,14352920,14024605,77731249300
1937,4330000,4020000,13600,1070000,2960000,"2.45","27.70",12900000,15028447,14667623,77716581700
1938,3920000,3800000,7100,1160000,2650000,"2.42","28.00",12900000,15732640,15338042,77701243700
1939,4050000,3820000,3600,964000,2860000,"2.48","29.10",12800000,16466543,16036914,77685206700
1940,4130000,4070000,3000,764000,3310000,"2.57","29.90",10300000,17231226,16765327,77668441400
1941,5000000,4760000,4400,1040000,3710000,"2.65","29.40",10800000,18027787,17524404,77650917000
1942,4900000,4720000,3800,537000,4190000,"3.17","31.70",8800000,18857357,18315303,77632601700
1943,5460000,5210000,47300,364000,4890000,"3.36","31.70",9250000,19721094,19139221,77613462500
1944,5280000,5460000,125400,445000,5140000,"3.58","33.10",9330000,20620189,19997392,77593465100
1945,5490000,5900000,143900,499000,5550000,"3.85","35.00",10900000,21555862,20891089,77572574000
1946,7280000,6970000,60700,710000,6320000,"4.30","35.80",15300000,22529363,21821624,77550752400
1947,9260000,9170000,44200,1670000,7540000,"5.04","36.80",18300000,23541976,22790353,77527962000
1948,9540000,8810000,48900,1030000,7820000,"5.75","38.90",19400000,24595014,23798671,77504163400
1949,9020000,9130000,65900,1340000,7860000,"5.63","38.60",19700000,25689824,24848016,77479315300
1950,10900000,10400000,88600,1790000,8720000,"5.71","38.60",23400000,26827783,25939870,77453375500
1951,12200000,11300000,94900,1700000,9660000,"5.87","36.70",24600000,28010300,27075759,77426299700
1952,12300000,11500000,112000,1420000,10200000,"6.04","37.10",26400000,29238820,28257256,77398042500
1953,12700000,12700000,103000,2090000,10700000,"6.14","37.40",27200000,30514816,29485978,77368556500
1954,14000000,13300000,124000,2320000,11100000,"6.29","38.10",30500000,31839795,30763592,77337792900
1955,12500000,13400000,119000,2220000,11300000,"6.23","38.00",30500000,33215299,32091810,77305701100
1956,16000000,14300000,112000,2730000,11700000,"6.50","38.90",34200000,34642900,33472397,77272228700
1957,14200000,14800000,112000,3060000,11900000,"6.29","36.60",33200000,36124205,34907166,77237321500
1958,15100000,15000000,110000,2740000,12400000,"6.29","35.50",33700000,37660851,36397981,77200923500
1959,16100000,16300000,142000,3100000,13400000,"6.18","34.50",38400000,39254512,37946759,77162976800
1960,17800000,17500000,131000,4060000,13600000,"6.82","37.50",41800000,40906891,39555470,77123421300
1961,18900000,18100000,136000,3980000,14300000,"7.16","39.10",45500000,42619726,41226137,77082195200
1962,19700000,19400000,136000,4000000,15500000,"7.11","38.40",63300000,44394787,42960840,77039234300
1963,19700000,20200000,163000,4620000,15700000,"7.15","38.00",54600000,46233876,44761712,76994472600
1964,23300000,22400000,159000,5780000,16800000,"7.16","37.70",63700000,48138828,46630945,76947841700
1965,26900000,26300000,134000,6640000,19800000,"7.08","36.70",71400000,50111511,48570789,76899270900
1966,35400000,33100000,161000,8390000,24800000,"7.39","37.10",84500000,52153823,50583551,76848687300
1967,36100000,34300000,126000,9140000,25300000,"7.31","35.70",87300000,54267694,52671598,76796015700
1968,37400000,33900000,105000,11000000,23000000,"6.76","31.70",94100000,56455087,54837358,76741178400
1969,34200000,33300000,127000,10300000,23200000,"6.29","27.90",92100000,58717994,57083321,76684095000
1970,35100000,35200000,123000,10600000,24600000,"5.99","25.20",95100000,61058438,59412038,76624683000
1971,35200000,36600000,76200,11400000,25200000,"5.94","23.90",94000000,63478473,61826123,76562856900
1972,37000000,39700000,49900,13000000,26800000,"5.56","21.70",101000000,65980181,64328256,76498528600
1973,38200000,40900000,59000,12600000,28300000,"6.11","22.40",111000000,68565675,66921178,76431607400
1974,41400000,43900000,165000,12600000,31500000,"10.90","36.10",123000000,71237096,69607700,76361999700
1975,44300000,42100000,33000,11100000,31000000,"20.20","61.10",109000000,73996612,72390697,76289609000
1976,44700000,40500000,42000,9430000,31100000,"18.80","54.00",109000000,76846420,75273110,76214335900
1977,47300000,47400000,158000,13200000,34400000,"15.90","42.80",121000000,79788743,78257951,76136078000
1978,50000000,48800000,908000,12900000,36800000,"17.10","42.70",127000000,82825829,81348299,76054729700
1979,51600000,53100000,886000,14400000,39600000,"18.40","41.30",134000000,85959953,84547303,75970182400
1980,54400000,54600000,486000,14300000,40800000,"20.20","40.00",147000000,89193414,87858181,75882324200
1981,53600000,45500000,13000,10400000,35100000,"23.90","42.80",145000000,92528535,91284223,75791040000
1982,37400000,38600000,31000,9840000,28800000,"24.00","40.60",129000000,95967661,94828790,75696211200
1983,42600000,46800000,9000,12000000,34800000,"22.90","37.40",143000000,99513159,98495315,75597715900
1984,49200000,53300000,9000,11500000,41800000,"22.80","35.80",154000000,103167419,102287304,75495428600
1985,50800000,46600000,34000,9140000,37500000,"23.20","35.20",151000000,106932848,106208336,75389220200
1986,38700000,41800000,528000,7850000,34500000,"21.60","32.10",141000000,110811875,110262064,75278958200
1987,41000000,43700000,464000,8450000,35700000,"18.90","27.10",147000000,114806945,114452216,75164505900
1988,45400000,48400000,676000,8090000,41000000,"18.70","25.80",166000000,118920520,118782592,75045723400
