Year,Production,Imports,Exports,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,Log. Estimated,Log. Log. Estimated,Reserves
1900,227,NA,NA,227,NA,NA,1040,350,364,112988293
1901,187,NA,NA,187,NA,NA,1090,364,377,112987916
1902,200,NA,NA,200,NA,NA,863,378,389,112987526
1903,215,NA,NA,215,NA,NA,2030,393,403,112987123
1904,186,NA,NA,186,NA,NA,2860,409,416,112986707
1905,335,NA,NA,335,NA,NA,2780,426,431,112986275
1906,211,NA,NA,211,NA,NA,2600,443,446,112985829
1907,137,NA,NA,137,NA,NA,2580,462,462,112985367
1908,105,NA,NA,105,NA,NA,2840,481,478,112984889
1909,135,NA,NA,135,NA,NA,3690,501,495,112984393
1910,25.0,NA,NA,25.0,NA,NA,3020,522,513,112983879
1911,NA,NA,NA,22.0,NA,NA,2490,544,532,112983347
1912,NA,NA,NA,19.0,NA,NA,2500,567,551,112982795
1913,NA,NA,NA,15.0,NA,NA,1480,591,572,112982223
1914,NA,NA,NA,01.12.00,NA,NA,992,617,593,112981629
1915,01.09.00,NA,NA,01.09.00,NA,NA,870,644,616,112981012
1916,01.09.00,NA,NA,01.09.00,NA,NA,731,672,639,112980372
1917,25.0,NA,NA,25.0,NA,NA,1730,701,664,112979708
1918,NA,NA,NA,20.0,NA,NA,1470,732,690,112979017
1919,NA,NA,NA,15.0,NA,NA,1210,765,717,112978299
1920,NA,NA,NA,01.09.99,NA,NA,1590,799,746,112977553
1921,NA,NA,NA,01.05.00,NA,NA,929,835,775,112976777
1922,NA,0.017,NA,0.017,2450,23800,189,873,807,112975970
1923,NA,13.06.13,NA,13.06.13,344,3280,138,913,840,112975130
1924,NA,37.2,NA,37.2,219,2090,348,955,874,112974255
1925,0.499,01.06.74,NA,01.07.24,1070,10000,12,1000,911,112973344
1926,NA,01.03.53,NA,01.03.53,311,2850,146,1047,949,112972395
1927,NA,26.04.13,NA,26.04.13,237,2210,352,1096,989,112971406
1928,NA,31.4,NA,31.4,451,4300,180,1148,1031,112970374
1929,NA,41.7,NA,41.7,412,3920,197,1202,1076,112969298
1930,NA,27.01.13,NA,27.01.13,601,5890,17,1260,1122,112968175
1931,NA,0.120,NA,0.120,367,3930,50,1321,1172,112967003
1932,NA,NA,NA,0.069,5930,70600,530,1385,1224,112965779
1933,NA,0.018,NA,0.018,11600,145000,302,1453,1278,112964500
1934,NA,NA,NA,0.015,11700,142000,564,1525,1336,112963164
1935,NA,NA,NA,0.012,11700,139000,2130,1600,1397,112961766
1936,NA,0.009,NA,0.009,11700,137000,1840,1680,1461,112960304
1937,NA,652,NA,652,4,41,2150,1765,1529,112958775
1938,NA,377,NA,377,3,38,3310,1854,1601,112957173
1939,NA,471,NA,471,3,29,2510,1949,1677,112955495
1940,NA,0.200,NA,0.200,8480,98700,2370,2049,1757,112953738
1941,NA,01.08.13,NA,01.08.13,11200,124000,2380,2155,1842,112951895
1942,NA,01.04.66,10.05.13,01.06.19,9930,99300,1500,2267,1932,112949962
1943,NA,01.02.34,22.01.13,01.04.25,7240,68300,1900,2386,2027,112947935
1944,NA,01.08.18,16.09.13,01.02.31,8680,80400,3200,2512,2128,112945806
1945,NA,13.03.13,13.0,0.365,9620,87500,1440,2645,2235,112943571
1946,NA,01.06.31,16.0,83.2,11100,92500,721,2787,2348,112941222
1947,NA,0.268,73.4,200,14400,105000,1300,2937,2469,112938753
1948,20.0,0.644,22.02.13,200,14700,99300,2720,3096,2596,112936156
1949,NA,01.01.43,28.02.13,300,8900,61000,1290,3265,2732,112933424
1950,383,54.2,22.03.13,400,3540,23900,470,3444,2876,112930548
1951,747,172,NA,900,1670,10400,1240,3634,3029,112927518
1952,1110,NA,NA,1000,3910,24000,1820,3837,3192,112924326
1953,615,01.01.70,50.1,600,7090,43200,3960,4052,3365,112920960
1954,983,01.04.78,19.03.13,2270,8630,52300,7840,4280,3550,112917410
1955,608,12.05.13,14.09.13,2450,6720,41000,5760,4524,3747,112913662
1956,W,27.08.13,19.05.13,2720,5070,30400,5230,4782,3956,112909706
1957,499,44.3,01.08.58,2720,1920,11200,5980,5058,4180,112905525
1958,625,20.06.13,19.04.13,2450,5100,28800,8060,5351,4419,112901106
1959,600,06.07.13,18.05.13,2270,5050,28200,2810,5663,4673,112896432
1960,1050,17.09.13,19.05.13,2040,3540,19500,2270,5996,4946,112891486
1961,1030,1450,11.08.13,2460,82,446,3690,6351,5237,112886249
1962,W,3840,17.05.13,2110,341,1840,8020,6729,5548,112880700
1963,278,3220,86.2,2810,319,1700,6060,7133,5881,112874818
1964,256,1060,906,2770,385,2030,3680,7564,6238,112868580
1965,2900,1050,21.08.13,5050,485,2510,6960,8024,6620,112861959
1966,12200,1240,NA,6620,284,1430,16200,8515,7030,112854928
1967,12900,1070,56.9,5530,562,2740,16900,9040,7470,112847458
1968,10300,2220,36.2,7800,401,1880,16200,9600,7942,112839515
1969,12500,2110,41.6,10100,420,1870,18100,10200,8449,112831066
1970,9110,1730,31.2,10500,412,1730,15900,10842,8994,112822071
1971,9820,1690,284,9340,1040,4190,16400,11528,9581,112812490
1972,10700,466,597,12200,3690,14400,18200,12263,10212,112802278
1973,17500,1080,1420,14800,2150,7890,24000,13050,10891,112791386
1974,19900,707,1770,14100,3070,10100,25600,13894,11624,112779762
1975,15000,1300,539,11500,2050,6210,22100,14798,12413,112767348
1976,13000,1070,263,12200,4380,12500,19700,15767,13266,112754082
1977,15400,2760,867,16800,2600,6990,24500,16807,14186,112739895
1978,14100,4010,287,16800,2500,6250,26500,17923,15181,112724713
1979,16500,3810,33.9,16100,4580,10300,28800,19122,16257,112708455
1980,16000,3290,8470,18100,1960,3880,27300,20409,17422,112691033
1981,17100,4340,5350,20000,1870,3350,30600,21792,18683,112672350
1982,17500,4210,2730,17100,2360,3990,26600,23279,20050,112652299
1983,17100,2790,2900,19600,2820,4620,31400,24878,21532,112630766
1984,25300,4420,4550,21400,2380,3730,41400,26599,23142,112607624
1985,13400,3390,4670,12100,2190,3320,43500,28452,24890,112582734
