"RARE EARTHS STATISTICS1",,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,
"[All quantities in metric tons (t) rare-earth oxide equivalent unless otherwise noted]",,,,,,,
"Last modification: December 19, 2011",,,,,,,
"Year","Production","Imports","Exports","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production"
1900,227,"NA","NA",227,"NA","NA",1 040
1901,187,"NA","NA",187,"NA","NA",1 090
1902,200,"NA","NA",200,"NA","NA",863
1903,215,"NA","NA",215,"NA","NA",2 030
1904,186,"NA","NA",186,"NA","NA",2 860
1905,335,"NA","NA",335,"NA","NA",2 780
1906,211,"NA","NA",211,"NA","NA",2 600
1907,137,"NA","NA",137,"NA","NA",2 580
1908,105,"NA","NA",105,"NA","NA",2 840
1909,135,"NA","NA",135,"NA","NA",3 690
1910,"25,0","NA","NA","25,0","NA","NA",3 020
1911,"NA","NA","NA","22,0","NA","NA",2 490
1912,"NA","NA","NA","19,0","NA","NA",2 500
1913,"NA","NA","NA","15,0","NA","NA",1 480
1914,"NA","NA","NA","12,0","NA","NA",992
1915,"9,00","NA","NA","9,00","NA","NA",870
1916,"9,00","NA","NA","9,00","NA","NA",731
1917,"25,0","NA","NA","25,0","NA","NA",1 730
1918,"NA","NA","NA","20,0","NA","NA",1 470
1919,"NA","NA","NA","15,0","NA","NA",1 210
1920,"NA","NA","NA","9,99","NA","NA",1 590
1921,"NA","NA","NA","5,00","NA","NA",929
1922,"NA","0,017","NA","0,017",2 450,23 800,189
1923,"NA","13,6","NA","13,6",344,3 280,138
1924,"NA","37,2","NA","37,2",219,2 090,348
1925,"0,499","6,74","NA","7,24",1 070,10 000,12
1926,"NA","3,53","NA","3,53",311,2 850,146
1927,"NA","26,4","NA","26,4",237,2 210,352
1928,"NA","31,4","NA","31,4",451,4 300,180
1929,"NA","41,7","NA","41,7",412,3 920,197
1930,"NA","27,1","NA","27,1",601,5 890,17
1931,"NA","0,120","NA","0,120",367,3 930,50
1932,"NA","NA","NA","0,069",5 930,70 600,530
1933,"NA","0,018","NA","0,018",11 600,145 000,302
1934,"NA","NA","NA","0,015",11 700,142 000,564
1935,"NA","NA","NA","0,012",11 700,139 000,2 130
1936,"NA","0,009","NA","0,009",11 700,137 000,1 840
1937,"NA",652,"NA",652,4,41,2 150
1938,"NA",377,"NA",377,3,38,3 310
1939,"NA",471,"NA",471,3,29,2 510
1940,"NA","0,200","NA","0,200",8 480,98 700,2 370
1941,"NA","8,13","NA","8,13",11 200,124 000,2 380
1942,"NA","4,66","10,5","6,19",9 930,99 300,1 500
