Year,Production,Imports,Exports,Shipments,Stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,Estimated,Log. Estimated,Resources
1900,86100,328000,NA,NA,NA,652000,01.09.73,191,1420000,953638,999085,8105595582
1901,242000,375000,NA,NA,NA,767000,05.12.13,100,1420000,1010663,1055802,8104539780
1902,208000,389000,NA,NA,NA,770000,01.04.48,84.50,4390000,1070824,1115509,8103424270
1903,233000,400000,NA,NA,NA,791000,01.04.69,85.30,4540000,1134275,1178345,8102245925
1904,334000,338000,NA,61000,NA,549000,01.10.20,186,1320000,1201172,1244458,8101001467
1905,326000,336000,NA,165000,NA,620000,14.30,259,1420000,1271678,1313998,8099687468
1906,405000,368000,22600,188000,NA,768000,14.90,270,1320000,1345965,1387125,8098300342
1907,292000,330000,36500,276000,NA,721000,20.40,357,1320000,1424208,1464002,8096836340
1908,465000,348000,28300,210000,NA,804000,16.20,294,1220000,1506589,1544798,8095291542
1909,378000,368000,37700,262000,NA,702000,18.20,331,1320000,1593298,1629690,8093661851
1910,348000,424000,31200,255000,NA,767000,17.70,311,1420000,1684530,1718861,8091942990
1911,431000,521000,28600,258000,NA,254000,17.70,311,1420000,1780489,1812500,8090130490
1912,1080000,505000,58700,310000,NA,279000,17.10.13,289,1630000,1881384,1910802,8088219687
1913,782000,439000,92000,324000,NA,249000,17.30,285,1830000,1987431,2013972,8086205714
1914,735000,529000,102000,347000,NA,272000,17.90,292,1070000,2098854,2122219,8084083495
1915,896000,499000,49500,299000,NA,286000,16.60,268,1290000,2215884,2235759,8081847735
1916,1100000,631000,141000,779000,NA,670000,15.70,235,1440000,2338760,2354818,8079492916
1917,1680000,477000,165000,1140000,NA,984000,21.10.13,268,1980000,2467727,2479628,8077013288
1918,1880000,246000,145000,1290000,NA,1150000,21.70,234,2140000,2603037,2610428,8074402860
1919,1570000,192000,231000,689000,NA,461000,14.90,140,1800000,2744953,2747465,8071655394
1920,1680000,164000,489000,1540000,1120000,1060000,19.50,159,1590000,2893742,2890994,8068764399
1921,1970000,106000,290000,970000,NA,679000,17.50,160,2230000,3049680,3041280,8065723119
1922,1930000,137000,496000,1370000,NA,872000,16.10.13,156,2090000,3213050,3198592,8062524527
1923,2150000,129000,482000,1640000,3050000,1170000,15.80,151,2380000,3384145,3363211,8059161316
1924,1310000,122000,492000,1560000,2740000,1070000,16.00,153,3860000,3563263,3535424,8055625892
1925,1500000,135000,642000,1960000,2290000,1250000,14.80,138,4780000,3750711,3715528,8051910363
1926,1990000,179000,592000,2400000,NA,1510000,17.20,158,5490000,3946804,3903827,8048006535
1927,2470000,126000,816000,2410000,NA,1290000,17.50,164,5890000,4151864,4100636,8043905898
1928,2400000,229000,716000,2460000,2030000,1400000,16.80,160,5690000,4366221,4306277,8039599621
1929,2810000,253000,887000,2800000,1930000,1590000,16.90,161,6200000,4590213,4521081,8035078540
1930,3000000,180000,619000,2350000,3300000,1400000,16.70,163,6400000,4824186,4745387,8030333152
1931,2490000,172000,426000,1730000,3080000,972000,16.30,175,5180000,5068491,4979545,8025353606
1932,1110000,124000,366000,1350000,3560000,761000,16.80,199,3760000,5323491,5223914,8020129692
