"SULFUR STATISTICS1",,,,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,,,
"[All values are in metric tons (t) sulfur content unless otherwise noted]",,,,,,,,,
"Last modification: November 11, 2011",,,,,,,,,
"Year","Production","Imports","Exports","Shipments","Stocks","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production"
1900,86 100,328 000,"NA","NA","NA",652 000,"9,73",191,1 420 000
1901,242 000,375 000,"NA","NA","NA",767 000,"5,12",100,1 420 000
1902,208 000,389 000,"NA","NA","NA",770 000,"4,48","84,50",4 390 000
1903,233 000,400 000,"NA","NA","NA",791 000,"4,69","85,30",4 540 000
1904,334 000,338 000,"NA",61 000,"NA",549 000,"10,20",186,1 320 000
1905,326 000,336 000,"NA",165 000,"NA",620 000,"14,30",259,1 420 000
1906,405 000,368 000,22 600,188 000,"NA",768 000,"14,90",270,1 320 000
1907,292 000,330 000,36 500,276 000,"NA",721 000,"20,40",357,1 320 000
1908,465 000,348 000,28 300,210 000,"NA",804 000,"16,20",294,1 220 000
1909,378 000,368 000,37 700,262 000,"NA",702 000,"18,20",331,1 320 000
1910,348 000,424 000,31 200,255 000,"NA",767 000,"17,70",311,1 420 000
1911,431 000,521 000,28 600,258 000,"NA",254 000,"17,70",311,1 420 000
1912,1 080 000,505 000,58 700,310 000,"NA",279 000,"17,10",289,1 630 000
1913,782 000,439 000,92 000,324 000,"NA",249 000,"17,30",285,1 830 000
1914,735 000,529 000,102 000,347 000,"NA",272 000,"17,90",292,1 070 000
1915,896 000,499 000,49 500,299 000,"NA",286 000,"16,60",268,1 290 000
1916,1 100 000,631 000,141 000,779 000,"NA",670 000,"15,70",235,1 440 000
1917,1 680 000,477 000,165 000,1 140 000,"NA",984 000,"21,10",268,1 980 000
1918,1 880 000,246 000,145 000,1 290 000,"NA",1 150 000,"21,70",234,2 140 000
1919,1 570 000,192 000,231 000,689 000,"NA",461 000,"14,90",140,1 800 000
1920,1 680 000,164 000,489 000,1 540 000,1 120 000,1 060 000,"19,50",159,1 590 000
1921,1 970 000,106 000,290 000,970 000,"NA",679 000,"17,50",160,2 230 000
1922,1 930 000,137 000,496 000,1 370 000,"NA",872 000,"16,10",156,2 090 000
1923,2 150 000,129 000,482 000,1 640 000,3 050 000,1 170 000,"15,80",151,2 380 000
1924,1 310 000,122 000,492 000,1 560 000,2 740 000,1 070 000,"16,00",153,3 860 000
1925,1 500 000,135 000,642 000,1 960 000,2 290 000,1 250 000,"14,80",138,4 780 000
1926,1 990 000,179 000,592 000,2 400 000,"NA",1 510 000,"17,20",158,5 490 000
1927,2 470 000,126 000,816 000,2 410 000,"NA",1 290 000,"17,50",164,5 890 000
1928,2 400 000,229 000,716 000,2 460 000,2 030 000,1 400 000,"16,80",160,5 690 000
1929,2 810 000,253 000,887 000,2 800 000,1 930 000,1 590 000,"16,90",161,6 200 000
1930,3 000 000,180 000,619 000,2 350 000,3 300 000,1 400 000,"16,70",163,6 400 000
1931,2 490 000,172 000,426 000,1 730 000,3 080 000,972 000,"16,30",175,5 180 000
1932,1 110 000,124 000,366 000,1 350 000,3 560 000,761 000,"16,80",199,3 760 000
1933,1 690 000,188 000,540 000,1 930 000,3 350 000,1 130 000,"16,60",209,4 570 000
1934,1 750 000,185 000,526 000,1 960 000,3 150 000,1 120 000,"16,00",194,5 080 000
1935,2 000 000,196 000,420 000,2 010 000,3 150 000,1 240 000,"15,70",187,5 690 000
1936,2 440 000,211 000,576 000,2 370 000,3 150 000,1 430 000,"15,90",187,5 390 000
1937,3 210 000,257 000,700 000,2 910 000,3 450 000,1 810 000,"16,20",183,5 990 000
1938,2 820 000,166 000,601 000,2 040 000,4 270 000,1 060 000,"14,50",168,5 590 000
1939,2 550 000,250 000,663 000,2 660 000,4 060 000,1 620 000,"14,20",167,7 320 000
1940,3 260 000,227 000,779 000,3 030 000,4 270 000,1 850 000,"14,30",166,7 930 000
1941,3 710 000,209 000,773 000,3 920 000,3 960 000,2 380 000,"14,60",161,7 520 000
1942,4 080 000,173 000,595 000,3 690 000,4 370 000,2 510 000,"14,30",143,8 030 000
1943,3 230 000,142 000,693 000,3 560 000,3 860 000,2 570 000,"14,10",133,6 710 000
1944,3 940 000,88 400,686 000,4 210 000,3 560 000,2 950 000,"15,00",139,6 600 000
1945,4 440 000,91 200,958 000,4 460 000,3 560 000,2 950 000,"15,60",141,6 200 000
1946,4 570 000,89 200,1 270 000,4 800 000,3 250 000,3 590 000,"15,20",127,7 320 000
1947,5 190 000,61 700,1 370 000,5 580 000,3 430 000,4 290 000,"16,00",117,8 640 000
1948,5 600 000,52 400,1 320 000,5 720 000,3 280 000,4 500 000,"16,30",110,9 450 000
1949,5 480 000,59 000,1 480 000,5 500 000,3 150 000,4 160 000,"16,30",112,9 960 000
1950,6 080 000,102 000,1 500 000,6 340 000,2 700 000,5 070 000,"17,80",120,10 800 000
1951,6 300 000,110 000,1 330 000,6 010 000,2 880 000,4 900 000,"19,60",123,11 400 000
1952,6 390 000,149 000,1 360 000,6 200 000,3 210 000,4 910 000,"19,70",121,12 100 000
1953,6 350 000,93 800,1 290 000,6 390 000,3 180 000,5 130 000,"24,30",148,11 700 000
1954,6 780 000,137 000,1 700 000,6 580 000,3 390 000,4 990 000,"24,20",147,12 800 000
1955,7 140 000,209 000,1 660 000,7 220 000,3 350 000,5 720 000,"25,50",155,15 500 000
1956,7 940 000,394 000,1 700 000,7 150 000,4 120 000,5 840 000,"24,10",145,17 000 000
1957,7 120 000,680 000,1 620 000,6 610 000,4 650 000,5 640 000,"21,90",127,17 000 000
1958,6 240 000,767 000,1 630 000,6 190 000,4 690 000,5 350 000,"23,40",132,16 100 000
1959,6 270 000,789 000,1 660 000,6 970 000,4 010 000,6 010 000,"23,10",129,17 200 000
1960,6 770 000,902 000,1 820 000,6 840 000,3 840 000,5 960 000,"22,80",125,19 600 000
1961,7 290 000,982 000,1 620 000,6 950 000,4 890 000,5 990 000,"22,80",124,20 600 000
1962,6 870 000,1 150 000,1 560 000,6 810 000,5 010 000,6 340 000,"21,50",116,21 300 000
1963,6 750 000,1 490 000,1 640 000,6 830 000,4 760 000,6 710 000,"19,60",104,21 900 000
1964,7 210 000,1 610 000,1 960 000,7 990 000,4 290 000,7 370 000,"19,80",104,23 500 000
1965,8 340 000,1 670 000,2 680 000,9 310 000,3 480 000,8 110 000,"22,10",114,25 200 000
1966,9 300 000,1 700 000,2 410 000,9 920 000,2 750 000,9 290 000,"25,30",127,26 500 000
1967,9 280 000,1 670 000,2 230 000,9 960 000,1 990 000,9 400 000,"32,10",156,28 400 000
