"Year","Production","Imports","Exports","Government stocks","Government shipments","Stocks","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production","Log. Estimated","Reserves"
1900,,,,,,,,,,,,85514947
1901,,,,,,,,,,,,85514947
1902,"0.907",,0,,,,"0.91",,,,,85514947
1903,"1.36",,0,,,,"1.4",,,,,85514947
1904,"0.454",,0,,,,"0.45",,,,,85514947
1905,"3.63",,0,,,,"3.6",,,,,85514947
1906,"0.454",,0,,,,"0.45",,,,,85514947
1907,"0.0925",0,0,,,,"0.093",,,,,85514947
1908,,0,0,,,,"0.5",,,,,85514947
1909,"0.907",,0,,,,"0.91",,,,,85514947
1910,0,,0,,,,"1.2",,,,,85514947
1911,"1.46",,0,,,,"1.5",,,,,85514947
1912,0,,0,,,,,,,,,85514947
1913,0,,0,,,,,,,,,85514947
1914,0,,0,,,,,,,,,85514947
1915,0,,0,,,,,,,,,85514947
1916,0,,0,,,,,,,,,85514947
1917,0,,0,,,,,,,,,85514947
1918,0,1460,0,,,,1500,"43.5",470,,,85514947
1919,0,5,0,,,,5,"59.9",565,,,85514947
1920,0,,0,,,,32,59,480,,,85514947
1921,0,59,0,,,,59,58,530,,,85514947
1922,"9.07",30,0,,,,39,57,550,,,85514947
1923,139,,0,,,,140,56,530,,,85514947
1924,255,280,0,,,,540,55,520,,,85514947
1925,566,,0,,,,570,54,500,,,85514947
1926,1170,,0,,,,1200,53,490,,,85514947
1927,3310,2,0,,,,3300,52,490,,,85514947
1928,,392,0,,,,390,51,490,,,85514947
1929,0,1220,0,,,,1200,50,480,,,85514947
1930,0,1380,0,,,,1400,49,480,,,85514947
1931,0,510,0,,,,510,48,510,,,85514947
1932,0,12,0,,,,12,"46.8",557,,,85514947
1933,0,258,0,,,,260,"46.8",586,,,85514947
1934,0,774,0,,,,770,"60.6",737,,,85514947
1935,0,2610,0,,,,2600,"46.8",557,,,85514947
1936,0,5250,0,,,,5300,"46.8",549,,,85514947
1937,0,8100,0,,,,8100,"50.7",574,,,85514947
1938,0,1900,0,,,,1900,"60.6",701,,,85514947
1939,0,3110,0,,,,3100,"60.6",710,,,85514947
1940,,15300,0,,,,15000,"77.2",899,,,85514947
1941,,25100,0,,,,25000,"71.6",794,,,85514947
1942,,30800,27,4500,,6080,31000,"71.6",716,,,85514947
1943,1940,25800,85,5040,,7440,25800,"77.2",728,,,85514947
1944,,21800,73,4840,,4420,25000,"77.2",715,17300,"14013.7843707 ",85514947
1945,,24000,98,2580,,5730,25000,"74.4",676,19700,"16711.10808497",85498236
1946,,15300,235,2250,,4590,17000,"56.8",473,24700,"19850.74217858",85478385
