Production of Crude Oil (in thousand barrels)
Sourcekey	MCRFPUS1
Year	U.S. Field Production	World production	EIA Reserves
1900	63621.00
1901	69389.00
1902	88767.00
1903	100461.00
1904	117081.00
1905	134717.00
1906	126494.00
1907	166095.00
1908	178527.00
1909	183171.00
1910	209557.00
1911	220449.00
1912	222935.00
1913	248446.00
1914	265763.00
1915	281104.00
1916	300767.00
1917	335316.00
1918	355928.00
1919	378367.00
1920	442929.00
1921	472183.00
1922	557531.00
1923	732407.00
1924	713940.00
1925	620373.00
1926	770874.00
1927	901129.00
1928	901474.00
1929	1007323.00
1930	898011.00
1931	851081.00
1932	785159.00
1933	905656.00
1934	908065.00
1935	993942.00
1936	1098513.00
1937	1277653.00
1938	1213254.00
1939	1264256.00
1940	1503176.00
1941	1404182.00
1942	1385479.00
1943	1505613.00
1944	1677904.00
1945	1713655.00
1946	1733424.00
1947	1856987.00
1948	2020185.00
1949	1841940.00
1950	1973574.00
1951	2247711.00
1952	2289836.00
1953	2357082.00
1954	2314988.00
1955	2484428.00
1956	2617283.00
1957	2616901.00
1958	2448987.00
1959	2574590.00
1960	2574933.00
1961	2621758.00
1962	2676189.00
1963	2752723.00
1964	2786822.00
1965	2848514.00
1966	3027763.00
1967	3215742.00
1968	3329042.00
1969	3371751.00
1970	3517450.00
1971	3453914.00
1972	3455368.00
1973	3360903.00
1974	3202585.00
1975	3056779.00
1976	2976180.00
1977	3009265.00
1978	3178216.00
1979	3121310.00
1980	3146365.00	21643938.98	639933494.91
1981	3128624.00	20363348.90	646129710.74
1982	3156715.00	19419114.55	667399761.74
1983	3170999.00	19352912.11	665632416.69
1984	3249696.00	19807893.15	663487602.38
1985	3274553.00	19612407.46	685813404.54
1986	3168252.00	20471800.69	692607062.03
1987	3047378.00	20593263.50	688928690.69
1988	2979123.00	21342813.51	887534409.39
1989	2778773.00	21743841.83	906017761.61
1990	2684687.00	22002320.91	996512617.42
1991	2707039.00	21896145.68	992745477.99
1992	2624632.00	21889050.09	985428456.62
1993	2499033.00	21912533.29	992089780.95
1994	2431476.00	21419790.46	994320693.16
1995	2394268.00	21836641.80	995245829.69
1996	2366017.00	22322205.26	1003368146.46
1997	2354831.00	23063461.30	1010515434.20
1998	2281919.00	23482545.49	1016074690.98
1999	2146732.00	23065180.56	1028752689.48
2000	2130707.00	24138268.34	1012772230.25
2001	2117511.00	23991464.67	1024132414.37
2002	2096588.00	23666531.81	1019954478.27
2003	2061995.00	24523965.38	1185111837.37
2004	1991394.00	25754678.71	1242025608.69
2005	1891227.00	26290140.78	1254227673.61
2006	1857044.00	26206181.16	1269935547.96
2007	1853166.00	26084612.72	1288662425.94
2008	1830002.00	26437825.95	1311043103.46
2009	1952670.00	25977450.37	1319011313.72
2010	2000861.00	26669033.63	1334743406.58
2011	2060398.00	26766944.03	1451760996.03
2012	2377806.00	27341989.15	1503956832.93
2013	2719954.00	27406137.22	1624984134.13

Data sources:
http://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrfpus1&f=a
http://www.indexmundi.com/energy.aspx?product=oil&graph=production
