NATURAL ABRASIVES STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 28, 2016
CORUNDUM AND EMERY NATURAL ABRASIVES
Year	Corundum production	Corundum and emery production	Emery production	Corundum and emery shipments	Emery shipments	Corundum imports	Corundum and emery imports	Emery imports	Corundum exports	Corundum and emery exports	Emery exports	Corundum apparent consumption	Corundum and emery apparent consumption	Emery apparent consumption	Corundum unit value ($/t)	Corundum and emery unit value ($/t)	Emery unit value ($/t)	Corundum unit value (98$/t)	Corundum and emery unit value (98$/t)	Emery unit value (98$/t)	Corundum world production	Emery world production
1900	NA	3910	NA	3910	NA	NA	11900	NA	NA	NA	NA	NA	15800	NA	NA	26	NA	NA	510	NA	NA	NA
1901	NA	3910	NA	3910	NA	NA	13100	NA	NA	NA	NA	NA	17000	NA	NA	37	NA	NA	720	NA	NA	NA
1902	NA	3860	NA	3860	NA	NA	8030	NA	NA	NA	NA	NA	11900	NA	NA	27	NA	NA	510	NA	NA	NA
1903	NA	4120	NA	4120	NA	NA	12700	NA	NA	NA	NA	NA	16800	NA	NA	16	NA	NA	290	NA	NA	NA
1904	NA	1740	NA	1740	NA	NA	8200	NA	NA	NA	NA	NA	9940	NA	NA	33	NA	NA	600	NA	NA	NA
1905	NA	1930	NA	1930	NA	NA	12700	NA	NA	NA	NA	NA	14600	NA	NA	32	NA	NA	580	NA	NA	NA
1906	NA	1050	NA	1050	NA	NA	16200	NA	NA	NA	NA	NA	17200	NA	NA	42	NA	NA	760	NA	NA	NA
1907	NA	NA	970	NA	970	NA	13400	NA	NA	NA	NA	NA	13400	970	NA	NA	13	NA	NA	230	NA	NA
1908	NA	NA	607	NA	607	NA	9000	NA	NA	NA	NA	NA	9000	607	NA	NA	14	NA	NA	250	NA	NA
1909	NA	NA	1430	NA	1430	NA	11200	NA	NA	NA	NA	NA	11200	1430	NA	NA	13	NA	NA	230	NA	NA
1910	NA	NA	933	NA	933	NA	30500	NA	NA	NA	NA	NA	30500	933	NA	NA	16	NA	NA	280	NA	NA
1911	NA	NA	598	NA	598	NA	11600	NA	NA	NA	NA	NA	11600	598	NA	NA	11	NA	NA	190	NA	NA
1912	NA	NA	900	NA	900	NA	17600	NA	NA	NA	NA	NA	17600	900	NA	NA	7	NA	NA	120	NA	NA
1913	NA	NA	868	NA	868	NA	18500	NA	NA	NA	NA	NA	18500	868	NA	NA	6	NA	NA	98.8	2580	48900
1914	NA	NA	440	NA	440	NA	13900	NA	NA	NA	NA	NA	13900	440	NA	NA	6	NA	NA	97.8	1180	35900
1915	NA	NA	2780	NA	2780	NA	9180	NA	NA	NA	NA	NA	9180	2780	NA	NA	11	NA	NA	178	690	17200
1916	NA	NA	13900	NA	13900	NA	8510	NA	NA	NA	NA	NA	8510	13900	NA	NA	9	NA	NA	140	3560	33800
1917	744	NA	15500	NA	15500	NA	2070	NA	NA	NA	NA	744	2070	15500	91	NA	16	1160	NA	204	6140	31300
1918	NA	NA	9460	NA	9460	NA	8660	NA	NA	NA	NA	NA	8660	9460	NA	NA	12	NA	NA	130	5860	22100
1919	NA	NA	2360	NA	2360	NA	11800	NA	NA	NA	NA	NA	11800	2360	NA	NA	10	NA	NA	94.2	1690	12500
1920	NA	NA	2110	NA	2110	NA	9160	NA	NA	NA	NA	NA	9160	2110	NA	NA	10	NA	NA	81.5	1210	14000
1921	NA	NA	277	NA	277	NA	6950	NA	NA	NA	NA	NA	6950	277	NA	NA	8	NA	NA	72.8	835	13800
1922	NA	NA	1330	NA	1330	NA	5560	NA	NA	NA	NA	NA	5560	1330	NA	NA	13	NA	NA	126	2020	14800
1923	NA	NA	2070	NA	2070	NA	11700	NA	NA	NA	NA	NA	11700	2070	NA	NA	14	NA	NA	133	2980	24100
1924	NA	NA	1990	NA	1990	3020	50	6600	NA	NA	NA	3020	50	8590	NA	NA	10	NA	NA	95.3	1880	25300
1925	NA	NA	698	NA	698	1500	122	7000	NA	NA	NA	1500	122	7700	NA	NA	8	NA	NA	74.5	1910	28000
1926	NA	NA	350	NA	350	4910	394	4310	NA	NA	NA	4910	394	4660	NA	NA	10	NA	NA	92.1	5600	32000
1927	NA	NA	459	NA	459	1150	105	4180	NA	NA	NA	1150	105	4640	NA	NA	13	NA	NA	121	NA	NA
1928	NA	NA	1220	NA	1220	1420	154	4920	NA	NA	NA	1420	154	6140	NA	NA	14	NA	NA	133	NA	10000
1929	NA	NA	838	NA	838	3430	395	5810	NA	NA	NA	3430	395	6650	NA	NA	13	NA	NA	124	NA	NA
1930	NA	NA	503	NA	503	2740	272	3860	NA	NA	NA	2740	272	4360	NA	NA	12	NA	NA	118	NA	NA
1931	NA	NA	464	NA	464	650	57	2140	NA	NA	NA	650	57	2600	NA	NA	12	NA	NA	129	NA	NA
1932	NA	NA	227	NA	227	171	10	611	NA	NA	NA	171	10	838	NA	NA	12	NA	NA	143	NA	NA
1933	NA	NA	958	NA	958	940	22	636	NA	NA	NA	940	22	1590	NA	NA	13	NA	NA	163	NA	NA
1934	NA	NA	171	NA	171	1980	42	3110	NA	NA	NA	1980	42	3280	NA	NA	11	NA	NA	134	NA	NA
1935	NA	NA	160	NA	160	4590	52	4360	NA	NA	NA	4590	52	4520	NA	NA	10	NA	NA	119	NA	NA
1936	NA	NA	295	NA	295	4350	177	5640	NA	NA	NA	4350	177	5940	NA	NA	10	NA	NA	117	NA	NA
1937	NA	NA	290	NA	290	1890	149	4860	NA	NA	NA	1890	149	5150	NA	NA	10	NA	NA	113	2300	NA
1938	NA	NA	0	NA	0	1900	30	433	NA	NA	NA	1900	30	433	NA	NA	10	NA	NA	113	1540	NA
1939	NA	NA	694	NA	694	1780	59	1990	NA	NA	NA	1780	59	2680	NA	NA	10	NA	NA	117	2460	NA
1940	NA	NA	949	NA	949	2650	61	5190	NA	NA	NA	2650	61	6140	NA	NA	10	NA	NA	116	3910	NA
1941	NA	NA	4420	NA	4420	5320	47	0	NA	NA	NA	5320	47	4420	NA	NA	10	NA	NA	111	6210	NA
1942	NA	NA	4790	NA	4790	4300	56	0	NA	2900	411	4300	41	4380	NA	NA	10	NA	NA	100	7030	NA
1943	W	NA	6050	NA	6050	5160	111	0	NA	1050	327	5160	36	5720	NA	NA	11	NA	NA	104	5630	NA
1944	W	NA	6300	NA	6300	5810	33	0	NA	272	338	5810	30	5960	NA	NA	10	NA	NA	92.6	5700	NA
1945	NA	NA	7130	NA	7130	5660	34	0	NA	113	148	5660	25	6980	NA	NA	11	NA	NA	100	10000	NA
