NATURAL ABRASIVES STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 28, 2016
EMERY NATURAL ABRASIVES
Year	Production	Shipments	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	NA	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA
1907	970	970	NA	NA	970	13	230	NA
1908	607	607	NA	NA	607	14	250	NA
1909	1430	1430	NA	NA	1430	13	230	NA
1910	933	933	NA	NA	933	16	280	NA
1911	598	598	NA	NA	598	11	190	NA
1912	900	900	NA	NA	900	7	120	NA
1913	868	868	NA	NA	868	6	98.8	48900
1914	440	440	NA	NA	440	6	97.8	35900
1915	2780	2780	NA	NA	2780	11	178	17200
1916	13900	13900	NA	NA	13900	9	140	33800
1917	15500	15500	NA	NA	15500	16	204	31300
1918	9460	9460	NA	NA	9460	12	130	22100
1919	2360	2360	NA	NA	2360	10	94.2	12500
1920	2110	2110	NA	NA	2110	10	81.5	14000
1921	277	277	NA	NA	277	8	72.8	13800
1922	1330	1330	NA	NA	1330	13	126	14800
1923	2070	2070	NA	NA	2070	14	133	24100
1924	1990	1990	6600	NA	8590	10	95.3	25300
1925	698	698	7000	NA	7700	8	74.5	28000
1926	350	350	4310	NA	4660	10	92.1	32000
1927	459	459	4180	NA	4640	13	121	NA
1928	1220	1220	4920	NA	6140	14	133	10000
1929	838	838	5810	NA	6650	13	124	NA
1930	503	503	3860	NA	4360	12	118	NA
1931	464	464	2140	NA	2600	12	129	NA
1932	227	227	611	NA	838	12	143	NA
1933	958	958	636	NA	1590	13	163	NA
1934	171	171	3110	NA	3280	11	134	NA
1935	160	160	4360	NA	4520	10	119	NA
1936	295	295	5640	NA	5940	10	117	NA
1937	290	290	4860	NA	5150	10	113	NA
