NATURAL ABRASIVES STATISTICS1			
U.S. GEOLOGICAL SURVEY			
[All values in metric tons (t) gross weight unless otherwise noted]			
Last modification: April 1, 2014			
OTHER NATURAL ABRASIVES			
Year	Imports	Exports	Apparent consumption
1924	229	NA	229
1925	175	NA	175
1926	963	NA	963
1927	1260	NA	1260
1928	2410	NA	2410
1929	3090	NA	3090
1930	4970	NA	4970
1931	3740	NA	3740
1932	1940	NA	1940
1933	3780	NA	3780
1934	1480	NA	1480
1935	1490	NA	1490
1936	536	NA	536
1937	846	NA	846
1938	455	NA	455
1939	203	NA	203
1940	208	NA	208
1941	391	NA	391
1942	213	NA	213
1943	86	NA	86
1944	26	NA	26
1945	46	NA	46
1946	86	NA	86
1947	77	NA	77
1948	2	NA	2
1949	0	NA	0
1950	1	NA	1
1951	11	NA	11
1952	1490	32600	1290
1953	340	50600	2570
1954	4	47500	3850
1955	29	59600	5130
1956	9	64500	6410
1957	20	66700	7690
1958	72	10800	8970
1959	245	9550	10200
1960	194	9390	11500
1961	168	10300	12800
1962	7390	9720	14100
1963	27000	11600	15400
1964	16900	12700	4160
1965	16600	11900	4610
1966	35400	14900	20500
1967	14500	12700	1800
1968	29900	18400	11600
1969	20900	14500	6360
1970	13600	15500	6240
1971	7260	9590	6130
1972	4540	10000	6010
1973	11800	16200	5890
1974	16300	18000	5770
1975	5440	9690	5650
1976	5440	15300	5540
1977	10900	17600	5420
1978	14000	8690	5300
1979	15400	4460	10900
1980	10800	14400	7840
1981	12300	16200	4760
1982	6410	4730	1690
1983	8920	4450	4470
1984	25200	1820	23400
1985	28700	884	27800
1986	9400	1140	8260
1987	15900	1520	14400
1988	32200	1580	30600
1989	24000	12400	11600
1990	38000	13100	24900
1991	30000	12600	17400
1992	41000	17100	23900
1993	57000	13100	43900
1994	W	W	W
1995	W	W	W
1996	W	W	W
1997	W	W	W
1998	W	W	W
1999	W	W	W
2000	W	W	W
2001	W	W	W
2002	W	W	W
2003	W	W	W
2004	W	W	W
2005	W	W	W
2006	W	W	W
2007	W	W	W
2008	W	W	W
2009	W	W	W
2010	W	W	W
2011	W	W	W
2012	W	W	W
NA Not available. W Withheld to avoid disclosing company proprietary data.			
1Compiled by T.D. Kelly (retired), T.P. Dolley, and D.W. Olson.			
Data are either calculated, or reported.  See notes for more information.			
