NATURAL ABRASIVES STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
SPECIAL SILICA STONE STATISTICS								
Year	Production	Shipments	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	502	NA	NA	NA	502	24.9	490	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA
1904	16000	NA	NA	NA	16000	10.5	190	NA
1905	24800	NA	NA	NA	24800	11.2	202	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	NA	45200
1914	43800	43800	NA	NA	43800	19.5	318	58000
1915	38700	38700	NA	NA	38700	19.7	318	50400
1916	51900	51900	NA	NA	51900	18.6	278	53800
1917	64700	64700	NA	NA	64700	22.4	285	73300
1918	71500	71500	NA	NA	71500	29.3	316	76200
1919	52400	52400	NA	NA	52400	31.6	298	91800
1920	59500	59500	24200	NA	83600	33.9	276	99600
1921	25500	25500	9150	NA	34700	55.4	505	77700
1922	27900	27900	14600	NA	42400	44.8	435	77300
1923	47500	47500	14500	NA	62000	41.5	396	95500
1924	37900	37900	18800	NA	56700	51.8	494	105000
1925	38200	38200	17500	NA	55700	53.1	495	108000
1926	41900	41900	16400	NA	58300	52	479	82200
1927	33000	33000	16300	NA	49200	55.7	522	NA
1928	36700	36700	16100	NA	52900	49.7	474	NA
1929	30100	30100	14900	NA	45000	50.4	480	NA
1930	20700	20700	7240	NA	27900	46.3	452	NA
1931	10100	10100	6400	NA	16500	44.7	479	NA
1932	8140	8140	3770	NA	11900	39.9	475	NA
1933	16800	16800	4680	NA	21400	35.1	440	NA
1934	11800	11800	5100	NA	16900	47.2	574	NA
1935	13600	13600	8610	NA	22200	44.8	533	NA
1936	12600	12600	9830	NA	22500	49	575	NA
1937	13900	13900	13100	NA	27100	49.2	557	NA
1938	6090	6090	8120	NA	14200	60.8	703	NA
1939	10000	10000	11700	NA	21800	54.1	634	NA
1940	12100	12100	3220	NA	15300	41.1	479	NA
1941	29500	29500	1830	NA	31300	27.9	309	NA
1942	29700	29700	832	15700	14900	28.1	281	NA
1943	22800	22800	726	17600	5930	30.3	286	NA
1944	17600	17600	941	22200	7230	32.2	298	NA
1945	18700	18700	1460	26900	8520	34.6	313	NA
1946	17000	17000	6550	26800	9820	38.4	321	NA
1947	16400	16400	10600	33800	11100	39.4	288	NA
1948	12000	12000	10500	28600	12400	45.5	308	NA
1949	7300	7300	7010	639	13700	49	336	NA
1950	7180	7180	31900	466	38600	48.5	328	NA
1951	9110	9110	16400	610	24800	52.4	329	NA
1952	7730	7730	7340	443	14600	52.9	325	NA
1953	5620	5620	8680	464	13800	60.2	368	NA
1954	5640	5640	4560	383	9820	57.2	347	NA
1955	4470	4470	7080	506	11100	59	359	NA
1956	5610	5610	8610	447	13800	73.3	439	NA
1957	5300	5300	10500	388	15400	62.4	362	NA
1958	3650	3650	7840	347	11100	83.6	472	NA
1959	3330	3330	12800	518	15600	94.6	530	NA
1960	2300	2300	13200	459	15100	105	578	NA
1961	2260	2260	11000	203	13100	105	572	NA
1962	2410	2410	11500	193	13700	108	583	NA
1963	2440	2440	35	100	2380	104	554	NA
1964	2890	2890	0	285	2610	101	531	NA
1965	3270	3270	0	NA	3270	132	683	NA
1966	3450	3450	907	NA	4360	149	750	NA
1967	2450	2450	0	NA	2450	234	1142	NA
1968	2850	2850	0	NA	2850	221	1035	NA
1969	3000	3000	0	NA	3000	200	888	NA
1970	2840	2840	0	NA	2840	234	983	NA
1971	2130	2130	3630	NA	5760	264	1062	NA
1972	2940	2940	0	NA	2940	228	889	NA
1973	3140	3140	0	NA	3140	212	778	NA
1974	2840	2840	0	NA	2840	252	833	NA
1975	2680	2680	0	NA	2680	396	1200	NA
1976	2450	2450	0	NA	2450	574	1644	NA
1977	2000	2000	0	NA	2000	556	1495	NA
1978	612	612	0	NA	612	538	1345	NA
1979	539	539	0	NA	539	519	1165	NA
1980	572	572	0	NA	572	501	991	NA
1981	2270	474	0	NA	2270	483	866	NA
1982	1170	647	0	NA	1170	474	801	NA
1983	999	546	0	NA	999	482	789	NA
1984	1170	620	0	NA	1170	515	808	NA
1985	1050	402	0	NA	1050	490	742	NA
1986	973	463	0	NA	973	515	766	NA
1987	1380	598	907	NA	2290	355	509	NA
1988	1890	371	0	NA	1890	299	412	NA
1989	898	377	NA	NA	898	164	216	NA
1990	3710	450	NA	NA	3710	61.9	77.2	NA
1991	2210	272	NA	NA	2210	72.9	87.2	NA
1992	1730	340	NA	NA	1730	138	160	NA
1993	528	267	NA	NA	528	456	513	NA
1994	328	487	NA	NA	328	674	741	NA
1995	501	419	NA	NA	501	539	577	NA
1996	854	410	NA	NA	854	260	270	NA
1997	843	445	NA	NA	843	266	270	NA
1998	649	438	NA	NA	649	284	284	NA
1999	697	475	NA	NA	697	263	257	NA
2000	553	312	NA	NA	553	286	270	NA
2001	705	393	NA	NA	705	332	305	NA
2002	748	386	NA	NA	748	321	291	NA
2003	1070	513	NA	NA	1070	293	259.1	NA
2004	227	655	NA	NA	227	581	501.7	NA
2005	193	576	NA	NA	193	989	825	NA
2006	227	328	NA	NA	227	4370	3530	NA
2007	231	508	NA	NA	231	4420	3470	NA
2008	W	W	        NA	        NA	W	W	W	              NA
2009	W	W	        NA	        NA	W	W	W	              NA
2010	W	W	        NA	        NA	W	W	W	              NA
2011	W	W	        NA	        NA	W	W	W	              NA
2012	156	500	        NA	        NA	156	250	177	              NA
   NA Not available. W Withheld to avoid disclosing company proprietary data.								
1Compiled by T.D. Kelly (retired), T.P. Dolley, and D.W. Olson.								
Data are estimated, calculated, or reported.  See notes for more information.								
