NATURAL ABRASIVES STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
TRIPOLI STATISTICS						
Year	Production	Shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1913	18900	18900	18900	11.5	189	19500
1914	15600	15600	15600	9.5	155	16200
1915	27900	27900	27900	4.63	74.7	28100
1916	39200	39200	39200	5.48	81.9	39800
1917	23600	23600	23600	14.3	182	24200
1918	18100	18100	18100	11	119	18600
1919	22000	22000	22000	8.24	77.6	22700
1920	36500	36500	36500	15.6	127	37400
1921	11200	11200	11200	19	173	12000
1922	27400	27400	27400	11.6	113	27900
1923	24600	24600	24600	15.6	149	25500
1924	25800	25800	25800	15.1	144	26300
1925	26700	26700	26700	16.3	152	27500
1926	28500	28500	28500	18.4	169	29300
1927	23700	23700	23700	18.9	177	NA
1928	30900	30900	30900	18	172	NA
1929	34500	34500	34500	15.8	151	NA
1930	29400	29400	29400	17.3	169	NA
1931	24200	24200	24200	12.8	137	NA
1932	13400	13400	13400	17.4	207	NA
1933	18900	18900	18900	18.5	232	NA
1934	18600	18600	18600	17.7	215	NA
1935	24800	24800	24800	15.4	183	NA
1936	25800	25800	25800	15.2	178	NA
1937	31700	31700	31700	14.2	161	NA
1938	20100	20100	20100	16.4	190	NA
1939	30400	30400	30400	15.4	181	NA
1940	27400	27400	27400	13.4	156	NA
1941	26600	26600	26600	15.9	176	NA
1942	15900	15900	15900	17.1	171	NA
1943	13500	13500	13500	18.1	171	NA
1944	16700	16700	16700	18.1	168	NA
1945	16600	16600	16600	18.5	168	NA
1946	26300	26300	26300	20.9	175	NA
1947	31400	31400	31400	24	175	NA
1948	24400	24400	24400	29	196	NA
1949	23200	23200	23200	29.8	204	NA
1950	39700	39700	39700	29.6	200	NA
1951	34000	34000	34000	32.5	204	NA
1952	32200	32200	32200	32.4	199	NA
1953	32800	32800	32800	34.7	212	NA
1954	37800	37800	37800	38.6	234	NA
1955	45100	42600	45100	42.3	257	NA
1956	40800	39300	40800	41.1	246	NA
1957	46000	40200	46000	41.4	240	NA
1958	42700	38200	42700	41.7	235	NA
1959	48100	43200	48100	43.7	245	NA
1960	52400	47100	52400	41.7	230	NA
1961	49600	44100	49600	42	229	NA
1962	56000	47800	56000	42.8	231	NA
1963	60500	49700	60500	42.7	227	NA
1964	58600	53100	58600	43.3	228	NA
1965	64500	58800	64500	41.9	217	NA
1966	60000	55200	60000	41.6	209	NA
1967	64400	55300	64400	43.6	213	NA
1968	77600	64800	77600	42.2	198	NA
1969	76800	63700	76800	40.6	180	NA
1970	61800	55300	61800	39	164	NA
1971	68200	60500	68200	39.8	160	NA
1972	79700	67900	79700	41.3	161	NA
1973	92100	81600	92100	42.3	155	NA
1974	77200	78000	77200	47	155	NA
1975	73100	61900	73100	45	136	NA
1976	113000	104000	113000	43.6	125	NA
1977	114000	105000	114000	48.8	131	NA
1978	125000	104000	125000	58.1	145	NA
1979	116000	105000	116000	59.7	134	NA
1980	110000	90000	110000	69.7	138	NA
1981	97400	82900	97400	79.6	143	NA
1982	102000	82700	102000	85.1	144	NA
1983	101000	93600	101000	99.1	162	NA
1984	113000	96800	113000	111	174	NA
1985	109000	98700	109000	103	156	NA
1986	106000	100000	106000	122	181	NA
1987	104000	97800	104000	132	189	NA
1988	99900	95000	99900	137	189	NA
1989	105000	89300	105000	138	181	NA
1990	94400	80600	94400	175	218	NA
1991	88600	73600	88600	182	218	NA
1992	84900	76200	84900	185	215	NA
1993	93900	78300	93900	198	223	NA
1994	88700	82300	88700	132	145	NA
1995	79700	80100	79700	131	140	NA
1996	98000	79600	98000	231	240	NA
1997	81300	NA	81300	202	205	NA
1998	79600	NA	79600	212	212	NA
1999	84900	NA	84900	238	233	NA
2000	72000	NA	72000	221	210	NA
2001	60500	NA	60500	249	229	NA
2002	66600	NA	66600	250	227	NA
2003	68800	NA	68800	258	228.4	NA
2004	94000	NA	94000	207	178.8	NA
2005	91100	NA	91100	205	171	NA
2006	76000	NA	76000	230	186	NA
2007	96400	NA	96400	180	141	NA
2008	132000	NA	132000	129	98	NA
2009	79700	NA	79700	206	157	              NA
2010	110000	NA	110000	182	136	              NA
2011	73700	NA	73700	224	162	              NA
2012	120000	NA	120000	157	111	              NA
NA Not available. 						
1Compiled by T.D. Kelly (retired), T.P. Dolley, and D.W. Olson.						
 Data are estimated, calculated, or reported.  See notes for more information.						
