MANUFACTURED ABRASIVES STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
ALUMINUM OXIDE								
Year	Production	Government shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1916	27 900	NA	NA	NA	NA	NA	77	1 150
1917	44 000	NA	NA	NA	NA	NA	159	2 020
1918	32 400	NA	NA	NA	NA	NA	177	1 920
1919	17 900	NA	NA	NA	NA	NA	213	2 010
1920	29 800	NA	NA	NA	NA	NA	200	1 630
1921	6 650	NA	NA	NA	NA	NA	198	1 800
1922	28 900	NA	NA	NA	NA	NA	112	1 090
1923	46 600	NA	NA	NA	NA	NA	115	1 100
1924	30 600	NA	NA	NA	NA	NA	114	1 090
1925	48 300	NA	NA	NA	NA	NA	98	907
1926	39 900	NA	NA	NA	NA	NA	103	945
1927	46 200	NA	NA	NA	NA	NA	98	916
1928	53 600	NA	NA	NA	NA	NA	105	1 000
1929	65 900	NA	NA	NA	NA	NA	98	933
1930	42 200	NA	NA	NA	NA	NA	97	951
1931	22 700	NA	NA	NA	NA	NA	103	1 100
1932	17 100	NA	NA	NA	NA	NA	82	979
1933	27 900	NA	NA	NA	NA	NA	87	1 090
1934	42 200	NA	NA	NA	NA	NA	87	1 060
1935	45 400	NA	NA	NA	20 800	NA	84	998
1936	63 300	NA	NA	NA	12 800	NA	62	729
1937	78 400	NA	NA	NA	16 300	NA	61	692
1938	48 300	NA	NA	NA	29 100	NA	64	741
1939	45 800	NA	NA	NA	19 500	NA	67	786
1940	89 400	NA	NA	NA	16 700	NA	61	709
1941	134 000	NA	NA	NA	17 700	NA	68	753
1942	167 000	NA	NA	NA	18 800	NA	76	761
1943	197 000	NA	NA	NA	25 700	NA	67	632
1944	168 000	NA	NA	NA	29 400	NA	69	639
1945	133 000	NA	NA	NA	29 000	NA	69	627
1946	120 000	NA	NA	NA	24 600	NA	70	583
1947	145 000	NA	112 000	NA	29 900	NA	70	511
1948	141 000	NA	112 000	NA	31 000	NA	73	493
1949	114 000	NA	81 400	27 200	44 900	NA	75	514
1950	127 000	NA	106 000	NA	20 000	NA	94	635
1951	196 000	NA	151 000	NA	29 400	NA	109	686
1952	164 000	NA	121 000	9 060	54 800	NA	109	669
1953	221 000	NA	217 000	8 590	22 800	NA	108	659
1954	199 000	NA	167 000	10 300	27 100	NA	113	685
1955	178 000	NA	138 000	12 000	36 200	NA	125	762
1956	177 000	NA	142 000	11 300	35 000	NA	127	760
1957	207 000	NA	175 000	9 800	33 300	NA	136	786
1958	111 000	NA	73 700	8 350	33 000	NA	151	853
1959	144 000	NA	125 000	8 290	26 500	NA	154	860
1960	178 000	NA	146 000	9 960	22 800	NA	153	841
1961	124 000	NA	113 000	10 700	21 000	NA	151	821
1962	165 000	NA	136 000	12 300	30 700	NA	142	763
1963	145 000	NA	123 000	11 900	18 700	NA	144	766
1964	155 000	NA	127 000	17 000	13 200	NA	139	732
1965	177 000	NA	144 000	15 700	9 890	NA	141	727
1966	221 000	NA	175 000	16 600	16 900	NA	135	678
1967	188 000	NA	143 000	17 700	27 400	NA	150	732
1968	174 000	NA	142 000	14 300	23 100	NA	159	746
1969	197 000	363	158 000	15 400	30 100	NA	159	707
1970	177 000	NA	152 000	16 300	417 000	NA	155	651
1971	135 000	NA	119 000	14 400	457 000	NA	181	729
1972	167 000	NA	163 000	16 500	400 000	NA	171	666
1973	178 000	55 400	177 000	26 800	347 000	NA	154	565
1974	219 000	41 200	193 000	29 500	307 000	NA	187	618
1975	128 000	980	119 000	24 200	287 000	NA	222	673
1976	173 000	NA	162 000	19 900	283 000	NA	250	716
1977	168 000	NA	166 000	17 900	286 000	NA	291	783
1978	129 000	NA	181 000	14 600	17 700	NA	362	905
1979	204 000	NA	199 000	18 100	287 000	NA	331	743
1980	175 000	NA	171 000	17 200	286 000	NA	365	722
1981	184 000	NA	179 000	14 700	288 000	NA	400	717
1982	120 000	NA	113 000	26 600	292 000	NA	384	649
1983	124 000	NA	130 000	10 700	284 000	NA	407	666
1984	161 000	NA	178 000	11 300	283 000	NA	397	623
1985	153 000	NA	154 000	11 200	290 000	NA	353	535
1986	137 000	NA	144 000	9 920	292 000	NA	369	549
1987	151 000	NA	144 000	12 800	278 000	NA	373	535
1988	205 000	NA	144 000	15 600	283 000	NA	348	480
1989	195 000	NA	98 000	19 000	280 000	NA	419	551
1990	185 000	NA	134 000	14 300	283 000	NA	420	524
1991	163 000	NA	140 000	11 100	283 000	NA	417	499
1992	167 000	NA	136 000	12 000	281 000	NA	424	493
1993	154 000	5 750	158 000	11 000	283 000	NA	401	453
1994	162 000	33 900	145 000	13 000	268 000	NA	396	435
1995	146 000	14 100	213 000	11 000	232 000	NA	374	400
1996	147 000	43 500	131 000	11 900	186 000	NA	387	402
1997	93 500	19 100	138 000	10 700	146 000	NA	370	376
1998	99 600	45 500	180 000	8 910	154 000	NA	361	361
1999	85 000	52 300	166 000	9 020	95 800	NA	341	333
2000	90 000	1 300	227 000	9 020	54 100	NA	327	310
2001	50 000	NA	203 000	8 950	16 300	NA	302	278
2002	20 000	NA	179 000	10 300	16 200	NA	265	240
2003	20 000	2 360	164 000	11 800	13 800	NA	279	247
2004	20 000	1 810	232 000	13 900	8 290	NA	323	279
2005	10 000	2 060	244 000	13 900	6 230	NA	144	120
2006	10 000	2 150	209 000	15 300	4 080	NA	152	123
2007	10 000	4 080	237 000	18 200	NA	NA	165	130
2008	10 000	0	285 000	21 900	NA	NA	165	125
2009	10 000	0	64 200	12 300	NA	NA	165	125
2010	10 000	0	185 000	20 000	NA	NA	165	123
2011	10 000	0	223 000	19 900	NA	NA	165	120
2012	10 000	0	231 000	19 100	NA	NA	165	117
NA Not available.								
1Compiled by T.D. Kelly and D.W. Olson.								
Data are estimated, calculated, or reported.  See notes for more information.								
