MANUFACTURED ABRASIVES STATISTICS1					
U.S. GEOLOGICAL SURVEY					
[All values in metric tons (t) gross weight unless otherwise noted]					
Last modification: April 1, 2014					
ALUMINUM-ZIRCONIUM OXIDE					
Year	Production	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1973	20 000	635	NA	312	1 140
1974	22 700	635	NA	434	1 430
1975	15 400	NA	NA	552	1 670
1976	18 100	1 140	NA	627	1 800
1977	18 100	192	NA	622	1 670
1978	20 900	1 300	NA	703	1 760
1979	25 400	3 890	NA	586	1 320
1980	17 200	924	NA	490	969
1981	W	NA	NA	562	1 010
1982	7 260	NA	NA	634	1 070
1983	W	NA	NA	NA	NA
1984	W	NA	NA	NA	NA
1985	W	NA	NA	NA	NA
1986	W	NA	NA	NA	NA
1987	W	NA	NA	NA	NA
1988	W	NA	NA	NA	NA
1989	W	NA	NA	NA	NA
1990	W	NA	NA	NA	NA
1991	W	NA	NA	NA	NA
1992	W	NA	NA	NA	NA
1993	W	NA	NA	NA	NA
1994	W	NA	NA	NA	NA
1995	W	NA	NA	NA	NA
1996	W	NA	NA	NA	NA
1997	W	NA	NA	NA	NA
1998	W	NA	NA	NA	NA
1999	W	NA	NA	NA	NA
2000	W	NA	NA	NA	NA
2001	W	NA	NA	NA	NA
2002	W	NA	NA	NA	NA
2003	W	NA	NA	NA	NA
2004	W	NA	NA	NA	NA
2005	W	NA	NA	NA	NA
2006	W	NA	NA	NA	NA
2007	W	NA	NA	NA	NA
2008	W	NA	NA	NA	NA
2009	W	NA	NA	NA	NA
2010	W	NA	NA	NA	NA
2011	W	NA	NA	NA	NA
2012	W	NA	NA	NA	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.					
1Compiled by T.D. Kelly and D.W. Olson.					
Data are estimated, calculated, or reported.  See notes for more information.					
