MANUFACTURED ABRASIVES STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
BORON CARBIDE						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1996	W	196	6,8	NA	24 000	24 900
1997	W	232	58,0	NA	25 000	25 400
1998	W	349	25,0	NA	18 100	18 100
1999	W	342	16,7	NA	22 200	21 700
2000	W	277	28,6	NA	25 200	23 900
2001	W	282	32,4	NA	24 400	22 400
2002	W	NA	NA	NA	NA	NA
2003	W	NA	NA	NA	NA	NA
2004	W	NA	NA	NA	NA	NA
2005	W	NA	NA	NA	NA	NA
2006	W	NA	NA	NA	NA	NA
2007	W	NA	NA	NA	NA	NA
2008	W	NA	NA	NA	NA	NA
2009	W	NA	NA	NA	NA	NA
2010	W	NA	NA	NA	NA	NA
2011	W	NA	NA	NA	NA	NA
2012	W	NA	NA	NA	NA	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.						
1Compiled by T.D. Kelly and D.W. Olson.						
Data are estimated, calculated, or reported.  See notes for more information.						
