MANUFACTURED ABRASIVES STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
METALLIC ABRASIVES								
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption 	Unit value ($/t)	Unit value (98$/t)
1916	973	973	NA	NA	NA	973	92	1 380
1917	1 020	1 020	NA	NA	NA	1 020	92	1 170
1918	4 670	4 670	NA	NA	NA	4 670	91	982
1919	2 140	2 140	NA	NA	NA	2 140	128	1 210
1920	2 410	2 410	NA	NA	NA	2 410	94	766
1921	2 870	2 870	NA	NA	NA	2 870	70	637
1922	5 270	5 270	NA	NA	NA	5 270	80	776
1923	7 470	7 470	NA	NA	NA	7 470	82	782
1924	7 800	7 800	NA	NA	NA	7 800	73	696
1925	10 100	10 100	NA	NA	NA	10 100	77	717
1926	11 400	11 400	NA	NA	NA	11 400	82	755
1927	12 100	12 100	NA	NA	NA	12 100	69	646
1928	16 800	16 800	NA	NA	NA	16 800	54	515
1929	21 600	21 600	NA	NA	NA	21 600	60	572
1930	14 900	14 900	NA	NA	NA	14 900	66	644
1931	10 100	10 100	NA	NA	NA	10 100	61	654
1932	7 700	7 700	NA	NA	NA	7 700	53	631
1933	6 210	6 210	NA	NA	NA	6 210	61	765
1934	9 360	9 360	NA	NA	NA	9 360	59	718
1935	13 200	13 200	NA	NA	2 170	13 200	56	666
1936	22 400	22 400	NA	NA	1 990	22 400	55	645
1937	25 400	25 400	NA	NA	2 730	25 400	55	623
1938	23 400	23 400	NA	NA	4 490	23 400	53	613
1939	38 100	38 100	NA	NA	3 980	38 100	46	539
1940	45 400	45 400	NA	NA	4 570	45 400	51	594
1941	78 300	78 300	NA	NA	3 360	78 300	52	577
1942	96 600	96 600	NA	NA	3 880	96 600	58	580
1943	113 000	113 000	NA	NA	2 290	113 000	63	594
1944	131 000	131 000	NA	NA	3 070	131 000	64	593
1945	133 000	133 000	NA	NA	9 470	133 000	64	580
1946	101 000	101 000	NA	NA	5 920	101 000	63	527
1947	140 000	140 000	NA	NA	9 060	140 000	89	651
1948	134 000	134 000	NA	NA	8 990	134 000	114	771
1949	95 100	95 100	NA	NA	9 200	95 100	98	671
1950	131 000	131 000	NA	NA	6 610	131 000	89	602
1951	150 000	150 000	NA	NA	8 930	150 000	120	752
1952	142 000	142 000	NA	4 190	8 890	138 000	123	757
1953	146 000	146 000	NA	4 070	10 800	142 000	124	757
1954	107 000	107 000	NA	3 720	13 100	103 000	124	751
1955	143 000	143 000	NA	5 180	13 200	138 000	125	760
1956	127 000	127 000	NA	5 250	15 000	122 000	143	857
1957	119 000	119 000	NA	5 630	15 000	113 000	153	888
1958	91 800	91 800	NA	5 300	16 200	86 500	156	880
1959	115 000	115 000	NA	5 890	14 700	109 000	164	919
1960	102 000	102 000	NA	5 930	14 200	96 100	165	909
1961	99 400	99 400	NA	7 020	16 900	92 400	162	883
1962	114 000	114 000	NA	7 180	19 200	107 000	163	880
1963	122 000	121 000	NA	6 590	17 400	114 000	165	879
1964	142 000	141 000	NA	7 840	21 000	133 000	166	873
1965	173 000	173 000	NA	14 800	16 200	158 200	163	843
1966	186 000	186 000	NA	19 000	11 500	167 000	167	840
1967	185 000	185 000	NA	20 000	14 200	165 000	176	859
1968	196 000	196 000	NA	24 200	14 800	171 800	177	829
1969	209 000	209 000	NA	28 200	17 200	180 800	179	795
1970	181 000	181 000	NA	NA	24 400	181 000	190	798
1971	175 000	175 000	NA	NA	24 700	175 000	191	769
1972	213 000	213 000	NA	NA	NA	213 000	186	725
1973	241 000	241 000	NA	NA	NA	241 000	206	756
1974	273 000	273 000	NA	NA	NA	273 000	333	1 100
1975	214 000	214 000	NA	NA	NA	214 000	340	1 030
1976	227 000	227 000	NA	NA	NA	227 000	332	951
1977	220 000	220 000	NA	NA	NA	220 000	330	888
1978	185 000	185 000	NA	15 300	NA	170 000	324	810
1979	239 000	240 000	NA	20 100	NA	220 000	355	797
1980	211 000	211 000	NA	14 500	NA	197 000	380	752
1981	207 000	207 000	NA	12 500	NA	195 000	401	719
1982	151 000	151 000	NA	10 500	NA	141 000	414	699
1983	156 000	156 000	NA	6 450	NA	150 000	416	681
1984	197 000	198 000	NA	8 310	NA	190 000	418	656
1985	179 000	179 000	NA	7 340	NA	172 000	421	638
1986	189 000	189 000	NA	6 330	NA	183 000	398	592
1987	198 000	197 000	NA	7 240	NA	190 000	315	452
1988	222 000	233 000	3 530	11 900	NA	225 000	397	547
1989	224 000	219 000	4 170	8 650	NA	215 000	400	526
1990	219 000	220 000	7 350	25 600	NA	202 000	407	508
1991	213 000	213 000	9 210	25 900	NA	196 000	414	495
1992	214 000	218 000	12 800	26 900	NA	204 000	419	487
1993	213 000	219 000	26 100	29 300	NA	216 000	397	448
1994	234 000	212 000	28 900	31 900	NA	209 000	423	465
1995	246 000	227 000	25 600	31 100	NA	222 000	447	478
1996	248 000	226 000	20 200	24 900	NA	221 000	488	507
1997	264 000	266 000	23 400	26 200	NA	263 000	485	493
1998	267 000	279 000	25 600	25 800	NA	279 000	476	476
1999	280 000	284 000	30 100	26 600	NA	288 000	461	451
2000	269 000	228 000	33 500	28 900	NA	233 000	465	440
2001	224 000	229 000	18 700	22 600	NA	225 000	455	419
2002	218 000	222 000	12 400	18 800	NA	216 000	463	419
2003	193 000	211 000	16 500	22 000	NA	206 000	470	416
2004	194 000	201 000	15 900	26 500	NA	190 000	474	409
2005	209 000	226 000	16 500	26 900	NA	216 000	488	407
2006	200 000	218 000	19 600	22 300	NA	215 000	508	411
2007	203 000	220 000	22 400	26 800	NA	216 000	479	377
2008	212 000	203 000	36 600	34 400	NA	205 000	498	377
2009	138 000	152 000	15 800	25 900	NA	142 000	508	386
2010	169 000	187 000	43 400	30 800	NA	200 000	529	395
2011	202 000	206 000	49 600	39 500	NA	216 000	547	396
2012	193 000	211 000	22 000	39 000	NA	194 000	519	368
NA Not available.								
1Compiled by T.D. Kelly and D.W. Olson.								
Data are estimated, calculated, or reported.  See notes for more information.								
