MANUFACTURED ABRASIVES STATISTICS1		
U.S. GEOLOGICAL SURVEY		
[All values in metric tons (t) gross weight unless otherwise noted]		
Last modification: April 1, 2014		
OTHER MANUFACTURED ABRASIVES		
Year	Imports	Exports
1947	124	NA
1948	348	NA
1949	466	5 730
1950	1 370	NA
1951	1 640	NA
1952	1 280	10 400
1953	1 670	7 900
1954	1 390	9 620
1955	2 390	10 500
1956	3 250	11 500
1957	5 750	11 200
1958	3 890	12 700
1959	6 160	10 700
1960	2 990	11 300
1961	2 160	14 900
1962	7 840	12 900
1963	11 200	12 400
1964	2 510	14 300
1965	3 630	17 500
1966	4 540	5 110
1967	5 440	4 810
1968	3 630	5 900
1969	NA	5 080
1970	907	5 560
1971	907	4 750
1972	NA	4 270
1973	1 810	4 770
1974	3 630	5 390
1975	1 810	4 710
1976	907	4 010
1977	2 720	4 340
1978	1 810	23 900
1979	2 720	24 500
1980	907	23 000
1981	907	27 000
1982	907	19 100
1983	NA	20 700
1984	7 260	21 000
1985	12 700	16 600
1986	6 350	18 300
1987	2 720	24 700
1988	10 000	27 500
1989	9 000	17 700
1990	NA	13 900
1991	NA	12 900
1992	NA	15 200
1993	NA	14 900
1994	NA	NA
1995	NA	NA
1996	NA	NA
1997	NA	NA
1998	NA	NA
1999	NA	NA
2000	NA	NA
2001	NA	NA
2002	NA	NA
2003	NA	NA
2004	NA	NA
2005	NA	NA
2006	NA	NA
2007	NA	NA
2008	NA	NA
2009	NA	NA
2010	NA	NA
2011	NA	NA
2012	NA	NA
NA Not available.		
1Compiled by T.D. Kelly and D.W. Olson.		
Data are estimated, calculated, or reported.  See notes for more information.		
