MANUFACTURED ABRASIVES STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
SILICON CARBIDE								
Year	Production	Government shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1916	6 370	NA	NA	NA	NA	NA	111	1 660
1917	7 550	NA	NA	NA	NA	NA	142	1 808
1918	9 110	NA	NA	NA	NA	NA	167	1 803
1919	25 800	NA	NA	NA	NA	NA	131	1 234
1920	6 250	NA	NA	NA	NA	NA	210	1 712
1921	2 460	NA	NA	NA	NA	NA	194	1 767
1922	14 700	NA	NA	NA	NA	NA	137	1 329
1923	19 200	NA	NA	NA	NA	NA	145	1 382
1924	16 100	NA	NA	NA	NA	NA	134	1 277
1925	21 900	NA	NA	NA	NA	NA	114	1 062
1926	15 400	NA	NA	NA	NA	NA	110	1 013
1927	23 800	NA	NA	NA	NA	NA	109	1 021
1928	20 100	NA	NA	NA	NA	NA	114	1 087
1929	27 500	NA	NA	NA	NA	NA	111	1 058
1930	20 000	NA	NA	NA	NA	NA	103	1 005
1931	7 430	NA	NA	NA	NA	NA	130	1 394
1932	10 500	NA	NA	NA	NA	NA	101	1 202
1933	15 100	NA	NA	NA	NA	NA	114	1 429
1934	16 400	NA	NA	NA	NA	NA	107	1 302
1935	22 000	NA	NA	NA	7 290	NA	98	1 166
1936	26 600	NA	NA	NA	6 000	NA	80	938
1937	27 500	NA	NA	NA	5 510	NA	80	906
1938	23 000	NA	NA	NA	11 400	NA	83	960
1939	22 000	NA	NA	NA	6 780	NA	78	915
1940	30 000	NA	NA	NA	3 290	NA	79	920
1941	40 800	NA	NA	NA	2 400	NA	82	909
1942	56 000	NA	NA	NA	4 360	NA	88	880
1943	63 200	NA	NA	NA	8 510	NA	94	886
1944	51 100	NA	NA	NA	8 090	NA	92	852
1945	48 800	NA	NA	NA	3 940	NA	87	788
1946	57 900	NA	NA	NA	4 840	NA	94	786
1947	57 800	NA	40 900	NA	3 200	NA	98	716
1948	57 200	NA	45 900	NA	4 890	NA	103	697
1949	61 300	NA	36 100	NA	19 900	NA	99	678
1950	59 000	NA	36 200	NA	7 950	NA	124	839
1951	91 200	NA	59 900	NA	10 700	NA	129	809
1952	83 000	NA	46 000	6 970	23 000	NA	145	892
1953	56 500	NA	42 000	4 780	16 900	NA	145	885
1954	60 800	NA	35 300	6 040	25 300	NA	145	879
1955	67 900	NA	61 400	6 450	9 980	NA	162	985
1956	86 900	NA	65 900	7 110	9 340	NA	172	1 031
1957	113 000	NA	76 200	6 940	12 700	NA	169	980
1958	100 000	NA	66 300	9 660	9 440	NA	176	993
