MANUFACTURED ABRASIVES STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
TOTAL MANUFACTURED ABRASIVES						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1916	35 200	NA	NA	NA	83	1 240
1917	52 500	NA	NA	NA	155	1 970
1918	46 200	NA	NA	NA	166	1 800
1919	45 800	NA	NA	NA	163	1 540
1920	38 500	NA	NA	NA	195	1 590
1921	12 000	NA	NA	NA	167	1 520
1922	48 900	NA	NA	NA	116	1 130
1923	73 300	NA	NA	NA	120	1 140
1924	54 500	NA	NA	NA	114	1 090
1925	80 300	NA	NA	NA	100	926
1926	66 800	NA	NA	NA	101	927
1927	82 200	NA	NA	NA	97	907
1928	90 500	NA	NA	NA	98	933
1929	115 000	NA	NA	NA	94	895
1930	77 000	NA	NA	NA	92	902
1931	40 200	NA	NA	NA	97	1 040
1932	35 300	NA	NA	NA	82	979
1933	49 200	NA	NA	NA	92	1 160
1934	67 900	NA	NA	NA	88	1 070
1935	80 600	NA	NA	NA	83	986
1936	112 000	NA	NA	NA	65	765
1937	131 000	NA	NA	NA	64	726
1938	94 700	NA	NA	NA	66	764
1939	106 000	NA	NA	NA	61	716
1940	165 000	NA	NA	NA	62	721
1941	253 000	NA	NA	NA	65	720
1942	319 000	NA	NA	NA	73	731
1943	374 000	NA	NA	NA	70	660
1944	351 000	NA	NA	NA	71	657
1945	315 000	NA	NA	NA	69	627
1946	279 000	NA	NA	NA	73	608
1947	343 000	153 000	NA	NA	82	599
1948	331 000	158 000	NA	NA	95	642
1949	270 000	118 000	32 900	NA	88	603
1950	317 000	144 000	NA	NA	98	662
1951	437 000	213 000	NA	NA	117	736
1952	389 000	168 000	23 600	NA	122	748
1953	424 000	261 000	20 600	NA	118	720
1954	367 000	204 000	23 700	NA	121	733
1955	388 000	201 000	27 700	NA	131	799
1956	391 000	212 000	28 000	NA	142	850
1957	440 000	257 000	26 600	NA	149	861
1958	303 000	144 000	26 400	NA	161	910
1959	379 000	207 000	24 900	NA	166	927
1960	401 000	229 000	27 200	NA	161	885
1961	338 000	182 000	32 700	NA	163	886
1962	384 000	196 000	32 400	NA	156	839
1963	366 000	197 000	30 900	NA	155	824
1964	416 000	202 000	39 200	NA	152	800
1965	475 000	230 000	47 900	NA	154	794
1966	552 000	275 000	48 800	NA	150	754
1967	502 000	232 000	48 400	NA	160	780
1968	514 000	244 000	50 800	NA	168	789
1969	552 000	259 000	54 400	NA	168	747
1970	509 000	252 000	27 700	NA	169	709
1971	428 000	211 000	25 300	NA	185	745
1972	531 000	260 000	25 300	NA	175	682
1973	586 000	285 000	38 600	NA	186	682
1974	662 000	288 000	47 300	NA	265	876
1975	479 000	199 000	40 700	NA	296	897
1976	562 000	245 000	33 000	NA	313	896
1977	581 000	256 000	32 400	NA	321	864
1978	500 000	287 000	64 800	NA	345	862
1979	647 000	295 000	72 100	NA	356	800
1980	558 000	247 000	67 000	NA	389	770
1981	533 000	257 000	64 600	NA	423	758
1982	379 000	175 000	62 500	NA	442	746
1983	379 000	206 000	42 900	NA	442	723
1984	482 000	249 000	46 100	NA	422	662
1985	434 000	223 000	39 800	NA	396	600
1986	438 000	226 000	38 400	NA	397	590
1987	462 000	231 000	49 500	NA	363	521
1988	545 000	259 000	59 200	NA	385	531
1989	536 000	203 000	53 900	NA	425	559
1990	509 000	216 000	62 100	NA	429	535
1991	455 000	219 000	60 100	NA	430	515
1992	465 000	238 000	67 700	NA	438	509
1993	442 000	299 000	72 000	NA	421	475
1994	481 000	284 000	60 900	NA	427	470
1995	467 000	403 000	62 000	NA	432	462
1996	469 000	332 000	51 000	NA	466	484
1997	426 000	401 000	53 000	NA	481	488
1998	436 000	474 000	46 300	NA	483	483
1999	430 000	365 000	44 200	NA	474	464
2000	404 000	451 000	47 900	NA	447	423
2001	314 000	354 000	42 000	NA	449	413
2002	268 000	356 000	42 800	NA	456	413
2003	248 000	351 000	47 000	NA	463	410
2004	249 000	456 000	54 300	NA	481	415
2005	254 000	462 000	56 400	NA	490	409
2006	245 000	415 000	57 900	NA	521	421
2007	248 000	423 000	64 300	NA	504	396
2008	257 000	449 000	73 300	NA	538	407
2009	183 000	158 000	58 900	NA	533	405
2010	214 000	371 000	73 900	NA	546	408
2011	247 000	402 000	87 200	NA	559	405
2012	238 000	353 000	78 100	NA	536	381
NA Not available.						
1Compiled by T.D. Kelly and D.W. Olson.						
Data are estimated, calculated, or reported.  See notes for more information.						
