AGRICULTURE AND FISHERY STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values are in metric tons]											
Last modification: April 1, 2014											
Year	Cotton	Cottonseed	Fishery	Flaxseed	Leather hides and skins	Mohair	Natural rubber	Raw silk and waste	Tobacco	Wool	Total agriculture and fishery
1900	781000	219000	800000	390000	483000	2710	29500	4770	237000	86700	3040000
1901	885000	286000	750000	670000	464000	3140	30900	6400	260000	100000	3460000
1902	908000	297000	700000	870000	471000	3530	31300	6860	261000	113000	3660000
1903	863000	294000	670000	610000	477000	3190	33600	7580	242000	102000	3300000
1904	981000	303000	700000	550000	456000	3590	39500	10100	404000	115000	3560000
1905	1080000	284000	720000	690000	456000	3680	36300	7900	284000	118000	3680000
1906	1110000	348000	700000	670000	459000	3500	48600	8490	284000	112000	3740000
1907	990000	232000	670000	570000	454000	2990	39000	7580	247000	95800	3310000
1908	1120000	333000	720000	500000	465000	3700	52200	11400	251000	118000	3570000
1909	999000	297000	710000	470000	476000	4400	70400	10700	316000	141000	3490000
1910	981000	374000	730000	270000	464000	3620	66300	12100	359000	116000	3380000
1911	1130000	446000	720000	450000	487000	3860	79900	12100	259000	123000	3710000
1912	1210000	415000	720000	680000	528000	3590	77600	14600	324000	115000	4090000
1913	1240000	440000	720000	360000	546000	4870	73500	15800	248000	156000	3800000
1914	1220000	523000	710000	310000	559000	4480	89000	14100	312000	143000	3890000
1915	1410000	380000	710000	280000	526000	6510	138000	19100	322000	208000	4000000
1916	1480000	408000	710000	290000	540000	5110	166000	18300	360000	163000	4140000
1917	1410000	386000	720000	200000	530000	5310	188000	19700	492000	170000	4120000
1918	1350000	405000	700000	310000	514000	5660	192000	22200	372000	181000	4050000
1919	1300000	362000	700000	160000	482000	4670	300000	25200	373000	149000	3860000
1920	1280000	372000	600000	260000	442000	4460	168000	18000	456000	143000	3750000
1921	1180000	263000	690000	200000	482000	4870	263000	23800	253000	156000	3520000
1922	1320000	292000	685000	450000	466000	5760	368000	26500	375000	184000	4170000
1923	1420000	297000	680000	400000	475000	5990	288000	28100	432000	192000	4220000
1924	1200000	416000	600000	750000	481000	4850	374000	27600	249000	155000	4260000
1925	1400000	501000	650000	540000	474000	4970	437000	34800	356000	159000	4560000
1926	1460000	577000	620000	450000	478000	4870	451000	34900	366000	156000	4600000
1927	1630000	416000	750000	610000	471000	5020	435000	38600	341000	161000	4860000
1928	1450000	461000	750000	460000	489000	4720	568000	39600	372000	151000	4750000
1929	1560000	425000	900000	385000	505000	5220	526000	43900	418000	167000	4930000
1930	1190000	388000	650000	520000	532000	3730	476000	36600	495000	119000	4410000
1931	1210000	434000	600000	280000	545000	4410	499000	39700	529000	141000	4280000
1932	1120000	363000	550000	280000	541000	3260	358000	34000	291000	104000	3640000
1933	1380000	345000	550000	170000	572000	4500	555000	32000	420000	144000	4180000
1934	1210000	291000	500000	140000	557000	3260	446000	27400	340000	104000	3620000
1935	1250000	313000	500000	360000	528000	5920	475000	32900	407000	189000	4070000
1936	1580000	383000	650000	130000	549000	5760	496000	30600	357000	184000	4360000
1937	1660000	541000	770000	170000	541000	5410	610000	29100	513000	173000	5010000
1938	1330000	346000	600000	200000	559000	4030	419000	25900	430000	129000	4040000
