ALUMINUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) aluminum content unless otherwise noted]
Last modification: February 18, 2020
Year	Primary production	Secondary production old scrap	Secondary production new scrap	Secondary production	Shipments	Imports 	Exports	Industry stocks	LME stocks	Government stocks	Total stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production	Employment	Net import reliance (%)
1900	2296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2300	721	14000	6800	NA	NA
1901	2603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2600	728	14000	6800	NA	NA
1902	2615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2620	728	14000	7900	NA	NA
1903	3010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3010	728	13000	8500	NA	NA
1904	3674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3670	772	14000	10000	NA	NA
1905	4903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4900	772	14000	13000	NA	NA
1906	6407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6410	789	14000	17000	NA	NA
1907	7405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7410	992	17000	22000	NA	NA
1908	4844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4840	633	12000	17000	NA	NA
1909	13190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13200	485	8800	30000	NA	NA
1910	16060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16100	492	8600	45000	NA	NA
1911	17420	NA	NA	NA	NA	1890	NA	NA	NA	NA	NA	19300	443	7800	46000	NA	NA
1912	18960	NA	NA	NA	NA	10300	NA	NA	NA	NA	NA	29300	485	8200	58000	NA	NA
1913	21450	NA	4220	4220	NA	10500	NA	NA	NA	NA	NA	32000	520	8550	65000	NA	NA
1914	26300	NA	4100	4100	NA	7370	NA	NA	NA	NA	NA	33700	410	6660	69000	NA	NA
1915	41050	NA	7710	7710	NA	3870	NA	NA	NA	NA	NA	44900	750	12000	78000	NA	NA
1916	52210	NA	17500	17500	NA	3020	NA	NA	NA	NA	NA	55200	1340	20000	106000	NA	NA
1917	58900	NA	14600	14600	NA	27	4550	NA	NA	NA	NA	54400	1140	14500	123000	NA	NA
1918	56580	NA	13700	13700	NA	816	10900	NA	NA	NA	NA	46400	739	8000	128000	NA	NA
1919	58280	NA	17000	17000	NA	6280	2280	NA	NA	NA	NA	62300	708	6680	121000	NA	NA
1920	62610	NA	14100	14100	NA	17800	4270	NA	NA	NA	NA	76200	721	5860	125000	NA	NA
1921	24740	NA	8070	8070	NA	14800	996	NA	NA	NA	NA	38500	487	4430	70000	NA	NA
1922	33400	NA	14800	14800	NA	19900	2130	NA	NA	NA	NA	51200	412	4000	87000	NA	NA
1923	58360	NA	19300	19300	NA	19300	2510	NA	NA	NA	NA	75100	560	5330	141000	NA	NA
1924	68300	NA	24500	24500	NA	14400	2880	NA	NA	NA	NA	79800	595	5670	168000	NA	NA
1925	63560	NA	39900	39900	NA	19100	5730	NA	NA	NA	NA	76900	595	5510	178000	NA	NA
1926	65000	NA	40100	40100	NA	32400	3460	NA	NA	NA	NA	93900	595	5460	195000	NA	NA
1927	73000	NA	41900	41900	NA	28400	6590	NA	NA	NA	NA	94800	560	5230	220000	NA	NA
1928	95000	NA	43400	43400	NA	17600	7130	NA	NA	NA	NA	105000	536	5100	258000	NA	NA
1929	102000	NA	43900	43900	NA	23100	7730	NA	NA	NA	NA	117000	536	5100	280000	NA	NA
1930	103900	NA	35000	35000	NA	11500	7860	NA	NA	NA	NA	108000	525	5150	272000	NA	NA
1931	81000	NA	27500	27500	NA	6730	2130	NA	NA	NA	NA	85600	514	5500	220000	NA	NA
1932	47000	NA	21800	21800	NA	3710	2010	NA	NA	NA	NA	48700	514	6130	153000	NA	NA
1933	38610	NA	30400	30400	NA	6920	2590	NA	NA	NA	NA	42900	514	6470	142000	NA	NA
1934	33650	NA	42100	42100	NA	8430	3800	NA	NA	NA	NA	38300	516	6290	170000	NA	NA
1935	54110	NA	46600	46600	NA	9660	1800	NA	NA	NA	NA	62000	441	5240	259000	NA	NA
1936	102000	NA	46700	46700	NA	11600	728	NA	NA	NA	NA	113000	452	5320	360000	NA	NA
1937	132800	NA	56800	56800	NA	20500	2440	NA	NA	NA	NA	151000	439	4980	482000	NA	NA
1938	130100	NA	35200	35200	NA	8050	5720	NA	NA	NA	NA	132000	441	5100	579000	NA	NA
1939	149000	34300	14700	48900	NA	13000	33600	NA	NA	NA	NA	163000	441	5180	720000	NA	NA
1940	187100	41600	31300	72900	NA	16400	25300	NA	NA	NA	NA	220000	412	4790	787000	NA	NA
1941	280400	39100	57800	96900	NA	12200	6770	NA	NA	NA	NA	325000	364	4030	1040000	NA	NA
1942	472700	37800	140000	178000	619000	102000	35200	NA	NA	NA	NA	577000	331	3310	1400000	NA	NA
1943	834600	30000	255000	285000	892000	123000	107000	NA	NA	NA	NA	881000	331	3120	1950000	NA	NA
1944	704000	20800	275000	295000	976000	91600	171000	NA	NA	NA	NA	646000	331	3060	1690000	NA	NA
1945	449100	24800	246000	271000	845000	303000	5350	NA	NA	NA	NA	772000	331	3010	870000	NA	NA
1946	371900	82100	170000	252000	740000	38700	15100	NA	NA	NA	NA	478000	331	2760	790000	NA	NA
1947	518900	149000	164000	313000	862000	28400	57300	NA	NA	NA	NA	639000	331	2420	1080000	NA	NA
1948	565200	86800	173000	260000	985000	146000	44900	NA	NA	0	0	753000	346	2340	1270000	NA	NA
1949	547000	40500	124000	164000	713000	114000	33700	327000	NA	15000	342000	667000	375	2570	1310000	NA	NA
1950	651900	69000	152000	221000	1090000	232000	20900	363000	NA	41000	404000	871000	390	2640	1490000	NA	NA
1951	759300	70000	196000	266000	1120000	147000	13600	399000	NA	91000	490000	876000	419	2640	1800000	NA	NA
1952	850000	64000	212000	276000	1210000	137000	9980	435000	NA	77000	512000	1020000	428	2630	2060000	NA	NA
1953	1136000	72000	263000	335000	1470000	326000	13600	454000	NA	218000	672000	1360000	461	2810	2470000	NA	NA
1954	1325000	60000	224000	284000	1360000	221000	45400	508000	NA	738000	1250000	987000	481	2920	2810000	NA	NA
1955	1421000	91000	285000	376000	1810000	217000	30800	544000	NA	936000	1480000	1460000	522	3180	3140000	NA	NA
1956	1523000	88000	300000	388000	1840000	240000	61700	581000	NA	950000	1530000	1740000	529	3170	3370000	NA	NA
1957	1495000	89000	315000	404000	1720000	234000	57200	680000	NA	1150000	1830000	1460000	560	3240	3370000	NA	NA
1958	1421000	73000	249000	322000	1580000	266000	74400	689000	NA	1570000	2260000	1260000	547	3090	3510000	NA	NA
1959	1773000	94000	313000	407000	2170000	274000	149000	689000	NA	1630000	2320000	1930000	545	3040	4060000	NA	NA
1960	1827000	86000	311000	397000	1870000	178000	348000	780000	NA	1690000	2470000	1590000	573	3150	4490000	NA	NA
1961	1727000	142000	299000	441000	2110000	231000	216000	898000	NA	1740000	2640000	1720000	562	3050	4700000	NA	NA
1962	1921000	152000	377000	529000	2430000	342000	235000	989000	NA	1780000	2770000	2050000	527	2830	5060000	NA	NA
1963	2098000	144000	449000	593000	2680000	423000	265000	1110000	NA	1780000	2890000	2280000	498	2650	5320000	NA	NA
1964	2316000	147000	494000	641000	2990000	411000	317000	1270000	NA	1730000	3000000	2240000	522	2750	5940000	17000	NA
1965	2498000	186000	566000	752000	3440000	562000	286000	1420000	NA	1700000	3110000	2850000	540	2780	6310000	18600	NA
1966	2693000	170000	635000	805000	3830000	616000	299000	1460000	NA	1400000	2860000	3430000	540	2710	6880000	19900	NA
1967	2966000	159000	638000	797000	3760000	489000	332000	1600000	NA	1340000	2950000	3200000	551	2690	7570000	21700	NA
1968	2953000	164000	740000	904000	4230000	719000	318000	1690000	NA	1290000	2980000	3480000	564	2650	8020000	21900	NA
1969	3441000	181000	862000	1040000	4460000	506000	522000	1720000	NA	1170000	2880000	3710000	600	2670	8970000	24700	NA
1970	3607000	179000	728000	907000	4060000	391000	555000	1990000	NA	1140000	3130000	3380000	633	2660	9650000	25300	E
1971	3561000	196000	757000	953000	4480000	569000	266000	2280000	NA	1140000	3420000	3770000	639	2570	10300000	23500	0
1972	3739000	227000	795000	1020000	5210000	673000	298000	2210000	NA	1140000	3340000	4410000	551	2150	11000000	22500	10
1973	4109000	240000	886000	1130000	6240000	514000	509000	1980000	NA	475000	2460000	5250000	582	2130	12100000	24400	17
1974	4448000	276000	887000	1160000	5810000	503000	475000	2340000	NA	12000	2350000	4860000	950	3140	13200000	28100	3
1975	3519000	305000	816000	1120000	4140000	449000	399000	2720000	NA	10000	2730000	3500000	767	2320	12100000	23200	E
1976	3856000	371000	963000	1330000	5260000	601000	439000	2590000	NA	2000	2590000	4530000	908	2600	12600000	24800	7
1977	4118000	482000	974000	1460000	5570000	677000	373000	2590000	NA	2000	2590000	4900000	1050	2820	13800000	26400	6
1978	4358000	522000	996000	1520000	6200000	896000	472000	2490000	NA	2000	2490000	5400000	1120	2800	14100000	28600	10
1979	4557000	557000	1060000	1610000	6210000	700000	701000	2330000	NA	2000	2330000	5270000	1560	3500	14600000	29600	3
1980	4654000	617000	960000	1580000	5410000	592000	1350000	2300000	NA	2000	2300000	4540000	1680	3320	15400000	27200	E
1981	4489000	758000	1030000	1790000	5500000	774000	787000	3000000	NA	2000	3000000	4530000	1320	2370	15100000	28100	E
1982	3274000	782000	884000	1670000	4910000	811000	748000	2800000	NA	2000	2800000	4320000	1030	1740	13400000	21400	6
1983	3353000	820000	953000	1770000	5850000	1000000	776000	2260000	NA	2000	2270000	4940000	1510	2470	13900000	19300	15
1984	4099000	825000	935000	1760000	6350000	1340000	734000	2690000	NA	2000	2690000	5100000	1350	2120	15700000	21400	3
1985	3500000	850000	912000	1760000	6380000	1290000	908000	2340000	NA	2000	2350000	5080000	1080	1640	15400000	18600	14
1986	3037000	784000	989000	1770000	6520000	1810000	753000	2240000	NA	2000	2240000	4970000	1230	1830	15400000	13900	23
1987	3343000	852000	1130000	1990000	6870000	1660000	917000	1890000	NA	2000	1900000	5290000	1590	2280	16500000	15700	21
1988	3944000	1050000	1080000	2120000	6840000	1420000	1250000	1880000	NA	2000	1890000	5170000	2430	3350	18500000	19400	3
1989	4030000	1010000	1040000	2050000	6760000	1260000	1620000	1820000	NA	2000	1820000	4740000	1940	2550	19000000	19900	E
1990	4048000	1360000	1030000	2390000	6640000	1300000	1660000	1820000	NA	2000	1820000	5050000	1630	2030	19300000	77900	E
1991	4121000	1320000	969000	2290000	6350000	1280000	1760000	1780000	168000	2000	1950000	4830000	1310	1570	19700000	74400	E
1992	4042000	1610000	1140000	2760000	6850000	1460000	1450000	1880000	214000	57000	2160000	5450000	1270	1480	19500000	73500	E
1993	3695000	1630000	1310000	2940000	7330000	2230000	1210000	1980000	169000	57000	2210000	6310000	1180	1330	19800000	73200	16
1994	3299000	1500000	1580000	3090000	8170000	2990000	1370000	2070000	18000	57000	2150000	6480000	1570	1730	19200000	74100	26
1995	3375000	1510000	1680000	3190000	8260000	2550000	1610000	2000000	45000	57000	2100000	5880000	1890	2020	19700000	75300	17
1996	3577000	1570000	1730000	3310000	8330000	2410000	1500000	1860000	33000	57000	1950000	6210000	1570	1630	20800000	75800	17
1997	3603000	1530000	2020000	3550000	8880000	2630000	1570000	1860000	8000	380	1870000	6260000	1700	1730	21700000	76600	18
1998	3713000	1500000	1950000	3440000	9260000	3050000	1590000	1930000	13000	0	1940000	6590000	1440	1440	22600000	77800	21
1999	3779000	1570000	2120000	3700000	9840000	3390000	1640000	1870000	14000	0	1880000	7160000	1450	1420	23600000	76300	25
2000	3668000	1370000	2080000	3450000	9830000	3290000	1760000	1550000	125	0	1550000	6890000	1640	1550	24300000	77800	27
2001	2637000	1210000	1760000	2970000	9300000	3240000	1590000	1300000	28000	0	1330000	5720000	1520	1400	24300000	71200	33
2002	2707000	1170000	1750000	2930000	9620000	3600000	1590000	1320000	45000	0	1370000	5850000	1430	1300	26100000	43500	34
2003	2703000	1070000	1750000	2820000	9710000	3690000	1540000	1400000	207000	0	1610000	5680000	1500	1330	28000000	43200	34
2004	2516000	1160000	1870000	3030000	10400000	4180000	1820000	1470000	116000	0	1590000	6060000	1850	1600	29900000	42100	39
2005	2481000	1080000	1950000	3030000	10500000	4850000	2370000	1430000	209000	0	1640000	5990000	2010	1670	31900000	43200	41
2006	2284000	1580000	2800000	4380000	10500000	4660000	2820000	1410000	228000	0	1640000	5690000	2680	2160	33900000	41400	32
2007	2554000	1660000	2450000	4120000	9720000	4020000	2840000	1400000	463000	0	1870000	5170000	2690	2120	37900000	39600	18
2008	2658000	1500000	2130000	3630000	8530000	3710000	3280000	1220000	1290000	0	2510000	3940000	2660	2010	39700000	38000	E
2009	1727000	1260000	1570000	2820000	6840000	3680000	2710000	937000	2200000	0	3140000	3320000	1750	1330	37200000	33800	10
2010	1726000	1250000	1540000	2790000	7720000	3610000	3040000	1010000	2230000	0	3240000	3460000	2300	1720	41800000	29200	14
2011	1986000	1440000	1670000	3110000	8520000	3710000	3420000	1060000	2360000	0	3420000	3530000	2560	1860	46800000	30300	3
2012	2070000	1620000	1750000	3380000	9080000	3760000	3480000	1140000	2120000	0	3260000	4130000	2230	1580	49300000	31500	11
2013	1946000	1630000	1790000	3410000	9450000	4160000	3390000	1130000	1950000	0	3080000	4520000	2080	1450	52200000	30100	21
2014	1710000	1700000	1930000	3640000	9960000	4290000	3230000	1280000	1190000	0	2470000	5080000	2300	1590	54100000	30900	33
2015	1587000	1470000	1910000	3380000	10400000	4560000	3010000	1350000	507000	0	1860000	5220000	1940	1340	57700000	31000	41
2016	818000	1570000	2010000	3580000	10600000	5410000	2820000	1400000	362000	0	1760000	5090000	1770	1200	58600000	31900	53
2017	741000	1590000	2050000	3630000	11000000	6220000	2900000	1470000	254000	0	1720000	5680000	2170	1440	59500000	31700	59
