ARSENIC STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) arsenic content unless otherwise noted]
Last modification: May 14, 2019
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	0	NA	1980	NA	NA	1980	130	2600	6170
1901	206	NA	2400	NA	NA	2610	110	2200	5190
1902	929	NA	2790	NA	NA	3030	90	1800	5340
1903	420	NA	2870	NA	NA	3290	100	1700	3820
1904	25	NA	2340	NA	NA	2360	100	1800	3500
1905	518	NA	2640	NA	NA	3150	100	1900	13100
1906	506	NA	2740	NA	NA	3240	190	3400	NA
1907	1200	NA	3550	NA	NA	4750	140	2400	NA
1908	NA	NA	3530	NA	NA	3920	130	2300	NA
1909	834	NA	2250	NA	NA	3090	110	2000	NA
1910	1030	NA	2980	NA	NA	1950	80	1400	6810
1911	2150	NA	2500	NA	NA	3470	90	1500	12800
1912	2160	NA	3790	NA	NA	4290	100	1700	27600
1913	1730	NA	2770	22.5	NA	2770	127.56	2100	13400
1914	3210	NA	2200	0.263	NA	4300	109.21	1780	11500
1915	3780	NA	1930	3.67	NA	4740	116.49	1880	13300
1916	4110	NA	1330	0.661	NA	4850	176.49	2640	13300
1917	4220	4220	2310	42.6	NA	5030	407.66	5190	16400
1918	4340	4340	3890	30	NA	5610	349.54	3800	23200
1919	4140	4140	4180	0	NA	7150	291.28	2740	19000
1920	7900	7900	4780	5.18	NA	10500	411.49	3350	27900
1921	4230	3290	2960	8.92	NA	4430	222.19	2020	16200
1922	6420	6890	2830	5.36	NA	7630	313.08	3040	23500
1923	10200	9800	7690	NA	NA	16800	356.8	3400	47300
1924	13900	9930	6280	NA	NA	16000	291.28	2780	47200
1925	8320	8460	6740	NA	NA	14900	142.67	1330	50300
1926	4640	8110	5520	NA	NA	13400	93.2	858.2	41100
1927	8060	7940	8820	NA	NA	16500	109.21	1020	39900
1928	9730	8080	7890	458	NA	15700	116.49	1100	43200
1929	11400	9990	9280	948	NA	19000	116.49	1100	46000
1930	11700	12000	7610	1100	NA	19200	116.49	1140	49600
1931	11800	9460	5540	1750	NA	13900	116.49	1250	51000
1932	8720	8570	4890	2120	NA	11900	116.49	1390	51500
1933	7310	8100	7500	2020	NA	14000	116.49	1460	27300
1934	8990	10700	9900	2660	NA	18600	109.21	1330	38200
1935	9780	8700	10610	1610	NA	18500	101.93	1210	41600
1936	10600	10700	12380	2120	NA	22100	101.93	1190	42200
1937	11500	12100	13590	2810	NA	22500	94.65	1070	42400
1938	11500	9040	9950	2820	NA	17200	87.37	1010	52200
1939	15300	15400	10610	3880	3780	23300	87.37	1020	42800
1940	17200	16000	6980	2690	4770	21700	101.93	1190	40400
1941	22300	23900	7320	4230	3100	29800	116.49	1290	46000
1942	19700	21300	11230	1120	1500	32300	116.49	1160	47700
1943	21400	22300	11100	3260	781	32000	116.49	1100	50200
1944	24800	23700	6850	2990	1900	28900	116.49	1080	51800
1945	16700	17000	9660	2570	1580	26200	116.49	1060	42100
1946	7010	8270	9560	2640	323	17100	145.57	1220	31800
1947	12900	12500	9620	2310	713	21400	174.77	1280	42400
1948	12800	10300	6460	1330	3240	16700	178.47	1210	40900
1949	8790	6990	3260	989	5030	10200	160.24	1100	26500
1950	9120	11900	10320	987	1700	22000	167.5	1130	35700
1951	11100	9860	10460	1210	3320	19800	189.3	1190	47400
1952	10800	6350	3190	1180	7740	9430	174.77	1070	37100
1953	7470	7770	3320	845	7430	11000	160.24	975	20600
1954	9040	7910	3430	541	8560	11200	160.24	971.2	26100
1955	7400	8020	5120	598	7950	13000	160.24	974.7	30900
1956	8380	13000	4530	643	3320	17400	160.24	960.1	33700
1957	7210	8780	7100	805	1740	15700	160.24	929.5	30900
1958	7900	7510	6640	678	2140	14000	160.24	903.8	27500
1959	3560	4970	13400	307	727	18300	131.06	732	32100
1960	9400	NA	8930	439	NA	12800	131.06	721.7	39400
1961	1850	NA	13500	322	NA	14400	116.49	635.2	40500
1962	2060	NA	11000	477	NA	14200	116.49	627	34100
1963	1720	NA	10200	199	NA	15000	148.48	791.1	36600
1964	5290	NA	12700	687	3160	17100	152.84	803.6	39900
1965	8450	NA	10900	NA	1030	16900	166.05	859	38600
1966	6460	NA	13100	NA	893	16700	146.5	735	39500
1967	3430	NA	19100	NA	687	18300	166.05	810.4	44600
1968	4190	NA	17700	NA	275	16400	178.47	835.9	46400
1969	7070	NA	12800	NA	1580	14100	189.3	840.6	37700
1970	9900	NA	13400	NA	4400	13900	189.3	795.4	37500
1971	5150	NA	12400	NA	8170	13500	189.3	761.8	37800
1972	7070	NA	10050	NA	9340	13000	189.3	738.3	31400
1973	6390	NA	9960	NA	10000	22000	189.3	694.9	35200
1974	4600	NA	10150	NA	7280	25200	378.6	1250	37200
1975	5080	NA	8720	NA	1580	15400	381.51	1160	30700
1976	4530	NA	3370	W	1990	9700	381.51	1090	26100
1977	3370	NA	5090	W	2060	12000	381.51	1030	23200
1978	3980	NA	7910	232	206	13400	677.15	1690	23300
1979	4530	NA	8950	734	68.7	15600	706.21	1590	22400
1980	3400	NA	9000	1150	NA	12400	924.7	1830	23600
1981	4050	NA	14300	396	68.7	20000	1160	2080	33100
1982	8000	NA	12100	2010	1510	16200	1160	1960	34500
1983	7300	NA	10090	64.3	2350	13600	961.03	1570	31900
1984	6800	NA	12500	57.5	2500	17300	961.03	1510	35600
1985	2200	NA	14200	120	681	18100	961.03	1460	40300
1986	0	NA	20800	164	280	21100	961.03	1430	39600
1987	0	NA	21600	50	174	21900	1050	1510	47200
1988	0	NA	22000	120	75.7	22300	961.03	1320	40400
1989	0	NA	22400	126	75.7	22300	786.26	1030	49400
1990	0	NA	20700	149	75.7	20500	669.88	835.5	40400
1991	0	NA	21800	233	NA	21600	728.14	871.4	34800
1992	0	NA	24000	94	NA	23900	844.52	981.2	34700
1993	0	NA	21600	364	NA	21300	757.2	854.2	31900
1994	0	NA	21600	79	NA	21500	931.97	1030	35400
1995	0	NA	22500	430	NA	22300	961.03	1030	35600
1996	0	NA	21400	36	NA	21400	961.03	998	32500
1997	0	NA	23700	61	NA	23700	911	925	31800
1998	0	NA	30200	177	NA	30100	941	941	30500
1999	0	NA	23300	1350	NA	22000	852	834	31600
2000	0	NA	24500	41	NA	24400	941	891	47500
2001	0	NA	25000	57	NA	24900	823	757	45000
2002	0	NA	19700	99.609	NA	19600	736	667	47200
2003	0	NA	21700	172.517	NA	21600	724	641	52800
2004	0	NA	7020	219.707	NA	6800	657	567	43800
2005	0	NA	9150	3290	NA	5870	576	481	45400
2006	0	NA	10500	3060	NA	7450	548	443	46100
2007	0	NA	7770	2490	NA	5280	531	418	40800
2008	0	NA	5180	1050	NA	4130	556	421	38900
2009	0	NA	5100	354.201	NA	5100	580	441	35700
2010	0	NA	5300	479.005	NA	5300	593	443	31100
2011	0	NA	5620	704.504	NA	5620	651	472	28200
2012	0	NA	6600	443.795	NA	6600	700	497	29400
2013	0	NA	6810	1630	NA	6810	796	557	28700
2014	0	NA	5940	2970	NA	5940	886	610	24800
2015	0	NA	6430	1670	NA	6430	855	588	27900
2016	0	NA	6120	1760	NA	6120	900	611	27900
2017	0	NA	6920	698	NA	6920	904	601	25700
2018	0	NA	6470	107	NA	6470	999	650	25000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, W.E. Brooks, D.L. Edelstein, M. Brininstool, and M.W. George.
Data are calculated, estimated, or reported. See notes for more information.
