ASBESTOS STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: May 28, 2019
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	956	NA	NA	956	17.1	340	20600
1901	678	NA	NA	678	19.9	390	30500
1902	912	NA	NA	912	17.8	340	28400
1903	805	NA	NA	805	20.8	380	34300
1904	1340	NA	NA	1340	19.2	350	41100
1905	2820	NA	NA	2820	15.2	280	56000
1906	1540	NA	NA	1540	18.6	340	64700
1907	592	NA	NA	592	20.1	350	66300
1908	849	NA	NA	849	23.1	420	14100
1909	2800	NA	NA	2800	22.4	410	73600
1910	3350	43100	NA	46400	20.4	360	84700
1911	6900	51800	NA	58700	17.4	310	114000
1912	3990	64900	NA	68900	22	370	117000
1913	998	88100	NA	89100	12.2	201	145000
1914	1130	65200	NA	66300	18.5	302	106000
1915	1570	84900	NA	86500	49	791	117000
1916	1490	105000	283	107000	149	2228	142000
1917	1780	122000	642	123000	210	2674	141000
1918	905	125000	632	125000	144	1554	144000
1919	1050	123000	1020	123000	260	2450	181000
1920	1500	152000	558	153000	454	3700	193000
1921	754	65700	472	66000	447	4070	91100
1922	61	136000	341	135000	166	1611	136000
1923	206	193000	617	192000	46.7	445	201000
1924	272	166000	1150	165000	156	1487	198000
1925	1140	209000	1010	209000	45.3	422	312000
1926	1230	234000	1000	234000	109	1004	329000
1927	2700	203000	280	205000	125	1171	342000
1928	2030	209000	771	210000	173	1649	354000
1929	2860	238000	643	240000	123	1172	400000
1930	3850	189000	699	192000	75.2	734	339000
1931	2930	124000	1560	125000	40.6	440	235000
1932	3230	87800	1550	89500	32.6	390	186000
1933	4310	108000	1250	112000	30.4	380	249000
1934	4620	109000	1510	112000	34.3	420	271000
1935	8090	151000	771	158000	36.2	430	337000
1936	10000	221000	3400	228000	32.3	380	460000
1937	11000	279000	2730	287000	31.5	360	556000
1938	9470	163000	2520	170000	26.1	300	413000
1939	14000	220000	2240	232000	36.6	430	425000
1940	18200	226000	4060	238000	37.1	430	428000
1941	22100	380000	4400	398000	32.8	360	528000
1942	14000	380000	702	394000	35.5	360	509000
1943	5460	399000	333	405000	61.4	580	575000
1944	6050	347000	431	353000	62.9	580	546000
1945	11100	340000	7760	343000	40.2	360	573000
1946	12800	413000	9990	416000	39.5	330	680000
1947	21800	540000	2430	559000	42.1	310	816000
1948	33600	588000	8370	613000	53.7	360	930000
1949	39400	462000	18200	483000	66.4	450	884000
1950	38500	640000	19000	660000	76	510	1290000
1951	46900	691000	15000	723000	83.5	520	1420000
1952	48900	644000	9730	683000	96.5	590	1420000
1953	49400	628000	2790	675000	98.3	600	1420000
1954	43200	615000	1720	657000	109	660	1510000
1955	40400	671000	2530	709000	111	675	1770000
1956	37500	625000	2680	660000	127	761	1810000
1957	39600	620000	2620	656000	124	719	1890000
1958	39900	584000	2750	622000	129	728	1860000
1959	41200	647000	4050	684000	106	594	2050000
1960	41000	607000	5010	643000	103	567	2210000
1961	47900	560000	3450	604000	90.7	490	2510000
1962	48300	613000	3580	659000	96.9	520	2410000
1963	60200	606000	9070	657000	84.8	450	2510000
1964	91700	670000	24500	738000	88.8	470	2770000
1965	107000	653000	39000	721000	94.7	490	2810000
1966	114000	659000	42600	731000	96.8	490	2970000
1967	112000	585000	43300	654000	99.3	480	2910000
1968	109000	669000	37400	741000	95	440	3010000
1969	114000	630000	32800	712000	93.2	410	3270000
1970	114000	589000	42600	665000	94.1	400	3490000
1971	119000	618000	49000	699000	103	414	3580000
1972	120000	668000	53500	747000	112	437	3780000
1973	136000	718000	59900	803000	120	441	4190000
1974	99000	695000	56000	767000	139	460	4160000
1975	89500	489000	33100	551000	159	482	4140000
1976	105000	597000	42600	659000	226	647	4770000
1977	92256	551000	34900	609000	274	737	4790000
1978	93100	570000	41800	619000	301	753	4690000
1979	93400	513000	43300	561000	310	696	4760000
1980	80100	327000	48700	359000	382	756	4700000
1981	75600	338000	64400	349000	406	728	4350000
1982	63500	242000	58800	247000	392	662	4560000
1983	69900	196000	54600	217000	399	653	4430000
1984	57400	210000	39900	226000	422	662	4310000
1985	57500	142000	45700	162000	357	541	4250000
1986	51400	108000	47300	120000	338	503	4030000
1987	50600	93800	60100	84300	340	488	4240000
1988	18200	85300	31500	71400	252	347	4320000
1989	17400	55300	27000	55300	254	334	4240000
1990	18500	41300	28000	41300	262	327	4010000
1991	20100	34800	26000	34800	383	458	3530000
1992	15600	31600	25000	32800	394	458	3350000
1993	13700	30800	27600	31600	435	491	2520000
1994	10100	25800	17500	26800	507	558	2250000
1995	9290	21900	14600	22000	220	235	2180000
1996	9550	21600	15400	21700	226	235	2100000
1997	6890	20900	20300	21000	223	226	2150000
1998	5760	15800	18100	15800	205	205	1980000
1999	7190	15800	21700	15800	199	195	1850000
2000	5260	14600	18800	14600	172	163	2110000
2001	5260	13100	21700	13100	202	186	2060000
2002	2720	6900	6550	6850	258	234	2320000
2003	0	4650	2820	4650	1260	1110	2400000
2004	0	3450	1580	3450	234	202	2340000
2005	0	2530	1510	2530	561	468	2210000
2006	0	2230	3410	2230	450	364	2150000
2007	0	1730	815	1730	473	372	2250000
2008	0	1460	368	1460	746	565	2090000
2009	0	869	59	869	787	598	2110000
2010	0	1040	171	1040	786	588	2010000
2011	0	1180	169	1180	931	675	2000000
2012	0	1610	47	1020	1570	1110	1900000
2013	0	772	27	772	1510	1060	1650000
2014	0	416	279	416	1820	1250	1520000
2015	0	325	517	325	1880	1300	1290000
2016	0	747	587	747	1910	1300	1250000
2017	0	332	143	332	1870	1240	1160000
2018	0	681	235	681	1670	1080	1150000
2019	NA	NA	NA	NA	NA	NA	1170000
2020	NA	NA	NA	NA	NA	NA	1200000
NA Not available.
1Compiled by D.A. Buckingham, R.L. Virta, and D.M. Flanagan.
Data are calculated, estimated, or reported.  See notes for more information.
