BARITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: April 9, 2020
Year	Production      (sold or used)	Imports	Exports	Apparent consumption	Production (crushed and ground - sold or used)	Unit value ($/t)	Unit value (98$/t)	World production
1900	61400	4560	NA	66000	NA	3.34	65	NA
1901	44500	5080	NA	49600	NA	3.98	78	NA
1902	55900	8600	NA	64500	NA	5.4	100	NA
1903	45700	11600	NA	57400	NA	3.9	71	NA
1904	59600	12800	NA	72400	NA	3.46	63	NA
1905	43800	17300	NA	61000	NA	4.11	75	NA
1906	45600	12700	NA	58300	36900	3.87	70	NA
1907	81300	28800	NA	110000	43000	4.22	74	NA
1908	35000	15500	NA	50400	25800	3.94	72	NA
1909	56200	13300	NA	69500	31500	3.8	69	NA
1910	39000	22500	NA	61500	34600	3.25	57	NA
1911	34900	21200	NA	56100	35900	3.24	57	NA
1912	34000	21700	NA	55700	34700	4.18	71	NA
1913	41100	42400	NA	83500	33600	7.85	129	212000
1914	47900	32700	NA	80600	32500	10.5	171	NA
1915	98500	6810	NA	105000	46800	7.26	117	NA
1916	201000	2430	NA	204000	59400	7.06	106	NA
1917	188000	765	NA	188000	47800	6.47	82.4	NA
1918	141000	328	NA	141000	50000	7.5	81	NA
1919	190000	678	NA	191000	52600	9.72	91.7	359000
1920	207000	24400	NA	231000	59600	11.4	92.3	453000
1921	60200	15800	0	76000	25100	15.4	140	242000
1922	141000	35400	1030	175000	41900	12.8	124	414000
1923	194000	27400	943	221000	35900	11.8	112	445000
1924	178000	28400	586	206000	34700	11.1	105	487000
1925	207000	35500	817	242000	45100	9.59	89.6	536000
1926	216000	57600	1230	272000	52400	9.54	87.5	527000
1927	231000	74000	1340	303000	52300	8.2	76.6	536000
1928	245000	68500	2110	311000	58400	8.36	79.6	635000
1929	252000	88900	2890	338000	49400	7.65	72.9	677000
1930	213000	56600	2330	267000	50200	7.77	76.2	592000
1931	158000	72400	2430	228000	29300	6.4	68.6	468000
