ALUMINA STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: December 7, 2018
Year	Production	Shipments	Imports 	Exports	Industry stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1935	NA	NA	68.1	NA	NA	NA	NA	NA	NA
1936	NA	NA	119	NA	NA	NA	NA	NA	NA
1937	NA	NA	185	NA	NA	NA	NA	NA	NA
1938	NA	NA	65	NA	NA	NA	NA	NA	NA
1939	NA	NA	1.02	NA	NA	NA	NA	NA	NA
1940	NA	NA	11.2	NA	NA	NA	NA	NA	NA
1941	NA	NA	61	NA	NA	NA	NA	NA	NA
1942	NA	NA	22100	NA	NA	NA	NA	NA	NA
1943	NA	NA	12600	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	NA	NA	182	NA	NA	NA	NA	NA	NA
1946	NA	NA	4.06	NA	NA	NA	NA	NA	NA
1947	NA	NA	NA	NA	NA	NA	NA	NA	NA
1948	NA	NA	6.1	NA	NA	NA	NA	NA	NA
1949	NA	NA	160	NA	NA	NA	NA	NA	NA
1950	NA	NA	197	NA	NA	NA	NA	NA	NA
1951	NA	NA	875	NA	NA	NA	NA	NA	NA
1952	NA	NA	593	NA	NA	NA	NA	NA	NA
1953	NA	NA	NA	NA	NA	NA	NA	NA	NA
1954	NA	NA	NA	NA	NA	NA	NA	NA	NA
1955	2900000	NA	NA	NA	NA	2900000	NA	NA	NA
1956	3120000	3120000	NA	NA	NA	3120000	NA	NA	NA
1957	3120000	3110000	271	NA	NA	3120000	NA	NA	NA
1958	2890000	NA	47200	NA	NA	2940000	NA	NA	NA
1959	3640000	3640000	115000	NA	NA	3760000	NA	NA	NA
1960	3650000	3650000	79800	NA	NA	3730000	NA	NA	NA
1961	3490000	3510000	171000	NA	NA	3660000	63.5	347	NA
1962	4150000	4080000	158000	NA	NA	4310000	58.6	317	NA
1963	4520000	4570000	173000	NA	NA	4690000	61.3	326	NA
1964	4980000	4980000	191000	NA	NA	5170000	59.1	311	NA
1965	5240000	5220000	206000	290000	NA	5160000	65.9	342	NA
1966	5540000	NA	443000	290000	NA	5690000	61.8	310	NA
1967	5800000	6260000	865000	499000	NA	6170000	58	283	NA
1968	5740000	5650000	1190000	780000	NA	6150000	61.3	288	17200000
1969	6540000	6480000	1730000	885000	761000	7390000	78.9	350	19200000
1970	6350000	6320000	2340000	998000	950000	7500000	65.9	277	20800000
1971	6350000	6330000	2190000	980000	982000	7530000	64	258	22800000
1972	6110000	6110000	2590000	797000	982000	7900000	67.1	262	23500000
1973	6660000	6660000	3090000	694000	1110000	8930000	68.4	251	26400000
1974	6880000	6870000	3290000	927000	1230000	9120000	82.2	272	28500000
1975	5140000	5150000	3180000	933000	1320000	7290000	116	352	26100000
1976	5800000	5800000	3290000	1050000	1300000	8060000	123	352	27200000
1977	6030000	5960000	3760000	857000	1520000	8710000	137	368	29700000
1978	5960000	6020000	3970000	878000	1420000	9150000	148	370	29800000
1979	6450000	6480000	3840000	849000	1420000	9440000	162	364	31400000
1980	6810000	6660000	4360000	1140000	1530000	9920000	180	356	33400000
1981	5960000	6090000	3980000	730000	1420000	9320000	211	378	32100000
1982	4130000	4020000	3180000	590000	1360000	6780000	244	412	28000000
1983	4000000	3950000	4030000	602000	1690000	7100000	201	329	29300000
1984	4550000	4620000	4290000	648000	1710000	8170000	219	343	33700000
1985	3470000	3430000	3830000	316000	1630000	7060000	203	308	32200000
