BAUXITE STATISTICS1										
U.S. GEOLOGICAL SURVEY										
[All values are in metric tons (t) gross weight unless otherwise noted]										
Last modification: April 1, 2014										
Year	Production	Shipments	Imports 	Exports	Industry stocks	Government stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	23600	23800	8800	1020	NA	NA	31300	3.75	74	88000
1901	19200	20200	18600	1020	NA	NA	36800	3.6	71	106000
1902	27800	27800	16000	NA	NA	NA	43800	3.4	64	136000
1903	48900	45400	15100	NA	NA	NA	64000	3.29	60	189000
1904	48400	51800	15600	NA	NA	NA	64000	3.15	57	133000
1905	48900	57500	11900	NA	NA	NA	60800	3.91	71	159000
1906	76500	71700	18100	NA	NA	NA	94600	3.49	63	201000
1907	99300	95900	25500	NA	NA	NA	125000	3.66	64	269000
1908	53000	50900	22000	NA	NA	NA	75000	3.99	73	243000
1909	131000	134000	19000	NA	NA	NA	150000	4.42	80	275000
1910	151000	153000	15900	NA	NA	NA	167000	4.13	72	356000
1911	158000	160000	43900	NA	NA	NA	202000	3.74	66	425000
1912	162000	164000	26600	NA	NA	NA	189000	3.58	61	435000
1913	214000	214000	21800	NA	NA	NA	235000	3.94	64.9	539000
1914	223000	222000	25200	5460	NA	NA	243000	3.82	62.3	236000
1915	302000	305000	3480	16300	NA	NA	289000	4.92	79.4	321000
1916	432000	432000	30	18200	NA	NA	414000	2.85	42.6	701000
1917	578000	578000	7810	22100	NA	NA	563000	3.71	47.3	1030000
1918	615000	615000	3710	20000	NA	NA	599000	3.99	43.1	818000
1919	383000	383000	6180	18000	NA	NA	371000	5.95	56.1	569000
1920	530000	530000	43600	22600	NA	NA	551000	5.77	47	901000
1921	142000	142000	28000	6040	NA	NA	164000	5.88	53.5	318000
1922	315000	315000	24000	19900	NA	NA	319000	3.91	37.9	701000
1923	531000	531000	121000	79800	NA	NA	572000	4.91	46.8	1200000
1924	353000	353000	205000	78300	NA	NA	480000	4.43	42.2	1160000
1925	322000	319000	359000	79900	NA	NA	601000	4.31	40.1	1380000
1926	399000	399000	286000	89200	NA	NA	596000	4.15	38.2	1380000
1927	326000	326000	362000	124000	NA	NA	565000	4.34	40.7	1880000
1928	381000	381000	356000	115000	NA	NA	622000	4.31	41.1	2030000
1929	372000	372000	387000	136000	NA	NA	623000	4.54	43.3	2150000
1930	336000	336000	416000	106000	NA	NA	646000	4.79	46.8	1630000
1931	199000	199000	311000	89800	NA	NA	421000	4.8	51.5	1150000
1932	97900	98000	209000	28900	NA	NA	278000	4.99	59.4	1000000
1933	157000	157000	152000	22100	NA	NA	286000	5.92	74.2	1100000
1934	172000	172000	169000	52200	NA	NA	255000	7.1	86.4	1330000
1935	249000	272000	203000	83800	NA	NA	332000	7.13	84.8	1770000
1936	386000	376000	328000	85800	NA	NA	557000	7.22	84.7	2830000
1937	432000	440000	516000	125000	NA	NA	741000	7	79.2	3750000
1938	316000	297000	463000	58700	NA	NA	721000	7.61	88	3870000
1939	381000	355000	529000	52500	NA	NA	857000	7.12	83.5	4340000
1940	446000	456000	640000	83200	NA	NA	999000	6.72	78.2	4390000
1941	952000	953000	1130000	137000	NA	NA	1960000	6.58	73	6110000
1942	2640000	2490000	898000	265000	1570000	NA	2870000	6.62	66.2	8360000
1943	6330000	6040000	1570000	242000	4480000	NA	5420000	6.91	65.1	14000000
1944	2870000	2740000	569000	149000	4220000	NA	3520000	6.75	62.5	6960000
1945	997000	1090000	751000	128000	3640000	NA	2470000	7.02	63.6	3430000
1946	1120000	1040000	866000	99400	3570000	NA	1920000	6.89	57.6	4360000
1947	1220000	1180000	1850000	95900	3780000	NA	2610000	6.42	46.9	6320000
1948	1480000	1400000	2530000	55000	4090000	NA	2770000	6.26	42.3	8360000
1949	1170000	1200000	2730000	35500	4250000	NA	2720000	5.98	41	8230000
1950	1360000	1360000	2570000	46100	3870000	NA	3380000	6.15	41.6	8180000
1951	1880000	1560000	2880000	91400	4140000	NA	4010000	6.21	38.9	10900000
1952	1690000	1930000	3550000	42000	4760000	4070000	4300000	6.53	40.2	12800000
1953	1610000	1770000	4390000	28400	4700000	4580000	5720000	6.63	40.5	13800000
1954	2030000	1790000	5170000	16400	5120000	5160000	6530000	6.79	41.1	16200000
1955	1820000	1750000	5070000	14300	5090000	5340000	7100000	7.39	44.9	17800000
1956	1770000	1660000	5910000	15200	4980000	5720000	7880000	7.71	46.2	18800000
1957	1440000	1790000	7280000	62000	5410000	6520000	7760000	8.44	49	20500000
1958	1330000	1430000	8070000	12100	5230000	9070000	7150000	8.72	49.2	21400000
1959	1730000	1670000	8390000	17700	5090000	10400000	8760000	8.89	49.8	23100000
1960	2030000	1680000	9000000	29800	5480000	12400000	9030000	8.79	48.4	27600000
1961	1250000	1140000	9420000	153000	5540000	14200000	8760000	9.5	51.8	29400000
1962	1390000	1560000	10900000	263000	5330000	16600000	10700000	11.4	61.3	31100000
1963	1550000	1570000	9590000	206000	5140000	16600000	11500000	12.2	65.2	30700000
1964	1630000	1610000	10700000	283000	3020000	17500000	12700000	12.5	65.5	33400000
1965	1680000	1810000	11800000	149000	3090000	17500000	13800000	11.3	58.5	37400000
1966	1820000	1750000	12100000	63000	3780000	17400000	14300000	11.4	57.2	40700000
1967	1680000	1860000	12500000	2200	3640000	17400000	14700000	12.9	62.7	44600000
1968	1690000	1780000	12200000	7440	3640000	17300000	14300000	12.6	58.9	46000000
1969	1870000	1870000	13300000	5360	3000000	17300000	15800000	13.04	57.9	51800000
