BERYLLIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) beryllium content unless otherwise noted]
Last modification: June 6, 2019
Year	Mine production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World mine production
1935	NA	NA	NA	NA		249000	2960000	16
1936	1	6	NA	NA	7	249000	2920000	17
1937	3	7	NA	NA	7	220000	2500000	15
1938	1	5	NA	NA	11	220000	2550000	42
1939	3	17	NA	NA	18	220000	2590000	36
1940	4	29	NA	NA	22	99200	1160000	87
1941	6	97	NA	80	44	99200	1100000	164
1942	10	74	NA	51	85	104000	1040000	120
1943	13	176	NA	38	111	99200	935000	218
1944	14	113	NA	5	79	99200	919000	118
1945	1	44	NA	3	63	99200	898000	39
1946	4	43	NA	32	37	99200	829000	68
1947	5	28	NA	14	63	210000	1530000	57
1948	4	62	NA	38	71	210000	1420000	99
1949	17	138	NA	84	37	210000	1430000	183
1950	20	176	NA	95	109	210000	1420000	269
1951	18	157	NA	51	123	210000	1310000	243
1952	19	217	NA	90	126	210000	1290000	301
1953	27	290	NA	181	97	158000	962000	298
1954	24	211	NA	149	71	158000	955000	279
1955	18	219	NA	105	140	158000	959000	323
1956	16	449	NA	168	158	158000	945000	468
1957	19	265	NA	264	156	158000	914000	410
1958	18	167	NA	164	218	158000	889000	279
1959	15	292	NA	140	297	158000	883000	406
1960	18	325	NA	99	352	150000	850000	446
1961	41	309	NA	177	341	120000	649000	468
1962	35	310	NA	198	282	120000	643000	399
1963	27	227	NA	315	288	120000	634000	265
1964	W	201	77	261	161	120000	626000	178
1965	W	288	54	259	212	120000	616000	222
1966	W	83	28	284	219	120000	599000	165
1967	W	351	34	297	257	120000	581000	197
1968	6	145	43	234	335	120000	558000	263
1969	W	235	14	215	308	130000	587000	322
1970	W	182	18	207	345	130000	556000	249
1971	W	146	19	229	376	130000	532000	210
1972	W	122	44	251	282	130000	516000	157
1973	W	59	50	214	316	110000	397000	144
1974	W	55	65	161	190	132000	436000	126
1975	W	64	17	129	160	131000	397000	119
1976	W	39	52	144	46	131000	376000	93
1977	W	31	73	129	61	212000	569000	103
1978	W	38	37	49	246	227000	568000	105
1979	W	39	33	30	275	227000	510000	96
1980	270	67	26	49	291	265000	523000	373
1981	266	79	35	89	275	326000	585000	385
1982	198	104	61	194	136	366000	618000	327
1983	242	88	17	255	253	392000	642000	366
1984	219	80	18	205	302	392000	616000	359
1985	209	111	54	181	263	432000	655000	326
1986	237	73	36	177	278	450000	669000	356
1987	220	133	77	164	289	505000	724000	345
1988	212	47	37	158	228	538000	741000	332
1989	184	38	34	153	187	575000	756000	301
1990	182	25	45	119	175	593000	740000	284
1991	174	55	33	112	203	617000	739000	263
1992	193	6	41	111	159	617000	717000	278
1993	198	8	20	114	183	650000	734000	243
1994	173	53	29	113	198	650000	715000	218
1995	202	32	61	162	198	849000	908000	247
1996	211	20	57	139	197	849000	882000	255
1997	231	20	40	110	316	849000	862000	276
1998	243	50	60	80	320	849000	849000	289
1999	200	20	40	20	385	849000	830000	248
2000	180	20	35	115	300	928000	878000	226
2001	100	242	150	100	297	165000	152000	120
2002	80	141	165	90	156	271000	246000	101
2003	85	163	269	45	57	250000	221000	107
2004	90	85	217	40	69	275000	237000	111
2005	110	93	201	35	84	218000	182000	138
2006	155	62	135	50	226	282000	228000	174
2007	150	72	101	99	100	317000	249000	174
2008	175	70	112	60	218	350000	265000	197
2009	120	24	23	30	170	341000	259000	144
2010	180	271	39	15	456	502000	375000	204
2011	235	92	21	10	333	448000	325000	262
2012	225	100	55	15	265	450000	320000	296
2013	235	57	35	20	262	459000	321000	296
2014	270	68	26	15	318	474000	326000	338
2015	205	66	29	25	233	485000	334000	265
2016	155	68	34	35	182	514000	349000	222
2017	150	60	38	30	179	641000	426000	214
2018	165	67	30	30	202	589000	383000	243
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, L.D. Cunningham, K.B. Shedd, and B.W. Jaskula.
Data are calculated, estimated, or reported.  See notes for more information.
