BISMUTH STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: October 24, 2018
Year	Production	Imports	Exports	Stocks	Reported consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	W	81.8	NA	NA	NA	82	4960	97000	NA
1901	W	74.9	NA	NA	NA	75	3970	78000	NA
1902	W	86.6	NA	NA	NA	87	3310	62000	NA
1903	W	66.8	NA	NA	NA	67	3310	60000	NA
1904	W	84.3	NA	NA	NA	84	3310	60000	NA
1905	W	67.4	NA	NA	NA	67	2820	51000	NA
1906	W	116	NA	NA	NA	120	2760	50000	NA
1907	W	118	NA	NA	NA	120	2760	48000	NA
1908	W	74.7	NA	NA	NA	75	3860	70000	NA
1909	W	83.2	NA	NA	NA	83	3860	70000	NA
1910	W	89.9	NA	NA	NA	90	4250	75000	NA
1911	W	78.1	NA	NA	NA	78	4700	82000	NA
1912	W	82.9	NA	NA	NA	83	4480	76000	722
1913	W	53.4	NA	NA	NA	53	4410	72700	922
1914	W	41.1	NA	NA	NA	41	6350	104000	1050
1915	W	20.1	NA	NA	NA	20	6350	102000	1770
1916	W	34.8	NA	NA	NA	35	8000	120000	1670
1917	W	31.4	NA	NA	136	136	7560	96300	907
1918	W	61.6	NA	NA	136	136	7560	81600	992
1919	W	26.1	NA	NA	NA	26	6790	64000	833
1920	W	33	NA	NA	NA	33	5620	45800	817
1921	W	42.7	NA	NA	NA	43	4300	39200	274
1922	W	55.1	NA	NA	NA	55	4370	42400	NA
1923	W	28.4	NA	NA	NA	28	5510	52500	NA
1924	W	8.39	NA	NA	NA	8.4	4480	42700	NA
1925	W	45.2	NA	NA	NA	45	4410	41100	NA
1926	W	30.6	NA	NA	NA	31	6680	61500	NA
1927	W	21.6	NA	NA	NA	22	5070	47500	NA
1928	W	18.8	NA	NA	NA	19	4370	41700	NA
1929	W	17	NA	NA	NA	17	3750	35700	NA
1930	W	11.1	NA	NA	NA	11	2980	29100	NA
1931	W	3.5	NA	NA	NA	3.5	2760	29600	NA
1932	W	14	NA	NA	NA	14	1870	22300	NA
1933	W	13	NA	NA	NA	13	2380	29800	NA
1934	W	8.77	NA	NA	NA	8.8	2650	32200	NA
1935	W	47	NA	NA	NA	47	2310	27500	NA
1936	W	52	NA	NA	NA	540	2200	25800	NA
1937	W	32	NA	NA	NA	540	2200	24900	700
1938	W	43	NA	NA	NA	540	2310	26700	1000
1939	W	82.9	NA	NA	NA	540	2430	28500	1300
1940	W	56.2	NA	NA	NA	540	2760	32100	1400
1941	W	101	268	120	NA	540	2760	30600	1400
1942	W	101	131	160	1130	1130	2760	27600	1700
1943	W	218	42	378	909	909	2760	26000	1400
1944	W	188	56	435	665	665	2760	25600	1200
1945	W	151	52	346	742	742	2760	25000	1100
1946	W	192	69	266	603	603	3170	26500	940
1947	W	141	109	54	NA	700	4370	31900	1500
1948	W	136	160	42	NA	710	4410	29800	1500
1949	W	246	86.6	52	NA	720	4410	30200	1500
1950	W	354	90.4	63	NA	730	4540	30700	1400
1951	W	239	66.7	88.6	788	788	4960	31100	1770
1952	W	321	111	95.9	805	805	4960	30500	1770
1953	W	291	57.6	75.6	711	711	4960	30300	2090
1954	W	292	62.5	115	653	653	4960	30100	1680
1955	W	270	92.4	106	702	702	4960	30200	1910
1956	W	416	130	104	686	686	4960	29700	2400
1957	W	385	71.8	170	733	733	4960	28800	2270
1958	W	289	143	248	564	564	4960	28000	2090
1959	W	207	81.5	214	725	725	4960	27800	2270
1960	W	529	71	165	693	693	4960	27300	2400
1961	W	362	144	147	671	671	4960	27000	2590
1962	W	370	159	203	866	866	4960	26800	3040
1963	W	510	16	194	987	987	4960	26400	2530
1964	W	562	27.8	298	980	980	5070	26700	2890
1965	W	625	155	230	1330	1330	7560	39100	2960
1966	W	763	40.5	296	1450	1450	8820	44400	3110
1967	W	626	69.3	299	1140	1140	8820	43000	3380
1968	W	574	54.6	282	1070	1070	8820	41300	3770
1969	W	406	203	271	1150	1150	10200	45300	3760
1970	W	453	413	327	1000	1000	13200	55500	3720
1971	W	385	32.3	502	748	748	11600	46700	3830
1972	W	709	120	325	1050	1050	8000	31200	4000
1973	W	1220	68.5	245	1320	1320	11600	42600	3720
1974	W	859	150	271	1040	1040	20400	67400	4820
1975	W	604	58.5	205	638	638	18200	55100	3980
1976	W	1060	31.1	219	1090	1090	16500	47300	3940
