BORON STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) boron oxide (B2O3) content unless otherwise noted]
Last modification: June 6, 2019
Year	Production	Imports	Exports	Apparent consumption	Unit value  ($/t)	Unit value (98$/t)	World production (gross weight)
1900	9250	178	NA	9430	111	2170	46900
1901	8420	297	NA	8720	123	2390	42900
1902	7590	362	NA	7950	327	6140	41300
1903	12300	219	NA	12500	56.6	1020	54700
1904	16300	225	NA	16500	45.1	815	65200
1905	16500	205	NA	16700	62.9	1140	65800
1906	20700	395	NA	21100	58.9	1070	87400
1907	18800	514	NA	19300	63.2	1100	95300
1908	8910	204	NA	9110	111	2010	74800
1909	14800	73.3	NA	14900	104	1880	86800
1910	15100	87.2	NA	15200	80	1390	67100
1911	19000	125	NA	19100	83.2	1450	99000
1912	15100	64.3	NA	15200	75.2	1270	86000
1913	20700	110	NA	20800	72.6	1190	55100
1914	34600	110	NA	34700	42.8	698	NA
1915	36300	114	NA	36400	46.6	752	NA
1916	49900	90.8	NA	50000	48.6	727	NA
1917	52000	87.2	NA	52100	69.8	888	NA
1918	44000	66.2	NA	44100	51.9	560	NA
1919	36800	70.8	NA	36900	38	358	NA
1920	60200	0.634	2740	56600	36.7	299	NA
1921	18900	47	NA	17900	89.9	818	NA
1922	33000	0.161	NA	30600	88.5	859	NA
1923	54000	0.195	NA	49100	81.4	776	NA
1924	47300	NA	NA	41800	76.2	726	NA
1925	47200	NA	NA	41000	75.3	701	NA
1926	47900	NA	NA	41800	74.8	689	NA
1927	41500	NA	NA	41500	83.8	785	NA
1928	52300	2120	26000	28400	76.1	726	NA
1929	68200	2110	30600	39700	66.7	636	NA
1930	71300	2.76	31700	39600	75.1	733	NA
1931	68400	236	33300	35300	72.1	774	NA
1932	69600	0.101	34300	35300	43.4	517	NA
1933	72000	0.176	33600	38400	47.7	599	NA
1934	92800	0.055	39700	53100	51.9	632	NA
1935	105000	0.124	53000	52000	51.5	613	NA
1936	120000	0.312	47200	72800	51.3	601	NA
1937	137000	0.12	71300	65700	52.6	596	NA
1938	82600	0.104	35900	46700	57.4	664	NA
1939	74200	0.128	34900	39300	76.7	899	NA
1940	73400	0.125	24600	48800	76.9	895	NA
1941	86400	0.335	16000	70400	78.6	871	NA
1942	70400	NA	14000	56400	81.5	815	NA
1943	79500	0.086	10400	69100	80.6	759	NA
1944	83200	NA	12500	70700	79.1	732	NA
1945	94900	0.223	16600	78300	80.5	729	NA
1946	118000	16.6	20400	97600	81.4	680	NA
1947	132000	0.312	32800	99200	89.6	655	NA
1948	122000	0.506	27200	94900	91.3	617	NA
1949	126000	0.147	41900	84100	91.2	624	NA
1950	173000	0.203	54600	118000	91.2	617	NA
1951	219000	0.236	81700	137000	91.6	574	NA
1952	153000	0.142	39500	114000	92	566	NA
1953	194000	0.103	53300	141000	91.3	557	NA
1954	209000	NA	78700	130000	128	774	NA
1955	223000	3.65	85200	138000	138	837	NA
1956	243000	10	93300	150000	135	807	NA
1957	244000	2320	82100	164000	155	899	NA
1958	241000	7.84	90200	151000	160	902	NA
1959	285000	NA	97100	188000	163	911	NA
1960	294000	NA	115000	179000	163	897	NA
1961	284000	NA	103000	181000	165	901	NA
1962	308000	NA	112000	196000	160	862	NA
1963	335000	NA	130000	205000	164	875	NA
1964	386000	16	147000	239000	158	830	172000
1965	386000	2280	81500	307000	166	858	189000
1966	419000	4350	97300	326000	164	824	209000
1967	429000	9820	87400	351000	160	781	221000
1968	471000	6880	97500	380000	161	754	232000
1969	500000	8820	110000	399000	161	714	251000
1970	510000	9920	110000	410000	168	707	257000
1971	515000	2670	95400	422000	174	700	284000
1972	551000	7340	89100	469000	173	674	314000
1973	602000	6620	99300	509000	187	688	342000
1974	562000	7940	117000	453000	227	750	328000
1975	547000	10100	115000	442000	287	870	354000
1976	572000	11000	116000	467000	320	917	2340000
1977	667000	25800	141000	552000	355	954	2730000
1978	706000	46100	164000	588000	397	991	2660000
1979	725000	36200	175000	586000	427	960	2520000
1980	710000	32300	173000	476000	509	1010	2610000
1981	671000	15100	152000	534000	622	1120	2560000
1982	551000	8030	123000	436000	690	1170	2270000
1983	578000	13800	124000	468000	755	1240	2240000
1984	667000	28300	289000	344000	743	1170	2510000
1985	577000	28500	314000	292000	773	1170	2510000
1986	571000	24300	310000	285000	789	1170	2510000
1987	625000	24400	316000	333000	783	1120	2690000
1988	578000	23700	310000	570000	750	1030	2990000
1989	562000	21100	353000	230000	758	996	2990000
1990	608000	21400	320000	309000	720	898	2910000
1991	626000	20000	309000	337000	712	852	2960000
1992	554000	38300	294000	298000	658	765	2670000
1993	574000	120000	287000	407000	710	801	2640000
1994	550000	73100	303000	320000	779	857	3810000
1995	728000	91500	342000	478000	745	797	4020000
1996	581000	90100	218000	453000	836	869	4330000
1997	604000	115000	293000	426000	874	888	4580000
1998	587000	105000	291000	401000	775	775	4570000
1999	618000	108000	249000	477000	927	907	4460000
2000	546000	84000	278000	352000	941	891	4600000
2001	536000	90000	161000	482000	879	809	4740000
2002	543000	124000	124000	492000	826	748	4580000
2003	605000	73000	96900	532000	934	827	4750000
2004	637000	85600	92900	509000	934	806	4960000
2005	612000	89900	209000	439000	935	780	4950000
2006	W	118000	260000	W	935	756	3620000
2007	W	91000	293000	W	935	735	4200000
2008	W	76200	350000	W	934	707	4480000
2009	W	49100	417000	W	878	667	3600000
2010	W	53800	423000	W	680	508	4120000
2011	W	56000	492000	W	871	631	8150000
2012	W	55000	457000	W	784	557	5910000
2013	W	53000	489000	W	694	486	6030000
2014	W	142000	430000	W	1094	764	NA
2015	W	135000	371000	W	1128	782	NA
2016	W	146000	422000	W	1147	779	NA
2017	W	139000	404000	W	1170	778	NA
2018	W	146000	443000	W	1170	763	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, P.A. Lyday, D.S. Kostick, D.E. Polyak, M.A. Angulo,  R.D. Crangle, Jr., and A. Brioche
Data are calculated, estimated, or reported.  See notes for more information.
