CADMIUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) cadmium content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98 $/t)	World production
1900	0	NA	NA	NA	NA	NA	1430	28000	14
1901	0	NA	NA	NA	NA	NA	1500	29000	13
1902	0	NA	NA	NA	NA	NA	1190	22000	13
1903	0	3.94	NA	NA	NA	3.94	1170	21000	17
1904	0	3.47	NA	NA	NA	3.47	1300	24000	25
1905	0	3.69	NA	NA	NA	3.69	1430	26000	25
1906	0.136	6.27	NA	NA	NA	6.4	1680	31000	21
1907	6.35	0.886	NA	NA	NA	7.24	1850	32000	39
1908	3.63	1.62	NA	NA	NA	5.25	1650	30000	37
1909	2.41	4.02	NA	NA	NA	6.43	1150	21000	39
1910	2.13	1.84	NA	NA	NA	3.97	1210	21000	43
1911	11.9	2.44	NA	NA	NA	14.3	1480	26000	55
1912	23.8	2.38	18	NA	NA	8.2	1680	28000	67
1913	24.6	0.751	NA	NA	NA	25.3	1700	28000	62
1914	41.5	0.2	NA	NA	NA	39.8	1960	32000	80
1915	41.5	0.122	NA	NA	NA	41.6	2620	42300	78
1916	61.4	NA	NA	NA	NA	43.6	3440	51400	119
1917	94.1	NA	NA	NA	NA	94.1	3240	41300	172
1918	57.7	NA	18	NA	NA	38.5	3260	35200	165
1919	45.3	NA	NA	NA	NA	45.3	2690	25400	89
1920	58.7	NA	NA	NA	NA	45.3	2580	21000	81
1921	31.1	0.046	NA	NA	NA	31.1	2160	19700	54
1922	59.7	1.02	NA	NA	NA	60.7	2400	23300	128
1923	83.4	0.007	NA	NA	NA	83.4	1940	18500	248
1924	58.7	0.501	NA	NA	NA	59.2	1320	12600	245
1925	228	0.002	NA	NA	NA	228	1320	12300	416
1926	368	NA	NA	NA	NA	368	1320	12200	960
1927	488	10.2	NA	NA	NA	497	1320	12400	661
1928	851	106	NA	NA	NA	957	1320	12600	1500
1929	1130	97.2	NA	1060	NA	1420	1320	12600	2180
