CEMENT STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: August 15th, 2019
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	2680400	411440	17200	NA	3074600	4	78	NA
1901	3202400	161850	64500	NA	3299800	4.5	88	NA
1902	4147600	338350	58800	NA	4427100	5.34	100	NA
1903	4898000	388170	49100	NA	5237100	5.88	110	NA
1904	5282700	166850	134000	NA	5315900	4.79	87	NA
1905	6750300	154610	155000	NA	6750100	5.26	95	NA
1906	8643600	391790	100000	NA	8934900	6.16	110	NA
1907	8897800	350420	155000	NA	9092900	6.14	110	NA
1908	9059000	145130	146000	NA	9058200	4.93	89	NA
1909	11437000	76530	182000	NA	11332000	4.76	86	NA
1910	13366000	52916	427000	NA	12992000	5.33	93	NA
1911	13678000	28440	540000	1791000	13166000	5.32	93	NA
1912	14337000	11893	727000	1347000	13623000	4.99	84	NA
1913	15994000	14651	511000	1935000	15498000	6.06	99.8	NA
1914	15322000	20856	369000	2202000	14974000	5.54	90.3	NA
1915	14919000	7239	442000	1976000	14484000	5.18	83.6	NA
1916	15890000	345	442000	1441000	15448000	6.61	98.8	NA
1917	16085000	345	446000	1785000	15639000	8.14	104	NA
1918	12311000	52	388000	1802000	11923000	9.65	104	NA
1919	13995000	1551	425000	906000	13572000	10.3	97.2	NA
1920	17163000	90492	509000	1507000	16744000	12.1	98.8	NA
1921	16950000	20813	201000	2080000	16769000	11.2	102	NA
1922	19729000	60734	192000	1595000	19597000	10.4	101	NA
1923	23661000	301450	171000	1845000	23791000	11.1	106	NA
1924	25715000	345290	150000	2414000	25910000	10.5	100	NA
1925	27866000	625590	174000	3153000	28318000	10.2	95	NA
1926	28420000	553430	166000	3569000	28807000	9.89	91.1	62400000
1927	29903000	349730	139000	3856000	29540000	9.43	88.3	67800000
1928	30445000	392720	141000	3906000	30231000	9.11	86.8	72200000
1929	29481000	297700	151000	4076000	29202000	8.66	82.5	74900000
1930	27798000	167990	129000	4437000	27227000	8.42	82.2	72300000
1931	21604000	80159	73300	4191000	21745000	6.51	69.8	62100000
1932	13166000	79818	64000	3453000	13729000	5.95	70.8	49300000
1933	10913000	81353	116000	3334000	10860000	7.83	98.2	48200000
1934	13375000	45367	96500	3658000	12877000	9.06	110	58300000
1935	13260000	105570	70900	3935000	12745000	8.81	105	65400000
1936	19523000	282940	57100	3850000	19129000	8.61	101	62800000
1937	20138000	323020	64600	4250000	19469000	8.45	95.6	82700000
1938	18279000	294540	95200	4093000	18211000	8.26	95.5	85900000
1939	21212000	326430	195000	4034000	21046000	8.43	98.9	93000000
1940	22575000	91756	284000	3986000	21793000	8.45	98.4	81000000
1941	28387000	7334	436000	3406000	28378000	8.61	95.5	88000000
1942	31496000	110	188000	2965000	31045000	8.89	88.9	80900000
1943	22901000	2388	295000	3956000	21226000	9.16	86.3	71200000
1944	15542000	0	689000	3404000	15497000	9.6	88.9	54900000
1945	17537000	55	1100000	2836000	17378000	9.56	86.5	49500000
1946	28102000	682	881000	1891000	19493000	10.1	84.3	72500000
1947	31995000	853	1150000	1733000	32634000	11.1	81.4	85800000
1948	35210000	48266	1010000	1928000	35856000	12.8	86.5	102000000
1949	35939000	18761	778000	2545000	36265000	13.5	92.4	115000000
1950	38724000	237750	412000	2270000	40891000	13.8	93.2	133000000
1951	41825000	151960	500000	3109000	42695000	14.9	93.4	149000000
1952	42394000	81182	541000	2737000	44335000	14.9	91.6	161000000
1953	45021000	65321	435000	3312000	46047000	15.7	95.9	178000000
1954	46434000	76740	317000	2827000	48897000	16.3	98.8	194900000
