BALL CLAY STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	19400	7450	NA	26800	9.87	194
1901	19100	6230	NA	25300	5.99	117
1902	45800	7090	NA	52900	4.87	91.9
1903	83200	9220	NA	92400	3.88	70.6
1904	41900	4770	NA	46700	4.12	74.9
1905	55700	5360	NA	61000	3.64	66.2
1906	49100	8360	NA	57500	4.93	89.6
1907	47500	11200	NA	58800	5.21	91.4
1908	37000	4420	NA	41500	4.12	74.9
1909	44500	11200	NA	55700	5.72	104
1910	64100	19200	NA	83300	5.27	92.5
1911	59000	15600	NA	74600	4.62	81.1
1912	58900	21000	NA	79900	5.15	87.3
1913	60900	22700	NA	83600	5.29	87.2
1914	61600	15200	NA	76800	4.92	80.3
1915	68400	8040	NA	76400	4.77	76.9
1916	81400	2270	NA	83700	4.81	71.9
1917	97400	79.8	NA	97500	5.84	74.4
1918	81600	103	NA	81700	7.24	78.2
1919	59000	3.63	NA	59000	8.83	83.2
1920	63000	6200	NA	69200	10.72	87.4
1921	49000	4050	NA	53100	8.14	74.1
1922	69700	6640	NA	76300	6.89	66.8
1923	88100	11800	NA	99900	7.43	70.8
1924	75300	6400	NA	81700	7.89	75.2
1925	99400	10800	NA	110000	7.32	68.2
1926	102000	6000	NA	108000	8.61	79.3
1927	109000	3520	NA	112000	8.5	79.7
1928	110000	9310	NA	119000	9.03	86.1
1929	107000	25400	NA	133000	9.47	90.3
1930	84800	17100	NA	102000	8.77	85.6
1931	75300	13800	NA	89100	8.49	91
1932	43200	5330	NA	48500	7.38	87.9
1933	58600	6440	NA	65000	7.24	90.7
1934	57000	8590	NA	65600	8.15	99.2
1935	87300	14100	NA	101000	7.85	93.5
1936	91900	29200	NA	121000	8.21	96.3
1937	110000	35000	NA	145000	8.73	98.9
1938	86200	18500	NA	105000	8.98	104
1939	117000	26200	NA	143000	8.18	95.9
1940	128000	29200	NA	157000	8.43	98.1
1941	180000	24300	NA	204000	9.4	104
1942	147000	18000	NA	165000	9.44	94.4
1943	134000	14100	NA	148000	9.5	89.5
1944	141000	16000	NA	157000	9.76	90.4
1945	158000	16200	NA	175000	10.2	92.1
1946	221000	20600	NA	241000	11.1	92.4
1947	244000	23500	NA	268000	12.2	89.3
1948	271000	29200	NA	300000	12.7	85.5
1949	226000	21900	NA	248000	13.6	93
1950	294000	31700	NA	326000	13.3	89.7
1951	313000	32300	NA	345000	11.8	74.2
1952	277000	26000	NA	303000	14.1	86.4
1953	273000	23400	NA	296000	12.4	76
1954	298000	23200	NA	321000	13.8	83.9
1955	373000	30500	NA	404000	14.2	86.6
1956	416000	23800	NA	440000	14.5	86.8
1957	370000	20000	NA	390000	14.8	85.7
1958	360000	16300	NA	376000	15.2	85.8
1959	431000	21100	NA	452000	15	84.1
1960	403000	13600	NA	417000	14.9	82.2
1961	403000	10700	NA	414000	15.2	82.9
1962	442000	13400	NA	455000	15.4	83
1963	497000	13700	NA	510000	15.1	80.6
1964	515000	14600	NA	529000	15.2	79.9
1965	536000	13500	NA	549000	15.3	79.2
1966	518000	14200	NA	532000	14.2	71.6
1967	507000	11900	NA	519000	14.9	72.5
1968	572000	15800	NA	587000	14.7	68.9
1969	619000	11600	NA	630000	15.8	70.1
1970	644000	15700	20000	640000	15.4	64.5
1971	547000	14400	69900	491000	17.2	69.1
1972	613000	8830	78900	543000	17.2	67
1973	696000	11400	103000	603000	18.3	67.1
1974	741000	16200	119000	639000	18.3	60.4
1975	641000	10800	142000	510000	19.9	60.3
1976	727000	9660	142000	594000	20.5	58.7
1977	811000	10300	106000	715000	22.9	61.5
1978	849000	6610	131000	725000	24.4	61
1979	895000	11600	153000	754000	28.7	64.4
1980	811000	8500	191000	628000	34.3	67.9
1981	767000	6620	192000	581000	38.1	68.3
1982	583000	4690	131000	457000	39.6	66.9
1983	677000	3590	132000	549000	39.5	64.6
1984	787000	1800	150000	639000	38.8	60.9
1985	818000	1150	185000	634000	44.3	67.1
1986	805000	2690	146000	661000	43.5	64.7
1987	892000	1600	162000	732000	40.3	57.8
1988	990000	1610	186000	806000	42.4	58.5
1989	903000	1480	157000	748000	46	60.4
1990	788000	1420	69000	720000	42.7	53.3
1991	784000	753	58000	727000	42.3	50.7
1992	854000	699	49000	806000	40.9	47.6
1993	911000	687	60000	852000	41.7	47.1
1994	1020000	836	81000	940000	44.4	48.8
1995	993000	1370	28000	966000	45.6	48.8
1996	935000	1400	80000	856000	43.2	44.8
1997	1060000	823	91000	970000	45.5	46.2
1998	1130000	2670	140000	993000	42.1	42.1
1999	1200000	827	107000	1090000	38.5	37.7
2000	1140000	504	100000	1040000	38.3	36.3
2001	1110000	3570	174000	940000	40.6	37.3
2002	1120000	407	127000	993000	40.4	36.6
2003	1310000	13300	139000	1180000	41.4	36.7
2004	1220000	520	107000	1120000	41.4	35.7
2005	1210000	667	141000	1070000	41.4	34.6
2006	1190000	662	140000	1050000	43.3	35
2007	1070000	0	83000	989000	44	34.6
2008	967000	2000	65000	904000	44.3	33.5
2009	831000	1220	35000	797000	44.5	33.8
2010	912000	680	44900	868000	44.3	33.1
2011	886000	465	49400	837000	45.6	33.1
2012	973000	436	74000	899000	45.2	32.1
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
