FIRE CLAY STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	852000	NA	NA	852000	1.22	23.9
1901	927000	NA	NA	927000	1.76	34.5
1902	924000	NA	NA	924000	1.09	20.6
1903	1170000	NA	NA	1170000	1.36	24.7
1904	1050000	NA	NA	1050000	1.33	24.2
1905	1280000	NA	NA	1280000	1.37	24.9
1906	1390000	NA	NA	1390000	1.46	26.6
1907	1450000	NA	NA	1450000	1.51	26.5
1908	1110000	NA	NA	1110000	1.43	26
1909	1450000	NA	NA	1450000	1.53	27.8
1910	1630000	NA	NA	1630000	1.42	24.9
1911	1520000	NA	NA	1520000	1.5	26.3
1912	1650000	NA	NA	1650000	1.5	25.4
1913	1790000	NA	NA	1790000	1.53	25.2
1914	1400000	NA	NA	1400000	1.62	26.4
1915	1550000	NA	NA	1550000	1.61	26
1916	1990000	NA	41500	1950000	1.93	28.9
1917	2200000	NA	49000	2150000	2.6	33.1
1918	2170000	NA	54600	2120000	2.68	28.9
1919	1650000	NA	34000	1610000	2.86	27
1920	2150000	NA	49100	2100000	3.41	27.8
1921	1160000	NA	21500	1140000	3.22	29.3
1922	1600000	NA	22100	1580000	2.99	29
1923	2160000	NA	45400	2110000	3.13	29.8
1924	2270000	NA	37800	2230000	3.02	28.8
1925	2400000	NA	40000	2360000	3.12	29.1
1926	2630000	NA	43300	2590000	3.15	29
1927	2540000	NA	43600	2490000	3.12	29.2
1928	2610000	NA	54600	2560000	2.94	28
1929	2960000	NA	69500	2890000	2.8	26.7
1930	2380000	NA	56800	2320000	2.61	25.5
1931	1390000	NA	41100	1350000	2.79	29.9
1932	704000	NA	20000	684000	3.04	36.2
1933	1050000	NA	29400	1020000	3.04	38.1
1934	1220000	NA	32700	1190000	3.14	38.2
1935	1760000	NA	45300	1710000	2.91	34.6
1936	2240000	NA	59800	2240000	2.74	32.1
1937	2530000	NA	70200	2460000	2.84	32.2
1938	1320000	NA	50600	1270000	3.07	35.5
1939	2020000	NA	52000	2020000	2.88	33.8
1940	2510000	NA	87500	2510000	2.81	32.7
1941	3780000	NA	83200	3780000	2.69	29.8
1942	4390000	NA	107000	4390000	2.59	25.9
1943	7070000	NA	88400	6990000	2.43	22.9
1944	5760000	NA	79600	5680000	2.46	22.8
1945	5530000	NA	85800	5440000	2.82	25.5
1946	7170000	NA	88900	7090000	2.9	24.3
1947	8200000	NA	100000	8100000	3.2	23.4
1948	8940000	NA	93000	8840000	3.29	22.2
1949	7780000	NA	73200	7700000	3.26	22.3
1950	8650000	NA	67800	8580000	3.35	22.7
1951	10800000	NA	91800	10700000	4.53	28.4
1952	10200000	NA	79900	10200000	4.73	29.1
1953	9310000	NA	82500	9230000	4.13	25.2
1954	7980000	NA	70700	7910000	4.18	25.3
1955	9830000	NA	99200	9730000	4.28	26
1956	10700000	NA	138000	10600000	5.02	30.1
1957	9800000	NA	124000	9680000	5.23	30.3
1958	7990000	NA	114000	7880000	5.05	28.5
1959	8950000	NA	125000	8820000	5.05	28.3
1960	9000000	NA	161000	8830000	5.03	27.7
1961	7880000	NA	141000	7740000	4.92	26.8
1962	7320000	NA	171000	7150000	4.89	26.4
1963	7610000	NA	240000	7370000	5.2	27.7
1964	7760000	NA	224000	7530000	5.29	27.8
1965	8180000	NA	166000	8010000	5.27	27.3
1966	7960000	NA	196000	7770000	5.3	26.7
1967	7230000	NA	160000	7070000	5.83	28.5
1968	7310000	NA	138000	7170000	5.76	27
1969	6590000	NA	148000	6440000	5.73	25.4
1970	5860000	NA	152000	5710000	5.89	24.8
1971	2760000	NA	147000	2610000	6.88	27.7
1972	3250000	NA	112000	3140000	8.98	35
1973	3690000	NA	178000	3510000	9.8	36
1974	3760000	NA	203000	3550000	10.9	36.2
1975	2960000	NA	199000	2760000	12.1	36.8
1976	3040000	NA	269000	2770000	13.2	37.8
1977	2690000	NA	279000	2410000	13.8	37
1978	2840000	NA	214000	2620000	15	37.5
1979	2660000	NA	203000	2460000	17.7	39.8
1980	1900000	NA	279000	1620000	19	37.5
1981	1750000	NA	263000	1490000	17.8	32
1982	986000	NA	163000	823000	18.7	31.6
1983	946000	NA	150000	797000	17.3	28.4
1984	1040000	NA	208000	831000	20.4	31.9
1985	884000	NA	202000	682000	20.4	30.8
1986	537000	NA	171000	365000	22.8	33.8
1987	729000	NA	158000	571000	23	33.1
1988	794000	NA	254000	539000	23.5	32.4
1989	826000	149	284000	542000	25.3	33.2
1990	626000	178	213000	413000	25.8	32.1
1991	474000	425	199000	275000	27.8	33.3
1992	383000	8090	228000	163000	27	31.4
1993	459000	1100	148000	312000	25.1	28.3
1994	456000	1030	225000	232000	25.4	28
1995	583000	1350	281000	303000	22	23.5
1996	505000	355	295000	210000	21.2	22
1997	415000	69	222000	193000	19.3	19.6
1998	410000	2150	168000	244000	18.3	18.3
1999	402000	260	189000	213000	16.8	16.5
2000	476000	73	216000	260000	15.9	15
2001	383000	148	238000	145000	19.8	18.2
2002	446000	218	251000	195000	23.5	21.3
2003	345000	482	285000	60482	27.5	24.4
2004	307000	5920	164000	149000	27.7	23.9
2005	353000	429	188000	281000	30.2	25.2
2006	848000	453	188000	777000	22.4	18.1
2007	565000	2000	157000	505000	42.2	33.2
2008	296000	1000	145000	232000	39.9	30.2
2009	320000	141	328000	244000	37.5	28.5
2010	216000	299	404000	138000	28.3	21.2
2011	215000	1940	371000	166000	28.6	20.8
2012	183000	8000	289000	158000	26.6	18.9
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
