FULLER'S EARTH STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	8800	8300	NA	17100	7.74	152
1901	12800	10900	NA	23700	7.48	147
1902	10430	13700	NA	24200	8.31	157
1903	18770	15500	NA	34300	9.06	165
1904	26740	9270	NA	36000	6.72	122
1905	22840	13200	NA	36100	8.88	161
1906	29070	13400	NA	42500	8.79	160
1907	29800	14900	NA	44700	9.27	163
1908	26960	11000	NA	38000	9.78	178
1909	30380	11600	NA	41900	9.61	175
1910	29780	15000	NA	44800	9.52	167
1911	36920	16500	NA	53500	9.85	173
1912	29680	17300	NA	47000	9.6	163
1913	34990	17000	NA	52000	9.91	163
1914	37180	22700	NA	59800	10	163
1915	43460	17600	NA	61100	10.5	169
1916	61530	15200	NA	76800	11	165
1917	65830	15400	NA	81200	11.7	149
1918	76630	15400	NA	92000	15	162
1919	96290	12600	NA	109000	20.1	190
1920	117000	17300	NA	134000	20.4	166
1921	95800	8840	NA	105000	20	182
1922	126000	9590	NA	136000	17.9	173
1923	135000	7750	3360	143000	16.5	158
1924	161000	6620	5730	162000	16.2	154
1925	187000	7270	5620	189000	15.6	145
1926	212000	8250	6030	215000	15.7	145
1927	240000	6880	11100	236000	15.7	147
1928	260000	6890	15000	252000	15.2	145
1929	287000	7530	19300	275000	15.3	146
1930	304000	6560	12900	298000	14.5	142
1931	262000	3640	7590	258000	11.7	126
1932	207000	3520	12900	198000	10.8	129
1933	203000	3720	13500	194000	10.3	129
1934	200000	3910	6110	198000	10.5	128
1935	207000	2660	7400	202000	10.8	129
1936	209000	2480	5550	206000	10.9	128
1937	205000	2070	7350	200000	11.3	128
1938	155000	1370	9110	147000	11.2	129
1939	152000	1650	10100	143000	11.3	133
1940	133000	430	5710	128000	11.1	130
1941	188000	310	9730	179000	11.3	125
1942	185000	260	5490	180000	11.6	116
1943	224000	178	6210	218000	11.9	112
1944	267000	279	6770	261000	12.4	115
1945	269000	305	6130	263000	12.9	117
1946	271000	176	16100	255000	13.6	114
1947	299000	141	8620	299000	15.6	114
1948	310000	117	9620	310000	17	115
1949	291000	353	11000	291000	17.9	122
1950	359000	215	14900	359000	18.1	123
1951	439000	367	31800	439000	18.5	116
1952	384000	142	23600	384000	17.9	110
1953	395000	201	16300	396000	19.3	118
1954	341000	232	10900	342000	20.1	122
1955	335000	70.8	15900	335000	22.7	138
1956	379000	1910	NA	379000	23.4	140
1957	332000	1460	NA	332000	24.3	141
1958	325000	30600	6730	325000	23.4	132
1959	372000	650	9010	372000	24.3	136
1960	370000	5180	10900	370000	24.8	136
1961	383000	420	254	383000	24.9	136
1962	372000	810	218	372000	25.2	136
1963	437000	830	NA	437000	25.6	136
1964	501000	232	NA	501000	25.4	133
1965	612000	24.5	16900	595000	25	130
1966	689000	1810	21100	668000	25.8	130
1967	729000	72.6	27500	702000	27.1	132
1968	836000	69.9	38100	798000	26.7	125
1969	894000	61.7	33600	860000	27.7	123
1970	891000	59.9	33600	857000	26.1	110
1971	920000	31.8	24500	895000	25.5	103
1972	897000	39	35400	861000	24.5	95.4
1973	1030000	47.2	52600	980000	25.2	92.4
1974	1110000	0.907	50800	1060000	31	103
1975	1080000	59	38100	1040000	38.1	115
1976	1220000	20	38100	1180000	42.2	121
1977	1300000	61.7	40800	1250000	45	121
1978	1390000	76.2	53500	1330000	51.9	130
1979	1420000	168	67100	1360000	56.5	127
1980	1390000	270	104000	1290000	54.8	108
1981	1500000	196	101000	1400000	59.1	106
1982	1530000	36.3	84400	1440000	61	103
1983	1730000	NA	92500	1640000	59.9	98
1984	1720000	7.26	105000	1620000	67.2	105
1985	1870000	3460	94300	1780000	67.5	102
1986	1730000	49.9	110000	1620000	71.1	106
1987	1870000	239	97100	1770000	72.6	104
1988	1790000	486	112000	1680000	80.1	110
1989	1880000	16	96000	1780000	88.3	116
1990	2310000	69	46000	2260000	96.8	121
1991	2320000	82	27000	2290000	98	117
1992	2410000	160	27000	2380000	99.5	116
1993	2480000	101	63000	2420000	92	104
1994	2640000	1440	74000	2570000	91.2	100
1995	2640000	100	63000	2580000	101	108
1996	2600000	368	112000	2490000	106	111
1997	2370000	3530	144000	2230000	107	109
1998	2420000	288	121000	2300000	92.9	92.9
1999	2560000	398	152000	2410000	85.7	83.9
2000	2910000	70	136000	2770000	82.6	78.2
2001	2890000	31	146000	2740000	88.7	81.7
2002	2730000	205	60000	2670000	88.9	80.6
2003	3610000	205	48000	3560000	94.7	83.9
2004	3260000	227	49000	3210000	99.3	85.6
2005	2730000	2450	55000	2680000	97.7	81.5
2006	2540000	3000	69000	2470000	91.7	74.1
2007	2600000	NA	134000	2530000	84.9	66.8
2008	2340000	1000	127000	2210000	84.1	63.7
2009	2010000	1270	89900	1920000	92.7	70.4
2010	2050000	1410	100000	1950000	84.9	63.5
2011	1950000	1860	102000	1850000	80.2	58.1
2012	1980000	1410	105000	1880000	77.8	55.2
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
