KAOLIN STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	54500	114000	NA	168000	6.51	128
1901	88200	120000	NA	208000	6.01	118
1902	112000	135000	NA	248000	6.18	117
1903	45600	143000	NA	188000	6.68	121
1904	101000	145000	NA	247000	5.97	109
1905	110000	170000	NA	280000	5.9	107
1906	116000	203000	NA	319000	6.03	110
1907	103000	218000	NA	321000	6.91	121
1908	84500	160000	NA	245000	6.76	123
1909	102000	224000	NA	326000	6.55	119
1910	109000	234000	NA	343000	6.53	115
1911	115000	231000	NA	346000	6.17	108
1912	132000	252000	NA	385000	6.17	105
1913	141000	244000	NA	385000	6.31	104
1914	137000	298000	NA	434000	6.38	104
1915	128000	190000	NA	318000	6.09	98.2
1916	182000	230000	NA	413000	5.82	87
1917	187000	219000	NA	406000	6.36	81
1918	163000	152000	NA	316000	8.28	89.4
1919	139000	164000	NA	302000	11.4	107
1920	243000	328000	NA	572000	11.3	91.8
1921	148000	148000	NA	295000	10.6	96.4
1922	250000	281000	1900	530000	9.97	96.7
1923	306000	282000	NA	588000	10.2	96.9
1924	296000	320000	NA	617000	9.91	94.5
1925	333000	338000	NA	671000	9.56	89
1926	392000	359000	NA	752000	9.65	88.9
1927	412000	308000	NA	720000	9.38	87.9
1928	450000	279000	NA	729000	9.67	92.2
1929	470000	254000	NA	724000	9.64	91.9
1930	484000	214000	NA	699000	8.72	85.1
1931	402000	137000	NA	540000	7.42	79.5
1932	313000	90500	NA	404000	6.2	73.8
1933	373000	105000	NA	478000	6.27	78.6
1934	387000	91400	NA	478000	7.22	87.8
1935	475000	114000	NA	589000	8.02	95.5
1936	580000	127000	NA	706000	8	93.8
1937	664000	133000	NA	797000	8.23	93.2
1938	540000	76400	NA	616000	8.92	103
1939	708000	104000	NA	812000	8.88	104
1940	756000	95800	NA	756000	9.25	108
1941	987000	77200	NA	987000	9.33	103
1942	859000	57400	1930	857000	9.36	93.6
1943	843000	50400	NA	894000	9.68	91.2
1944	792000	41600	NA	834000	10	92.7
1945	853000	52200	11300	894000	11	99.5
1946	1200000	81000	14400	1270000	11.7	97.7
1947	1290000	75000	17000	1350000	13.5	98.5
1948	1420000	90700	17300	1500000	14.1	95.3
1949	1280000	70100	19800	1330000	14.8	102
1950	1590000	112000	25600	1670000	15	101
1951	1690000	100000	33100	1760000	14.9	93.5
1952	1660000	94300	36600	1720000	15.3	94.3
1953	1710000	108000	39500	1780000	15.8	96.7
1954	1700000	122000	44600	1780000	16.5	99.8
1955	1970000	138000	45200	2060000	16.2	98.4
1956	2040000	131000	53600	2120000	16.8	101
1957	1980000	122000	49900	2050000	17.9	104
1958	2020000	122000	60400	2020000	18.1	102
1959	2300000	128000	76100	2300000	18.1	102
1960	2480000	115000	81400	2480000	18.4	102
1961	2490000	120000	101000	2490000	18.9	103
1962	2720000	102000	121000	2720000	19.7	106
1963	2870000	97300	101000	2770000	20.4	109
1964	3020000	106000	138000	2990000	20.8	109
1965	3270000	83200	175000	3180000	20.5	106
1966	3980000	106000	230000	3850000	19.7	99.2
1967	3600000	83500	292000	3400000	21.6	105
1968	3810000	68000	354000	3530000	23	107
1969	4300000	59000	434000	3920000	22.6	100
1970	4470000	59300	741000	3790000	23.8	99.9
1971	4430000	40500	611000	3860000	26.1	105
1972	4820000	23100	606000	4240000	26.3	102
1973	5440000	31000	664000	4800000	27.8	102
1974	5800000	17300	770000	5050000	33.2	110
1975	4840000	17400	798000	4060000	41.7	126
1976	5560000	21000	761000	4820000	46.9	134
1977	5890000	17800	864000	5040000	46.2	124
1978	6330000	11600	1070000	5270000	51.8	130
1979	7040000	28500	1440000	5630000	60.1	135
1980	7150000	14400	1260000	5900000	67	133
1981	6950000	12400	1280000	5680000	74.5	134
1982	5770000	8550	1180000	4600000	75.2	127
1983	6530000	6760	1210000	5330000	80.3	131
1984	7210000	9670	1290000	5940000	78.3	123
1985	7070000	8520	1250000	5830000	72.5	110
1986	7760000	9370	1440000	6330000	76.4	114
1987	8010000	9550	1840000	6180000	70.6	101
1988	8970000	7600	2140000	6840000	88	121
1989	8970000	3110	2340000	6640000	98.3	129
1990	9140000	3070	2830000	6320000	83.4	104
1991	9580000	3370	2860000	6720000	73.4	87.8
1992	8740000	4220	3000000	5740000	77.2	89.7
1993	8830000	7620	2980000	5850000	80.7	91
1994	8770000	10800	3180000	5600000	87.9	96.6
1995	9480000	12000	3240000	6250000	88.6	94.8
1996	9180000	13700	3240000	5950000	92.5	96.1
1997	9280000	30400	3380000	5930000	76.6	77.8
1998	9640000	52900	3550000	6140000	81.3	81.3
1999	9160000	57200	3310000	5910000	66.3	64.9
2000	8800000	62500	3690000	5170000	63.3	60
2001	8110000	114000	3440000	4780000	72.9	67.1
2002	8010000	158000	3350000	4820000	90.8	82.3
2003	7680000	224000	3520000	4380000	121	107
2004	7760000	205000	3640000	4320000	88.7	76.5
2005	7800000	262000	3580000	4480000	66.8	55.7
2006	7470000	303000	3540000	4230000	96.8	78.3
2007	7110000	194000	3300000	4000000	98.1	77.1
2008	6740000	194000	2960000	3970000	85.6	64.8
2009	5290000	281000	2290000	3280000	94.8	72
2010	5950000	510000	2470000	3990000	83.1	62.1
2011	5950000	549000	2490000	4010000	87.9	63.7
2012	5980000	472000	2450000	4000000	95.2	67.6
NA Not available. 						
1Compiled by D.A. Buckingham and R.L. Virta.						
Data are calculated, estimated, or reported.  See notes for more information.						
