MISCELLANEOUS CLAYS STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	182000	25200	NA	208000	1.69	33.1
1901	206000	33800	NA	240000	1.43	28
1902	238000	29000	NA	267000	1	18.9
1903	195000	32100	NA	227000	2.2	40
1904	178000	24300	NA	202000	1.17	21.3
1905	193000	29200	NA	222000	1.13	20.6
1906	289000	31900	NA	320000	1.06	19.3
1907	379000	30600	NA	410000	1.13	19.8
1908	330000	26400	NA	357000	1.06	19.3
1909	366000	29100	NA	395000	1.06	19.3
1910	369000	26700	NA	395000	1.03	18.1
1911	284000	24600	NA	308000	1.08	19
1912	453000	30200	NA	484000	1.09	18.5
1913	410000	40300	NA	450000	0.98	16.1
1914	410000	48400	NA	458000	0.96	15.7
1915	401000	22700	NA	423000	1	16.1
1916	406000	38700	25300	420000	1.08	16.1
1917	336000	24400	26500	334000	1.4	17.8
1918	286000	24600	22100	288000	1.65	17.8
1919	219000	22000	28100	213000	1.76	16.6
1920	300000	31700	59900	272000	1.7	13.9
1921	225000	37700	21600	241000	1.68	15.3
1922	480000	39200	19200	500000	1.55	15
1923	564000	60800	31600	593000	1.56	14.9
1924	706000	76100	28200	754000	1.62	15.4
1925	825000	47500	35400	837000	1.64	15.3
1926	471000	78800	38200	512000	2.47	22.7
1927	433000	46800	46500	433000	2.43	22.8
1928	479000	47900	55300	472000	3	28.6
1929	403000	55900	69700	389000	3.21	30.6
1930	549000	27100	67000	509000	1.48	14.4
1931	348000	21800	55700	314000	1.21	13
1932	138000	19400	53800	103000	1.7	20.2
1933	77000	24800	60000	42100	1.46	18.3
1934	124000	19000	76400	67000	1.53	18.6
1935	188000	29000	92100	125000	1.43	17
1936	356000	19200	82200	376000	1.93	22.6
1937	366000	16300	83000	382000	2.15	24.4
1938	354000	6320	69300	354000	2.44	28.2
1939	371000	5960	71800	371000	1.92	22.5
1940	645000	2060	79500	645000	1.76	20.5
1941	1100000	140	105000	1100000	1.28	14.2
1942	925000	153	68100	925000	1.27	12.7
1943	10200000	224	60000	10100000	0.74	6.97
