TOTAL CLAY STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) gross weight unless otherwise noted]						
Last modification: April 1, 2014						
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1900	1120000	155000	NA	1270000	2.37	46.5
1901	1250000	171000	NA	1420000	2.62	51.4
1902	1330000	185000	NA	1520000	2.26	42.6
1903	1510000	199000	NA	1710000	2.42	44
1904	1400000	183000	NA	1580000	2.31	42
1905	1660000	218000	NA	1880000	2.32	42.2
1906	1870000	256000	NA	2120000	2.41	43.8
1907	2010000	274000	NA	2290000	2.53	44.4
1908	1590000	202000	NA	1790000	2.39	43.5
1909	1990000	275000	NA	2260000	2.49	45.3
1910	2200000	295000	NA	2490000	2.38	41.8
1911	2020000	288000	NA	2310000	2.48	43.5
1912	2330000	321000	NA	2650000	2.4	40.7
1913	2440000	324000	NA	2760000	2.43	40
1914	2040000	384000	NA	2430000	2.74	44.7
1915	2190000	238000	NA	2430000	2.45	39.5
1916	2720000	286000	66900	2940000	2.65	39.6
1917	2890000	259000	75500	3070000	3.25	41.4
1918	2780000	193000	76700	2890000	3.63	39.2
1919	2160000	198000	62100	2300000	4.76	44.9
1920	2870000	383000	109000	3150000	5.35	43.6
1921	1680000	198000	43000	1840000	5.32	48.5
1922	2530000	337000	43300	2820000	4.86	47.1
1923	3250000	363000	80400	3540000	4.69	44.7
1924	3510000	409000	71700	3850000	4.52	43.1
1925	3840000	404000	81000	4170000	4.48	41.7
1926	3810000	452000	87600	4180000	4.96	45.7
1927	3730000	365000	101000	4000000	4.93	46.2
1928	3910000	343000	125000	4130000	4.88	46.5
1929	4230000	343000	158000	4410000	4.73	45.1
1930	3900000	265000	137000	4030000	4.45	43.4
1931	2550000	177000	104000	2620000	4.45	47.7
1932	1470000	119000	86700	1500000	4.79	57
1933	1870000	140000	103000	1910000	4.59	57.5
1934	2180000	123000	115000	2190000	4.64	56.4
1935	2860000	160000	145000	2870000	4.45	53
1936	3640000	178000	147000	3810000	4.6	53.9
1937	4050000	186000	160000	4160000	4.68	53
1938	2630000	103000	129000	2670000	5.24	60.6
1939	3560000	138000	152000	3690000	4.95	58
1940	4400000	127000	197000	4420000	4.49	52.3
1941	6550000	102000	198000	6570000	4.14	45.9
1942	6850000	75800	192000	6860000	3.9	39
1943	18900000	64900	155000	18800000	2.05	19.3
1944	15700000	60300	189000	15600000	2.27	21
1945	17200000	70100	187000	17100000	2.46	22.3
1946	27700000	106000	233000	27600000	2.14	17.9
1947	30500000	102000	288000	30300000	2.35	17.2
1948	34200000	123000	289000	34100000	2.41	16.3
1949	31900000	95300	233000	31800000	2.39	16.4
1950	35700000	146000	231000	35700000	2.59	17.5
1951	39400000	137000	325000	39200000	3.14	19.7
1952	37800000	130000	299000	37700000	3.34	20.5
1953	38500000	135000	291000	38300000	3.14	19.2
1954	38600000	149000	308000	38400000	3.06	18.5
1955	43600000	175000	385000	43400000	3.03	18.4
1956	46100000	160000	463000	45800000	3.35	20.1
1957	41400000	147000	507000	41100000	3.53	20.5
1958	39700000	169000	222000	39600000	3.58	20.2
1959	44800000	150000	504000	44400000	3.35	18.8
1960	44500000	134000	553000	44100000	3.42	18.8
1961	43000000	131000	558000	42600000	3.41	18.6
1962	43400000	116000	628000	42900000	3.48	18.8
1963	45500000	112000	671000	44800000	3.56	19
1964	48000000	121000	769000	47400000	3.59	18.9
1965	50000000	97100	771000	49300000	3.68	19
1966	51500000	122000	721000	50900000	4	20.1
1967	49600000	95600	1040000	48600000	3.98	19.4
1968	52000000	84000	1380000	50700000	4.03	18.9
1969	53200000	70700	1430000	51900000	4.24	18.8
1970	50200000	78500	1880000	48300000	4.22	17.7
1971	51700000	58100	1790000	50000000	4.24	17.1
1972	54300000	60500	1680000	52600000	4.53	17.7
1973	58800000	47800	1900000	56900000	4.86	17.8
1974	55400000	38800	2220000	53200000	5.85	19.3
1975	44800000	34500	2100000	42700000	7.17	21.7
