COAL COMBUSTION PRODUCTS STATISTICS1												
U.S. GEOLOGICAL SURVEY												
[All values in metric tons gross weight]												
Last modification: April 1, 2014												
Year	Fly ash production	Fly ash used	Bottom ash production	Bottom ash used	Boiler slag production	Boiler slag used	FGD material production	FGD material used	FBC ash production	FBC ash used	Total CCP production	Total CCP apparent consumption
1966	15500000	1270000	7350000	1540000	NA	NA	NA	NA	NA	NA	22900000	2810000
1967	16700000	1270000	8260000	2090000	NA	NA	NA	NA	NA	NA	24900000	3360000
1968	18000000	1720000	6620000	1630000	2360000	1360000	NA	NA	NA	NA	26900000	4720000
1969	19100000	1720000	6890000	1810000	2630000	907000	NA	NA	NA	NA	28700000	4450000
1970	24000000	2000000	8980000	1630000	2540000	998000	NA	NA	NA	NA	35600000	4630000
1971	25200000	2990000	9160000	1450000	4540000	3360000	NA	NA	NA	NA	38900000	7800000
1972	28800000	3270000	9710000	2360000	3450000	1180000	NA	NA	NA	NA	42000000	6800000
1973	31400000	3540000	9710000	2090000	3630000	1630000	NA	NA	NA	NA	44700000	7260000
1974	36700000	3080000	13000000	2630000	4350000	2180000	NA	NA	NA	NA	54000000	7890000
1975	38400000	4080000	11900000	3180000	4170000	1630000	NA	NA	NA	NA	54400000	8890000
1976	38800000	5170000	13000000	4080000	4350000	2000000	NA	NA	NA	NA	56200000	11200000
1977	44000000	5720000	12800000	4170000	4720000	2810000	NA	NA	NA	NA	61500000	12700000
1978	43800000	7620000	13300000	4540000	4640000	2720000	NA	NA	NA	NA	61800000	14900000
1979	52200000	9070000	11300000	2990000	4720000	2180000	NA	NA	NA	NA	68200000	14200000
1980	43800000	5820000	13100000	3860000	3300000	1590000	NA	NA	NA	NA	60200000	11300000
1981	45600000	8540000	11700000	3690000	4700000	2660000	NA	NA	NA	NA	62000000	14900000
1982	43500000	7210000	11900000	3290000	3960000	1790000	NA	NA	NA	NA	59300000	12300000
1983	42800000	6820000	11500000	2500000	3570000	2300000	NA	NA	NA	NA	57900000	11600000
1984	46600000	9460000	12400000	2690000	3820000	2400000	NA	NA	NA	NA	62700000	14600000
1985	43800000	10300000	11900000	3720000	3310000	2160000	NA	NA	NA	NA	59100000	16200000
1986	44700000	7960000	12200000	3250000	3750000	1950000	NA	NA	NA	NA	60600000	13200000
1987	45500000	10000000	13400000	4330000	3740000	2210000	12900000	925000	NA	NA	75400000	17500000
1988	46200000	10300000	12900000	4930000	4560000	2570000	12300000	844000	NA	NA	76000000	18600000
1989	48400000	9210000	12900000	4400000	3870000	2290000	14200000	103000	NA	NA	79300000	16000000
1990	44400000	11300000	12400000	4860000	4740000	2950000	17200000	196000	NA	NA	78700000	19300000
1991	46500000	12000000	12100000	4540000	5490000	3270000	16400000	318000	NA	NA	80500000	20100000
1992	43600000	11900000	12600000	3510000	3730000	2810000	14400000	260000	NA	NA	74400000	18500000
1993	43400000	9540000	12900000	3840000	5660000	3110000	18500000	1050000	NA	NA	80400000	17500000
1994	49800000	11700000	13500000	4610000	3440000	2830000	14100000	850000	NA	NA	80800000	20000000
1995	49200000	12300000	13800000	4600000	2550000	2440000	18300000	1340000	NA	NA	83700000	20700000
1996	53900000	14700000	14600000	4430000	2360000	2170000	21700000	1500000	NA	NA	92400000	22800000
1997	54700000	17500000	15400000	4600000	2490000	2340000	22800000	1980000	NA	NA	95400000	26500000
1998	57200000	19200000	15200000	4760000	2710000	2170000	22700000	2260000	NA	NA	97800000	28400000
1999	56900000	18900000	15300000	4930000	2620000	2150000	22300000	4030000	NA	NA	97100000	30000000
2000	57100000	17600000	15400000	4460000	2430000	2120000	23300000	4380000	NA	NA	98200000	28600000
2001	61800000	20000000	17000000	5180000	2300000	1650000	25800000	6880000	NA	NA	107000000	33700000
2002	69400000	24200000	18000000	6980000	1740000	1400000	26500000	7890000	1130000	865000	117000000	41300000
2003	63700000	24600000	16400000	7490000	1670000	1590000	28000000	8150000	723000	239000	110000000	42100000
2004	64200000	25500000	15600000	7400000	2000000	1790000	28500000	9450000	787000	429000	111000000	44500000
2005	64500000	26400000	16000000	6840000	1780000	1720000	28200000	9180000	1240000	857000	112000000	45000000
2006	65700000	29400000	16900000	7600000	1840000	1530000	27400000	9650000	1430000	978000	113000000	49200000
2007	65000000	28700000	16400000	6630000	1880000	1510000	30100000	9350000	5530000	5570000	119000000	51800000
2008	65700000	27300000	16700000	7330000	1840000	1530000	30500000	10700000	8610000	8040000	123000000	55000000
2009	57200000	22400000	15100000	6350000	1970000	1660000	28300000	9380000	11400000	10700000	114000000	50500000
2010	61400000	23300000	16100000	6840000	2120000	1290000	29100000	10800000	9310000	7920000	118000000	50200000
2011	54300000	20800000	15000000	5520000	1820000	1250000	34900000	12500000	12000000	11300000	118000000	51300000
2012	47300000	23200000	12800000	4970000	1560000	1300000	29000000	11700000	8930000	8090000	99600000	47100000
NA Not available. 												
1Compiled by T.D. Kelly (retired), D.E. Sullivan (retired), and H. van Oss from annual survey data published by the American Coal Ash Association.												
Data are calculated, estimated, or reported.  See notes for more information.												
