COBALT STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) cobalt content unless otherwise noted]
Last modification: November 6, 2018
Year	Primary production	Secondary production	Mine shipments	Government shipments	Imports	Exports	Stocks	Reported consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World mine production	World refinery production
1900	NA	NA	NA	0	20	NA	NA	NA	20	4930	97000	NA	NA
1901	NA	NA	NA	0	20	NA	NA	NA	20	5590	110000	180	NA
1902	NA	NA	NA	0	30	NA	NA	NA	30	5600	106000	540	NA
1903	NA	NA	NA	0	20	NA	NA	NA	20	6050	110000	640	NA
1904	NA	NA	NA	0	10	NA	NA	NA	10	6210	113000	540	NA
1905	NA	NA	NA	0	20	NA	NA	NA	20	6060	110000	450	NA
1906	NA	NA	NA	0	10	NA	NA	NA	10	5940	108000	450	NA
1907	NA	NA	NA	0	20	NA	NA	NA	20	4680	82000	910	NA
1908	NA	NA	NA	0	70	NA	NA	NA	70	230	4300	1360	NA
1909	NA	NA	NA	0	5	NA	NA	NA	5	2920	53000	1450	NA
1910	0	NA	NA	0	5	NA	NA	NA	5	1270	22000	1000	NA
1911	0	NA	NA	0	200	NA	NA	NA	200	300	5200	820	NA
1912	0	NA	NA	0	260	NA	NA	NA	260	320	5400	860	NA
1913	0	NA	NA	0	70	NA	NA	NA	70	1390	22800	820	NA
1914	0	NA	NA	0	110	NA	NA	NA	110	2470	40300	360	NA
1915	0	NA	NA	0	70	NA	NA	NA	70	3180	51200	230	NA
1916	0	NA	NA	0	110	NA	NA	NA	110	3220	48200	410	NA
1917	0	NA	NA	0	170	NA	NA	NA	170	3890	49500	360	NA
1918	NA	NA	NA	0	240	NA	NA	NA	240	3900	42400	450	NA
1919	NA	NA	NA	0	70	NA	NA	NA	70	4770	44900	360	NA
1920	NA	NA	NA	0	120	NA	NA	NA	120	6150	50100	360	NA
1921	NA	NA	NA	0	70	NA	NA	NA	70	6450	58700	180	NA
1922	NA	NA	NA	0	120	NA	NA	NA	120	6590	63900	820	NA
1923	0	NA	NA	0	193	NA	NA	NA	193	5950	56700	640	NA
1924	0	NA	NA	0	128	NA	NA	NA	128	5810	55400	1090	NA
1925	0	NA	NA	0	185	NA	NA	NA	185	5450	50700	1090	NA
1926	0	NA	NA	0	291	NA	NA	NA	291	5260	48400	820	NA
1927	0	NA	NA	0	308	NA	NA	NA	308	5120	48000	1180	NA
1928	0	NA	NA	0	371	NA	NA	NA	371	5140	48700	1180	NA
1929	0	NA	NA	0	550	NA	NA	NA	550	4940	46800	1360	NA
1930	0	NA	NA	0	360	NA	NA	NA	360	4990	48700	1270	NA
1931	NA	NA	NA	0	186	NA	NA	NA	186	3620	38800	910	NA
1932	0	NA	NA	0	137	NA	NA	NA	137	3000	36000	1090	NA
1933	NA	NA	NA	0	349	NA	NA	NA	349	2550	32200	1270	NA
1934	NA	NA	NA	0	454	NA	NA	NA	454	2350	28600	1450	NA
1935	NA	NA	NA	0	529	NA	NA	NA	529	2530	30100	2000	NA
1936	NA	NA	NA	0	717	NA	NA	NA	717	2780	32600	2720	NA
1937	NA	NA	NA	0	787	NA	NA	NA	787	3140	35500	3800	NA
1938	NA	NA	NA	0	567	NA	NA	NA	567	3030	35000	4500	NA
1939	NA	NA	NA	0	1210	NA	NA	NA	1210	3100	36400	4500	NA
1940	40	NA	40	NA	1910	NA	NA	NA	1940	2620	30600	5000	NA
1941	150	NA	150	NA	2120	20	NA	NA	2250	2600	28800	4000	NA
1942	210	NA	190	NA	1940	40	NA	NA	2100	2220	22200	3500	NA
1943	210	20	220	NA	2050	160	NA	1780	2140	2920	27500	4200	NA
1944	240	21	160	NA	1710	180	NA	1810	1710	4200	38900	3900	NA
1945	320	14	380	NA	2090	10	NA	1680	2470	3660	33100	4700	NA
1946	150	4	150	NA	1570	5	NA	1860	1710	3400	28400	3500	NA
1947	187	2	198	NA	3720	0	NA	1880	3920	2920	21400	5000	NA
1948	198	9	170	NA	4000	1	852	2280	3330	3040	20600	6100	NA
1949	150	7	197	NA	3380	10	621	2130	3810	3550	24300	5900	NA
1950	232	57	193	NA	4130	10	NA	3760	4990	3670	24800	7170	NA
1951	267	406	221	NA	4690	5	438	4510	4870	4420	27700	8440	NA
1952	438	621	254	NA	6820	25	491	4910	7620	5000	30700	10100	NA
1953	398	699	577	NA	7820	20	545	4880	9020	5070	30800	11300	NA
1954	652	358	733	NA	7650	140	538	3330	8610	5470	33200	13100	NA
1955	842	233	787	NA	8500	170	589	4420	9300	5460	33200	13300	NA
1956	1150	179	1200	NA	7070	140	564	4340	8330	5570	33400	14400	NA
1957	1500	165	1490	NA	7880	70	443	4150	9590	4410	25600	14400	NA
1958	1820	161	1820	NA	6870	80	396	3420	8820	4360	24600	12600	NA
1959	1060	118	1050	NA	9640	30	636	4490	10500	3930	22000	14800	NA
1960	W	109	W	NA	5520	80	842	4050	5340	3390	18700	14200	NA
1961	W	81	W	NA	4760	90	820	4350	4770	3280	17900	14400	NA
1962	W	94	NA	NA	5640	90	671	5110	5790	3210	17300	17100	NA
1963	W	112	NA	NA	4770	90	498	4780	4970	3180	16900	14500	NA
1964	492	67	NA	332	5640	49	644	4830	6340	3190	16800	17800	NA
1965	538	39	NA	1	6990	53	1630	6170	6520	3480	18000	19000	NA
1966	551	22	NA	346	8540	45	2900	6440	8140	3420	17200	21800	NA
1967	530	54	NA	2810	3730	91	2970	6340	6960	4370	21300	20500	NA
1968	533	65	NA	2250	4110	644	2670	5900	6620	4500	21100	19600	17100
1969	455	149	NA	2720	5860	679	2330	7080	8850	4070	18100	20200	18000
1970	316	31	NA	2340	5630	670	2600	6060	7380	4880	20500	24200	21300
1971	313	57	NA	763	4950	166	2370	5670	6140	4810	19400	25100	22400
1972	0	89	NA	2700	6310	586	2060	6410	8830	5230	20400	24800	20300
1973	0	120	0	3890	8730	634	4170	8500	9990	6480	23800	29400	23100
1974	0	122	0	4050	7310	611	4290	8560	10700	7520	24900	30900	24800
1975	0	155	0	2880	3000	802	3150	5800	6380	9280	28100	30800	20800
1976	0	149	0	3040	7480	794	4020	7480	9000	9410	27000	21400	18800
1977	0	230	0	67	7960	404	3570	7520	8310	11900	32100	21500	20800
1978	0	470	0	0	8630	702	2730	9070	9240	22000	54900	26800	24700
1979	0	531	0	0	9070	329	3470	7890	8530	53300	120000	29900	28500
1980	0	537	0	0	7390	264	3400	6950	7740	51600	102000	31300	30200
1981	0	441	0	-1060	7070	378	3800	5300	5680	36900	66100	30700	25800
1982	0	395	0	-1300	5840	270	3390	4290	5070	25300	42700	24600	19300
1983	0	328	0	-120	7810	374	4050	5130	6980	14900	24300	37900	18100
1984	0	399	0	-2450	11500	304	5110	5870	8060	19000	29800	40900	23700
1985	0	408	0	-721	8030	292	5480	5620	7060	23800	36100	47400	27500
1986	0	1200	0	0	5570	454	4060	6480	7740	16200	24100	50200	31400
1987	0	1030	0	0	8830	366	5560	6670	7990	14700	21100	41200	28000
1988	0	1020	0	0	7050	543	5260	7230	7830	16200	22300	43800	26400
1989	0	1180	0	0	5790	889	4550	7030	6800	17300	22700	42900	26400
1990	0	1230	0	-108	6530	1340	3220	7560	7640	18200	22700	42300	27300
1991	0	1580	0	0	6920	1540	2400	7220	7790	25100	30100	33300	25200
1992	0	1620	0	0	5760	1420	1760	6400	6590	47400	55100	28000	21500
