COPPER STATISTICS1												
U.S. GEOLOGICAL SURVEY												
[All values are in metric tons (t) copper content unless otherwise noted]												
Last modification: April 1, 2014												
Year	Primary production	Secondary production	New scrap	Refinery scrap	Imports	Exports	Stocks	Consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	291000	NA	NA	NA	28000	154000	76000	166000	166000	357	7000	495000
1901	302000	NA	NA	NA	32000	88000	128000	118000	194000	355	7000	526000
1902	317000	NA	NA	NA	51000	161000	71000	265000	264000	256	4800	555000
1903	331000	NA	NA	NA	60000	141000	80000	241000	241000	291	5300	596000
1904	404000	NA	NA	NA	65000	257000	43000	248000	249000	282	5100	660000
1905	426000	NA	NA	NA	73000	243000	33000	266000	266000	344	6300	713000
1906	489000	12000	11000	7000	13000	203000	21000	318000	323000	425	7700	724000
1907	468000	14000	13000	11000	87000	211000	57000	320000	322000	441	7700	721000
1908	516000	6000	5000	4000	72000	300000	55000	294000	296000	291	5300	744000
1909	631000	36000	4000	7000	110000	310000	64000	428000	458000	289	5300	828000
1910	645000	59000	27000	14000	118000	319000	56000	466000	511000	284	5000	858000
1911	650000	69000	28000	13000	121000	357000	40000	443000	499000	277	4900	890000
1912	711000	97000	28000	13000	139000	352000	48000	504000	587000	363	6200	1000000
1913	733000	83000	41000	17000	136000	371000	41000	521000	588000	342	5630	996000
1914	696000	71000	36000	48000	91000	381000	79000	416000	439000	293	4760	938000
1915	741000	110000	68000	76000	91000	309000	37000	641000	675000	385	6180	1060000
1916	1030000	159000	159000	115000	4000	325000	58000	797000	847000	627	9360	1420000
1917	1100000	177000	171000	116000	3000	468000	52000	760000	818000	644	8190	1430000
1918	1100000	160000	160000	80000	17000	313000	111000	877000	905000	544	5890	1430000
1919	803000	138000	122000	76000	16000	199000	297000	666000	572000	401	3780	994000
1920	692000	153000	130000	88000	49000	250000	299000	375000	642000	386	3140	959000
1921	431000	120000	77000	138000	31000	270000	214000	269000	397000	279	2540	558000
1922	569000	184000	121000	103000	47000	296000	103000	514000	615000	299	2900	884000
1923	898000	246000	127000	128000	58000	331000	120000	878000	854000	325	3100	1270000
1924	1030000	241000	111000	128000	66000	458000	110000	740000	889000	293	2790	1360000
1925	1000000	264000	117000	167000	45000	439000	56000	782000	924000	315	2920	1530000
1926	1050000	306000	129000	182000	77000	388000	66000	968000	1040000	310	2840	1510000
1927	1060000	308000	137000	182000	47000	418000	78000	854000	985000	288	2690	1520000
1928	1130000	332000	155000	209000	38000	431000	52000	971000	1100000	327	3110	1730000
1929	1240000	367000	202000	270000	61000	373000	139000	1110000	1210000	405	3850	1950000
1930	978000	310000	113000	222000	39000	269000	279000	830000	918000	292	2860	1610000
1931	681000	237000	78000	171000	79000	184000	419000	607000	673000	185	1980	1400000
1932	309000	164000	61000	127000	76000	101000	455000	376000	412000	128	1520	909000
1933	336000	236000	71000	175000	5000	113000	369000	490000	550000	160	2020	1050000
1934	404000	282000	60000	200000	25000	238000	435000	502000	407000	191	2330	1280000
1935	534000	328000	79000	245000	16000	237000	330000	658000	746000	196	2330	1500000
1936	746000	347000	92000	237000	4000	200000	230000	845000	997000	214	2520	1720000
1937	968000	371000	112000	259000	7000	268000	306000	903000	1000000	295	3350	2290000
1938	719000	242000	84000	175000	2000	336000	292000	557000	641000	225	2610	1990000
1939	916000	260000	193000	137000	15000	338000	192000	807000	953000	247	2900	2130000
1940	1190000	303000	180000	155000	62000	323000	172000	1090000	1250000	254	2960	2400000
1941	1270000	374000	285000	116000	315000	94000	72000	1620000	1970000	265	2930	2480000
1942	1280000	387000	454000	101000	364000	119000	226000	1620000	1760000	265	2650	2590000
1943	1250000	388000	597000	120000	365000	160000	315000	1590000	1750000	265	2500	2620000
1944	1110000	414000	448000	87000	447000	62000	489000	1570000	1740000	265	2450	2460000
1945	1010000	451000	462000	92000	482000	44000	740000	1250000	1650000	265	2410	2110000
1946	797000	369000	360000	106000	140000	48000	284000	1030000	1710000	310	2580	1780000
1947	1050000	457000	416000	253000	136000	134000	181000	1330000	1610000	469	3420	2130000
1948	1010000	459000	424000	233000	226000	129000	136000	1290000	1610000	492	3320	2210000
1949	842000	348000	299000	207000	251000	125000	119000	1030000	1330000	430	2940	2140000
1950	1130000	440000	446000	187000	292000	131000	508000	1290000	1340000	476	3210	2380000
1951	1100000	416000	430000	141000	220000	121000	575000	1290000	1550000	540	3400	2490000
1952	1070000	376000	443000	130000	315000	158000	561000	1340000	1620000	540	3310	2570000
1953	1170000	390000	480000	191000	249000	99000	709000	1360000	1560000	640	3910	2600000
1954	1100000	369000	393000	187000	195000	196000	854000	1140000	1320000	660	4000	2640000
1955	1220000	467000	430000	214000	184000	181000	895000	1360000	1630000	827	5040	2900000
1956	1310000	425000	419000	237000	174000	202000	1010000	1380000	1640000	926	5540	3200000
1957	1320000	403000	361000	215000	147000	314000	1110000	1230000	1450000	665	3840	3300000
1958	1230000	373000	350000	188000	113000	349000	1170000	1140000	1310000	580	3280	3190000
1959	996000	429000	417000	227000	215000	144000	1120000	1330000	1550000	683	3820	3430000
1960	1380000	390000	401000	265000	155000	394000	1200000	1230000	1450000	713	3920	3940000
1961	1410000	373000	397000	256000	79000	392000	1160000	1330000	1520000	668	3630	4090000
1962	1460000	377000	459000	263000	118000	305000	1170000	1450000	1640000	683	3670	4220000
1963	1450000	383000	501000	365000	111000	283000	1120000	1580000	1710000	683	3640	4290000
1964	1500000	430000	562000	318000	103000	287000	1080000	1660000	1780000	713	3750	4450000
1965	1550000	466000	671000	404000	94000	295000	915000	1820000	1980000	780	4020	4660000
1966	1550000	485000	725000	446000	71000	248000	559000	2140000	2220000	794	3990	4580000
1967	1030000	438000	614000	369000	301000	145000	346000	1760000	1840000	840	4100	4630000
1968	1300000	472000	633000	378000	366000	218000	361000	1710000	1910000	908	4260	5010000
1969	1580000	522000	726000	453000	119000	182000	342000	1940000	2060000	1050	4650	5520000
1970	1600000	457000	675000	464000	120000	201000	501000	1850000	1820000	1280	5380	5900000
1971	1440000	404000	685000	363000	147000	170000	441000	1830000	1890000	1150	4620	5940000
1972	1700000	416000	765000	384000	157000	166000	407000	2030000	2140000	1130	4420	6540000
1973	1700000	441000	808000	422000	187000	172000	335000	2210000	2220000	1310	4810	6920000
1974	1500000	439000	781000	451000	276000	115000	300000	1990000	2150000	1700	5630	7100000
1975	1310000	335000	547000	308000	129000	156000	444000	1390000	1470000	1410	4290	6740000
1976	1400000	380000	659000	340000	346000	102000	541000	1810000	1920000	1530	4390	7260000
1977	1360000	410000	675000	350000	361000	42000	543000	1980000	2070000	1470	3960	7420000
1978	1450000	502000	746000	420000	403000	83000	435000	2190000	2370000	1450	3630	7280000
1979	1520000	604000	948000	498000	204000	74000	252000	2160000	2430000	2030	4570	7350000
1980	1220000	613000	824000	515000	427000	14000	314000	1860000	2180000	2230	4420	7200000
1981	1540000	592000	816000	483000	331000	24000	485000	2030000	2270000	1860	3330	7690000
1982	1230000	518000	670000	468000	258000	31000	695000	1660000	1760000	1610	2710	7580000
1983	1210000	449000	634000	402000	460000	81000	692000	1800000	2010000	1690	2760	7610000
