DIATOMITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: October 9, 2018
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	3280	NA	NA	NA	3280	7	130	NA
1901	3650	NA	NA	NA	3650	13	260	NA
1902	5140	NA	NA	NA	5140	9	180	NA
1903	8360	NA	NA	NA	8360	8	150	NA
1904	5690	NA	NA	NA	5690	7	130	NA
1905	9960	NA	NA	NA	9960	6	110	NA
1906	7350	NA	NA	NA	7350	9	160	NA
1907	13400	NA	NA	NA	13400	7	120	NA
1908	W	NA	NA	NA	15200	7	120	NA
1909	16900	NA	NA	NA	16900	7	120	NA
1910	W	NA	NA	NA	15800	8	140	NA
1911	14600	NA	NA	NA	14600	9	160	NA
1912	15200	NA	NA	NA	15200	8	130	NA
1913	5970	NA	NA	NA	5970	11	173	8050
1914	9990	NA	NA	NA	9990	10	162	10100
1915	4170	NA	NA	NA	4170	8	135	2810
1916	2470	NA	NA	NA	2470	10	145	2710
1917	2750	NA	NA	NA	2750	10	131	3660
1918	2690	NA	NA	NA	2690	8	91	2850
1919	38700	NA	NA	NA	38700	13	118	72500
1920	56200	NA	NA	NA	56200	17	142	103000
1921	50000	NA	NA	NA	50000	12	113	89100
1922	40600	NA	NA	NA	40600	9	84	60800
1923	59700	NA	NA	NA	59700	11	102	87500
1924	57300	NA	NA	NA	57300	11	105	82500
1925	66300	NA	NA	NA	66300	13	117	87400
1926	79000	NA	NA	NA	79000	12	114	95000
1927	86600	NA	NA	NA	86600	15	137	NA
1928	86600	NA	NA	NA	86600	15	139	NA
1929	86600	NA	NA	NA	86600	15	139	NA
1930	75100	NA	NA	NA	75100	16	154	NA
1931	75100	NA	NA	NA	75100	16	168	NA
1932	75100	NA	NA	NA	75100	16	188	NA
1933	73900	NA	NA	NA	73900	15	186	NA
1934	73900	NA	NA	NA	73900	15	180	NA
1935	73900	NA	NA	NA	73900	15	176	NA
1936	84600	NA	NA	NA	84600	16	184	NA
1937	84600	NA	NA	NA	84600	16	178	NA
1938	84600	NA	NA	NA	84600	16	181	NA
1939	109000	NA	NA	NA	109000	16	187	NA
1940	109000	NA	NA	NA	109000	16	185	NA
1941	109000	NA	NA	NA	109000	16	177	NA
1942	159000	NA	NA	NA	159000	19	189	NA
1943	159000	NA	NA	NA	159000	19	178	NA
1944	159000	NA	NA	NA	159000	19	175	NA
1945	194000	NA	NA	NA	194000	20	183	NA
1946	194000	W	W	NA	194000	20	168	NA
1947	194000	W	W	NA	194000	20	147	NA
1948	219000	W	W	NA	219000	26	173	435000
1949	219000	W	W	NA	219000	26	175	435000
1950	219000	W	W	NA	219000	26	173	517000
1951	275000	W	W	W	275000	30	188	581000
1952	275000	W	W	W	275000	30	184	599000
1953	275000	W	W	W	275000	30	183	576000
1954	351000	W	W	W	351000	31	187	658000
1955	351000	W	W	W	351000	42	253	694000
1956	351000	W	W	W	351000	44	263	689000
1957	408000	W	W	W	408000	43	251	853000
1958	408000	W	54400	W	354000	46	260	1220000
1959	408000	W	64400	W	344000	48	266	1340000
1960	437000	W	83500	W	354000	50	272	1410000
1961	437000	W	86200	W	351000	51	276	1490000
1962	437000	W	98900	W	339000	50	270	1510000
1963	526000	W	102000	W	425000	51	270	1380000
1964	526000	519	116000	W	411000	51	266	1450000
1965	526000	160	103000	W	423000	50	258	1490000
1966	569000	0	131000	50	438000	52	263	1520000
1967	569000	140	134000	50	435000	53	257	1570000
1968	569000	120	149000	33	420000	58	272	1620000
1969	543000	43	160000	37	383000	61	271	1600000
1970	542000	439	140000	37	403000	55	229	1590000
1971	486000	120	129000	37	357000	64	259	1550000
1972	523000	57	134000	38	388000	65	254	1570000
1973	552000	149	161000	36	391000	59	217	1630000
1974	603000	3350	169000	36	437000	76	252	1710000
1975	520000	3480	133000	36	390000	80	242	1670000
1976	572000	4680	135000	36	442000	87	249	1430000
1977	588000	591	138000	36	451000	99	265	1470000
1978	591000	181	139000	36	452000	111	278	1460000
1979	650000	479	154000	36	496000	126	283	1510000
1980	625000	268	157000	36	468000	146	289	1520000
1981	623000	349	147000	36	476000	165	295	1690000
1982	556000	229	128000	36	428000	176	297	1720000
1983	562000	314	132000	36	429000	185	302	1700000
1984	569000	307	115000	36	454000	193	302	1750000
1985	576000	4490	109000	36	472000	200	303	1840000
1986	570000	711	119000	36	452000	204	304	1840000
1987	596000	6030	126000	36	477000	225	323	1610000
1988	629000	2720	147000	36	484000	229	315	1670000
1989	617000	838	137000	36	481000	222	291	1660000
1990	631000	689	144000	36	488000	219	273	1680000
1991	610000	436	152000	36	458000	229	275	1600000
1992	595000	0	163000	36	432000	237	275	1350000
1993	599000	0	165000	36	456000	251	283	1390000
1994	613000	379	157000	36	456000	248	273	2020000
1995	722000	259	144000	36	578000	238	255	1990000
1996	729000	1550	143000	36	588000	242	252	1990000
1997	773000	2040	140000	36	635000	244	248	1970000
1998	725000	816	138000	36	588000	248	248	1930000
1999	747000	387	123000	36	625000	238	233	1960000
2000	677000	529	131000	36	547000	256	242	1890000
2001	644000	1990	148000	36	546000	270	249	1930000
2002	624000	528	128000	36	497000	255	231	1920000
2003	599000	780	136000	36	464000	265	235	1910000
2004	620000	2415	143000	36	479000	285	246	1930000
2005	653000	4315	142000	36	515000	274	228	2010000
2006	799000	6798	150000	36	656000	220	177	2150000
2007	687000	3570	143000	40	548000	237	186	1910000
2008	764000	2890	151000	40	616000	220	170	2210000
2009	575000	1300	88000	40	488000	260	200	1860000
2010	595000	1030	86000	40	510000	300	220	1900000
2011	813000	1880	106000	40	709000	270	200	2350000
2012	735000	3070	96000	40	642000	290	210	2890000
2013	782000	1000	92000	40	691000	290	200	2940000
2014	901000	4000	82000	40	823000	300	210	3470000
2015	832000	7000	74000	40	765000	290	200	3350000
2016	686000	8000	66000	N/A	628000	280	190	2800000
2017	768000	9000	87000	N/A	690000	360	240	2460000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly, T.P. Dolley, and R.D. Crangle, Jr.
Data are calculated, estimated, or reported.  See notes for more information.
