FELDSPAR STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: October 16, 2018
Year	Production	Shipments	Imports	Imports     (nepheline syenite)	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	1620	NA	NA	NA	NA	NA	1620	4	88	NA
1901	9040	NA	NA	NA	NA	NA	9040	2	47	NA
1902	19800	NA	NA	NA	NA	NA	19800	3	53	NA
1903	12200	NA	NA	NA	NA	NA	12200	4	76	NA
1904	17600	NA	NA	NA	NA	NA	17600	4	69	NA
1905	13200	NA	NA	NA	NA	NA	13200	4	80	NA
1906	36300	NA	NA	NA	NA	NA	36300	4	67	NA
1907	28200	NA	NA	NA	NA	NA	28200	4	63	NA
1908	17100	NA	NA	NA	NA	NA	17100	4	70	155000
1909	23100	NA	NA	NA	NA	NA	23100	3	55	168000
1910	22400	NA	NA	NA	NA	NA	22400	4	64	179000
1911	25500	NA	NA	NA	NA	NA	25500	3	61	210000
1912	24000	NA	NA	NA	NA	NA	24000	4	63	206000
1913	41200	NA	NA	NA	NA	NA	41200	4	59	156000
1914	77900	NA	NA	NA	NA	NA	77900	3	55	193000
1915	95400	NA	NA	NA	NA	NA	95400	4	57	155000
1916	120000	NA	NA	NA	NA	NA	120000	3	50	168000
1917	129000	NA	NA	NA	NA	NA	129000	4	47	174000
1918	89900	NA	NA	NA	NA	NA	89900	5	52	136000
1919	64500	NA	NA	NA	NA	NA	64500	5	51	108000
1920	138000	NA	NA	NA	NA	NA	138000	6	50	207000
1921	93300	NA	NA	NA	NA	NA	93300	7	60	167000
1922	119000	115000	7710	NA	NA	NA	127000	7	69	208000
1923	147000	161000	24700	NA	NA	NA	172000	7	68	250000
1924	208000	172000	35700	NA	NA	NA	244000	7	69	362000
1925	189000	193000	25400	NA	NA	NA	214000	7	65	314000
1926	213000	204000	30500	NA	NA	NA	244000	8	69	345000
1927	206000	203000	27900	NA	NA	NA	234000	7	65	340000
1928	214000	207000	28400	NA	NA	NA	242000	7	63	366000
1929	201000	209000	30400	NA	NA	NA	231000	6	61	331000
1930	175000	165000	21400	NA	NA	NA	196000	6	60	284000
1931	149000	131000	11000	NA	NA	NA	160000	6	62	239000
1932	106000	98000	1930	NA	NA	NA	108000	5	61	189000
1933	153000	121000	3320	NA	NA	NA	156000	5	64	258000
1934	157000	131000	9900	NA	NA	NA	167000	5	66	280000
1935	193000	182000	9080	NA	NA	NA	202000	5	62	316000
1936	249000	202000	11100	NA	NA	NA	260000	5	62	381000
1937	273000	239000	13200	NA	NA	NA	286000	5	58	426000
1938	199000	195000	7770	NA	NA	NA	207000	4	52	320000
1939	258000	235000	7580	NA	NA	NA	265000	4	51	390000
1940	295000	259000	12700	NA	NA	NA	308000	4	50	400000
1941	344000	322000	11400	NA	NA	NA	356000	4	49	475000
1942	321000	297000	9680	NA	NA	NA	331000	5	48	440000
1943	313000	305000	11000	NA	NA	NA	324000	5	50	440000
1944	333000	311000	11900	NA	NA	NA	345000	5	51	465000
1945	379000	346000	15200	NA	NA	NA	394000	5	49	500000
1946	517000	427000	16600	NA	2560	NA	533000	5	42	675000
1947	467000	438000	17000	NA	1590	NA	484000	5	38	700000
1948	468000	459000	31500	NA	1300	NA	500000	5	37	770000
1949	375000	351000	16100	NA	3840	NA	391000	6	42	660000
1950	414000	405000	12600	NA	3690	NA	427000	6	42	721000
1951	407000	412000	17400	NA	2180	NA	424000	7	44	793000
1952	428000	416000	5670	NA	3110	NA	433000	9	53	803000
1953	460000	421000	6100	NA	2710	NA	466000	10	61	793000
