IRON OXIDE PIGMENTS STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	38700	4980	NA	44000	17	330	NA
1901	30600	5100	NA	36000	21	410	NA
1902	32900	6100	NA	39000	23	430	NA
1903	34700	6310	NA	41000	16	290	NA
1904	40100	5900	NA	46000	14	250	NA
1905	37300	6790	NA	44000	14	250	NA
1906	40300	7410	NA	48000	14	250	NA
1907	40300	7980	NA	48000	15	260	NA
1908	41100	6090	NA	47000	13	230	NA
1909	31300	8720	NA	40000	18	330	NA
1910	38200	8660	NA	47000	16	280	NA
1911	34800	7830	NA	43000	16	280	NA
1912	40300	10900	NA	51000	15	250	NA
1913	44000	11400	NA	55000	13	210	NA
1914	41800	17100	NA	59000	15	240	NA
1915	NA	NA	NA	56000	18	290	NA
1916	NA	NA	NA	58000	20	300	NA
1917	NA	NA	NA	59000	23	290	NA
1918	NA	NA	NA	60000	25	270	NA
1919	NA	NA	NA	61000	28	260	NA
1920	NA	NA	NA	63000	31	250	NA
1921	NA	NA	NA	64000	33	300	NA
1922	NA	NA	NA	65000	36	350	NA
1923	NA	NA	NA	66000	38	360	NA
1924	NA	NA	NA	68000	41	390	NA
1925	NA	NA	NA	69000	44	410	NA
1926	NA	NA	NA	70000	46	420	NA
1927	NA	NA	NA	71000	49	460	NA
1928	NA	NA	NA	73000	51	490	NA
1929	NA	NA	NA	74000	54	510	NA
1930	NA	NA	NA	75000	56	550	NA
1931	NA	NA	NA	76000	59	630	NA
1932	NA	NA	NA	78000	62	740	NA
1933	NA	NA	NA	79000	64	800	NA
1934	NA	NA	NA	80000	67	820	NA
1935	NA	NA	NA	81000	69	820	NA
1936	NA	NA	NA	83000	72	840	NA
1937	NA	NA	NA	84000	75	850	NA
1938	NA	NA	NA	85000	77	890	NA
1939	NA	18500	4950	86000	80	940	NA
1940	NA	14000	4720	88000	82	950	NA
1941	NA	8100	4480	89000	85	940	NA
1942	88300	3990	3290	89000	88	876	NA
1943	90900	1320	3960	88300	88	824	NA
1944	88000	3050	4680	86400	90	834	NA
1945	91600	5500	4730	92400	94	849	NA
1946	104000	9380	5520	108000	93	780	NA
1947	105000	7070	6910	105000	105	767	NA
1948	101000	4470	6290	99200	107	724	NA
1949	94600	3750	5850	92500	110	753	NA
1950	117000	8320	5050	121000	122	825	NA
1951	115000	12700	4220	123000	126	790	NA
1952	95500	7980	3510	99900	135	830	NA
1953	98300	9980	3810	105000	139	849	NA
1954	88900	9710	3270	95300	150	909	NA
1955	105000	12700	4260	113000	159	967	NA
1956	103000	11900	4630	111000	159	953	NA
1957	95200	11900	3360	104000	166	963	NA
1958	89300	10600	3540	96300	170	959	NA
1959	107000	13400	3900	116000	171	958	NA
1960	96200	13200	3900	105000	177	975	NA
1961	96600	9530	2900	103000	183	998	NA
1962	103000	11900	3450	111000	184	993	NA
1963	108000	12400	3810	116000	188	1000	NA
1964	108000	14800	4630	119000	201	1060	NA
