IRON AND STEEL SCRAP STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) gross weight unless otherwise noted]							
Last modification: April 1, 2014							
Year	Production	Imports	Exports	Stocks	Reported consumption	Unit value ($/t)	Unit value (98$/t)
1934	NA	NA	1870000	NA	NA	10.7	130
1935	NA	NA	2140000	NA	27000000	11.5	137
1936	NA	NA	1970000	NA	37000000	14.5	171
1937	NA	83000	4170000	NA	39000000	17.6	200
1938	NA	24800	3050000	4670000	22000000	13.2	152
1939	37000000	30000	3640000	4820000	33000000	16	188
1940	43000000	1990	2870000	4960000	40000000	18.2	212
1941	53000000	65100	820000	3380000	54000000	19.1	212
1942	57000000	89700	129000	5730000	55000000	18.9	189
1943	56000000	132000	49800	5330000	56000000	18.9	178
1944	55000000	119000	86800	4010000	56000000	18.3	169
1945	51000000	60300	74400	3560000	51000000	18.8	171
1946	45000000	52300	128000	3080000	45000000	19.8	165
1947	56000000	64100	155000	4020000	55000000	35.1	256
1948	61000000	436000	192000	5860000	59000000	40.9	276
1949	47000000	1040000	271000	5120000	49000000	27.1	186
1950	62000000	712000	197000	4920000	63000000	34.8	235
1951	69000000	378000	214000	3960000	70000000	42.5	266
1952	65000000	139000	319000	6260000	63000000	41.2	253
1953	70000000	158000	281000	6490000	70000000	39.3	240
1954	57000000	217000	1520000	6670000	56000000	28.3	172
1955	74000000	207000	4650000	6540000	74000000	39.1	238
1956	77000000	232000	5750000	6730000	73000000	52.6	315
1957	68000000	216000	6140000	8120000	67000000	46.4	270
1958	52000000	302000	2660000	8700000	51000000	37.2	210
1959	60000000	281000	4480000	9070000	60000000	37.1	207
1960	60000000	163000	7290000	8430000	60000000	32.7	180
1961	58000000	243000	8810000	8000000	58000000	35.8	196
1962	60000000	191000	4640000	7690000	60000000	27.9	151
1963	67000000	197000	5770000	7210000	68000000	26.5	141
1964	76000000	256000	7170000	6740000	77000000	35.9	189
1965	83000000	192000	5670000	6930000	82000000	33.7	175
1966	84000000	369000	5240000	7430000	83000000	30.2	152
1967	84000000	208000	6810000	7070000	77000000	27.2	133
1968	85000000	267000	5960000	7150000	79000000	25.5	119
1969	91000000	304000	8200000	5940000	86000000	30.1	134
1970	84000000	273000	9170000	6960000	78000000	44.2	186
1971	81000000	257000	5520000	7710000	75000000	33.9	136
1972	91000000	283000	6510000	7410000	85000000	36.1	141
1973	103000000	317000	9860000	6430000	94000000	56.8	209
1974	105000000	182000	7710000	7630000	96000000	106	350
1975	84000000	277000	8570000	7950000	75000000	71.4	216
1976	90000000	460000	7150000	9060000	82000000	76.7	220
1977	89000000	557000	5310000	8490000	84000000	63.1	170
1978	93000000	720000	8200000	7510000	90000000	75.9	190
1979	99000000	689000	10000000	7910000	90000000	97.4	219
1980	85000000	528000	10100000	7270000	76000000	91.4	181
1981	83000000	504000	5820000	7360000	77000000	91.9	165
1982	56000000	425000	6170000	5820000	51000000	62.7	106
1983	62000000	582000	6820000	5270000	56000000	71.8	118
1984	67000000	523000	8620000	4770000	60000000	86.5	136
1985	71000000	554000	9030000	4630000	64000000	68.9	104
1986	69000000	657000	10600000	3940000	60000000	73	109
1987	72000000	765000	9410000	4390000	62000000	84.4	121
1988	79000000	942000	9160000	4130000	70000000	107	147
1989	75000000	1020000	11100000	4290000	68000000	106	139
1990	80000000	1320000	11600000	4300000	69000000	106	132
1991	69000000	1070000	9500000	4100000	62000000	91.8	110
1992	71000000	1320000	9260000	3800000	63000000	84.7	98
1993	76000000	1390000	9810000	3700000	68000000	112	126
1994	78000000	1740000	8810000	4100000	70000000	127	140
1995	79000000	2090000	10400000	4200000	72000000	135	144
1996	77000000	2600000	8440000	5200000	71000000	131	136
1997	79000000	2870000	8930000	5500000	73000000	131	133
1998	76000000	3060000	5570000	5300000	73000000	108	108
1999	72000000	3330000	5000000	5450000	70800000	94	92
2000	76000000	3040000	5230000	5320000	74600000	96	91
2001	73000000	2630000	7440000	4910000	70100000	75	69
2002	73000000	3130000	8950000	4930000	69500000	92	83
2003	73000000	3480000	10800000	4410000	65000000	121	107
2004	73000000	4660000	11800000	5400000	66500000	210	181
2005	73000000	3840000	13000000	4970000	65600000	192	160
2006	71000000	4820000	14900000	4210000	64600000	219	177
2007	77000000	3700000	16500000	4140000	64000000	253	199
2008	84000000	3600000	21500000	4340000	67600000	348	263
2009	80000000	2990000	22400000	3070000	53500000	204	155
2010	76000000	3780000	20500000	3330000	59700000	326	244
2011	82000000	4010000	24300000	3980000	62800000	404	293
2012	80000000	3720000	21400000	4160000	63100000	362	257
NA Not available. 							
1Compiled by T.D. Kelly (retired) and M.D. Fenton.							
Data are calculated, estimated, or reported.  See notes for more information.							
