IRON AND STEEL STATISTICS1
U.S. GEOLOGICAL SURVEY
  [All values in metric tons (t) unless otherwise noted]
Last modification: January 28, 2020
PIG IRON STATISTICS
Year	Primary production	Shipments	Imports	Exports	Apparent consumption	Unit value   ($/t)	Unit value (98$/t)	World production
1900	13200000	NA	52000	287000	13000000	20.8	410	NA
1901	15900000	NA	62000	81200	15900000	16.8	330	NA
1902	17800000	NA	619000	27500	18400000	23.1	440	NA
1903	18000000	NA	599000	20400	18600000	21.1	380	NA
1904	16500000	NA	NA	NA	16500000	15.6	280	NA
1905	23000000	NA	NA	NA	23000000	18.3	330	NA
1906	25300000	NA	NA	NA	25300000	22	400	NA
1907	25200000	NA	NA	NA	25200000	22.7	400	NA
1908	15900000	NA	NA	NA	15900000	17.6	320	NA
1909	25800000	NA	160000	56200	23500000	17.9	330	NA
1910	27100000	NA	215000	116000	24300000	17	300	66500000
1911	21500000	NA	135000	110000	21100000	15.5	270	64400000
1912	27000000	27400000	117000	247000	27300000	15.4	260	73700000
1913	28100000	27600000	142000	252000	27500000	16.6	274	79000000
1914	21200000	20200000	153000	104000	20200000	14.8	241	56300000
1915	27100000	27600000	81500	204000	27500000	14.6	235	50500000
1916	35800000	35500000	123000	551000	35100000	18.7	280	74300000
1917	35000000	35000000	69700	595000	34500000	30.1	383	71900000
1918	35400000	34700000	31500	245000	34500000	34.1	368	65200000
1919	28100000	27300000	92200	291000	27100000	28.4	268	50900000
1920	33500000	32400000	169000	197000	32400000	35.2	286	61300000
1921	15100000	14500000	39900	25700	14500000	26.8	243	36700000
1922	24700000	25100000	348000	28100	25400000	24.2	235	70000000
1923	36600000	34800000	334000	29300	35100000	27.2	259	68500000
1924	28500000	28200000	190000	37600	28400000	23.6	225	76900000
1925	33300000	33400000	400000	29600	33800000	22.1	207	76900000
1926	35700000	34600000	404000	22900	35000000	21.6	199	78900000
1927	33200000	31600000	120000	46300	31700000	20.4	191	86800000
1928	34600000	34700000	128000	76800	34800000	19	181	88900000
1929	38700000	37700000	134000	42100	37800000	19.4	185	98500000
1930	27700000	27100000	124000	12400	27200000	18.9	185	80200000
1931	16300000	16200000	76600	6100	16300000	17.7	189	55700000
1932	7760000	7730000	119000	2110	7950000	16.3	194	39800000
1933	11800000	13000000	122000	2490	13100000	16.4	205	49400000
1934	14200000	14200000	104000	3720	14300000	18.4	224	63000000
1935	18900000	19200000	119000	3730	19300000	18.6	222	74400000
1936	27400000	27900000	150000	4820	28000000	17.3	203	91600000
1937	32800000	32000000	101000	710000	31400000	20.4	231	104000000
1938	16900000	16500000	27600	392000	16100000	19.3	223	82900000
1939	28200000	29100000	35000	161000	29000000	19.2	225	102000000
1940	37400000	38000000	9290	502000	37500000	19.7	230	110000000
1941	50000000	50100000	3330	525000	49600000	22.2	246	110000000
1942	53600000	53600000		100000	53500000	22.9	229	103000000
1943	55100000	55100000	1310	131000	55000000	23.1	218	105000000
1944	55300000	55300000	5240	147000	55200000	23.1	214	98000000
1945	48300000	48300000	19400	82400	48200000	24.3	221	71700000
1946	40700000	40900000	12800	86800	40800000	27	225	71700000
1947	52900000	53000000	29600	9920	53000000	33.4	244	90700000
1948	54500000	54500000	199000	6380	54700000	41	277	103000000
1949	48400000	48000000	90500	73800	48000000	46.4	317	105000000
1950	58500000	58600000	730000	6180	59300000	47.2	319	134000000
1951	63800000	63700000	968000	5950	64700000	51.5	322	151000000
1952	55600000	55600000	345000	12800	55900000	53.4	327	153000000
1953	67900000	67300000	535000	17100	67800000	54.9	335	169000000
1954	52600000	52400000	264000	9300	52700000	55	334	159000000
1955	69700000	70100000	257000	31700	70300000	55.9	341	193000000
1956	68100000	68100000	297000	244000	68200000	59.1	354	201000000
1957	71100000	69800000	204000	800000	69200000	64.4	374	212000000
1958	51900000	51600000	191000	93400	51700000	65.7	371	197000000
1959	54600000	55600000	636000	9070	56200000	65.4	365	224000000
1960	60300000	59500000	325000	102000	59700000	65.6	361	259000000
1961	58800000	59200000	342000	342000	59200000	64.5	352	256000000
1962	59500000	59600000	454000	140000	59900000	64.1	346	266000000
1963	65200000	65500000	585000	63500	66000000	64.5	343	281000000
1964	77500000	77700000	668000	160000	78200000	64.2	338	317000000
1965	80000000	80200000	800000	25400	81000000	62.8	326	335000000
1966	82800000	82400000	1080000	10900	83500000	62.1	312	347000000
1967	78700000	78800000	549000	6350	79300000	62.2	303	350000000
1968	80500000	80800000	713000	8160	81500000	62.2	292	379000000
1969	86200000	86600000	367000	39900	86900000	71.6	318	411000000
1970	82800000	82800000	226000	281000	82700000	71.6	301	431000000
1971	73800000	73800000	278000	30800	74000000	77.4	312	430000000
1972	80600000	80800000	578000	13600	81400000	85.3	333	454000000
1973	91900000	92200000	405000	13600	92600000	82	301	501000000
1974	86600000	87000000	310000	91600	87200000	143	471	512000000
1975	72300000	71900000	434000	54400	72300000	189	574	479000000
1976	78800000	78600000	376000	52600	78900000	198	566	498000000
1977	73900000	74700000	338000	46300	75000000	199	534	488000000
