IRON AND STEEL STATISTICS1										
U.S. GEOLOGICAL SURVEY										
[All values in metric tons (t) unless otherwise noted]  										
Last modification:April 1, 2014										
STEEL STATISTICS										
Year	Steel product shipments	Raw steel production	Imports	Exports	Semifinished imports	Stock changes	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	9490000	9240000	NA	NA	NA	NA	9500000	NA	NA	NA
1901	12300000	12200000	NA	NA	NA	NA	12000000	NA	NA	NA
1902	13900000	13600000	NA	NA	NA	NA	14000000	NA	NA	NA
1903	13200000	13200000	NA	NA	NA	NA	13000000	NA	NA	NA
1904	12000000	12600000	NA	NA	NA	NA	12000000	NA	NA	NA
1905	16800000	18200000	NA	NA	NA	NA	17000000	NA	NA	NA
1906	19600000	21200000	NA	NA	NA	NA	20000000	NA	NA	NA
1907	19900000	21200000	NA	NA	NA	NA	20000000	NA	NA	NA
1908	11800000	12700000	NA	NA	NA	NA	12000000	NA	NA	NA
1909	19600000	21700000	NA	NA	NA	NA	20000000	NA	NA	NA
1910	21600000	23700000	NA	NA	NA	NA	22000000	NA	NA	NA
1911	19000000	21500000	NA	NA	NA	NA	19000000	NA	NA	NA
1912	24700000	28300000	NA	NA	NA	NA	25000000	NA	NA	NA
1913	24800000	28400000	NA	NA	NA	NA	25000000	NA	NA	NA
1914	18400000	21300000	127000	1210000	NA	NA	17300000	NA	NA	NA
1915	24400000	29100000	174000	3010000	NA	NA	21600000	NA	NA	NA
1916	32400000	38700000	170000	5000000	NA	NA	27600000	NA	NA	NA
1917	33100000	40600000	216000	5240000	NA	NA	28100000	NA	NA	NA
1918	31200000	39900000	113000	4600000	NA	NA	26700000	NA	NA	NA
1919	25100000	31100000	195000	3700000	NA	NA	21600000	NA	NA	NA
1920	32300000	37800000	203000	4250000	NA	NA	28300000	NA	NA	NA
1921	14800000	17800000	71700	1980000	NA	NA	12900000	NA	NA	NA
1922	26500000	32000000	193000	1730000	NA	NA	25000000	NA	NA	NA
1923	33300000	40300000	219000	1520000	NA	NA	32000000	NA	NA	NA
1924	28100000	34000000	152000	1560000	NA	NA	26700000	NA	NA	NA
1925	33400000	40600000	171000	1510000	NA	NA	32100000	NA	NA	NA
1926	35500000	43200000	188000	1850000	NA	NA	33800000	NA	NA	NA
1927	32900000	40200000	121000	1720000	NA	NA	31300000	NA	NA	NA
1928	37700000	46000000	139000	2060000	NA	NA	35800000	NA	NA	NA
1929	41100000	50300000	155000	2210000	NA	NA	39000000	NA	NA	NA
1930	29500000	36400000	293000	1440000	NA	NA	28400000	NA	NA	NA
1931	19200000	23500000	278000	740000	NA	NA	18700000	NA	NA	NA
1932	10500000	12400000	202000	328000	NA	NA	10400000	NA	NA	NA
1933	16700000	21100000	176000	510000	NA	NA	16400000	NA	NA	NA
1934	19000000	23600000	144000	871000	NA	NA	18300000	NA	NA	NA
1935	24000000	27700000	255000	868000	NA	NA	23400000	NA	NA	NA
1936	33800000	43300000	374000	1100000	NA	NA	33100000	NA	NA	NA
1937	36800000	45900000	266000	512000	NA	NA	36600000	NA	NA	NA
1938	23500000	25700000	151000	375000	NA	NA	23300000	NA	NA	NA
1939	39000000	60800000	174000	2360000	NA	NA	36800000	NA	NA	NA
1940	48700000	78000000	19700	7340000	NA	NA	41400000	9.9	115	NA
1941	62300000	75200000	16200	5930000	NA	NA	56400000	10	111	NA
1942	60900000	78000000	22500	6470000	NA	NA	54500000	10	100	NA
1943	60600000	80600000	16000	6370000	NA	NA	54200000	10	94.3	172000000
1944	59600000	81300000	51000	5350000	NA	NA	54300000	10	92.6	164000000
1945	53800000	72300000	69000	1940000	NA	NA	51900000	10.2	92.7	101000000
1946	46400000	60400000	23200	1770000	NA	NA	44700000	11.1	92.5	123000000
1947	59100000	77000000	31000	2680000	NA	NA	56500000	13	94.9	123000000
1948	66000000	80400000	142000	1920000	NA	NA	64200000	14.9	101	141000000
1949	58100000	70700000	277000	2060000	NA	NA	56300000	16.1	110	145000000
1950	72200000	87800000	1000000	1260000	NA	NA	71900000	17	115	189000000
1951	78900000	95400000	2080000	1410000	NA	NA	79600000	18.3	114	211000000
1952	68000000	84500000	1130000	4040000	NA	NA	65100000	18.7	115	211000000
1953	80200000	101000000	1590000	3050000	NA	NA	78700000	20.2	123	235000000
1954	63200000	80100000	811000	2810000	NA	NA	61200000	21.1	128	224000000
1955	84700000	106000000	995000	4060000	NA	NA	81600000	22.1	135	269000000
1956	83300000	105000000	1370000	4310000	NA	NA	80400000	24	144	284000000
1957	79900000	102000000	1170000	5370000	NA	NA	75700000	26.3	153	293000000
1958	59900000	77300000	1650000	2930000	NA	NA	58600000	27.2	154	271000000
1959	69400000	84800000	4190000	1790000	NA	NA	71800000	27.6	154	305000000
1960	71100000	90100000	3240000	2950000	NA	NA	71400000	27.6	152	346000000
1961	66100000	88900000	3000000	2010000	NA	NA	67100000	27.5	150	352000000
1962	70600000	89200000	3900000	2060000	NA	NA	72400000	27.4	148	361000000
1963	75600000	99100000	5110000	2420000	NA	NA	78300000	27.6	147	387000000
1964	85000000	115000000	6010000	3690000	NA	NA	87300000	27.8	146	437000000
1965	92700000	119000000	9650000	2620000	NA	NA	99700000	27.9	145	459000000
1966	90000000	122000000	10000000	1950000	NA	NA	98100000	28.3	142	475000000
1967	83900000	115000000	10700000	1910000	NA	NA	92700000	28.6	140	494000000
1968	91900000	119000000	16700000	2420000	NA	NA	106000000	29.3	137	530000000
1969	85100000	128000000	13200000	5788000	177000	170000	92700000	30.7	136	574000000
1970	82400000	119000000	12600000	6950000	155000	NA	87700000	32.7	137	594000000
1971	78900000	109000000	17000000	3200000	249000	NA	92300000	35.2	141	581000000
1972	83300000	121000000	16500000	3220000	238000	NA	96200000	37.3	146	629000000
1973	101000000	137000000	14200000	4500000	156000	-454000	111000000	38.4	141	698000000
1974	99300000	132000000	14900000	6340000	165000	-454000	108000000	48.6	160	708000000
1975	72600000	106000000	11300000	3610000	219000	2270000	77800000	56.4	171	644000000
1976	81100000	116000000	13600000	3330000	218000	-2090000	93200000	60	172	674000000
1977	82700000	114000000	18100000	2810000	270000	2810000	94900000	65.8	177	673000000
1978	88800000	124000000	20000000	2970000	375000	-544000	106000000	72.8	182	715000000
1979	60900000	124000000	16700000	3080000	313000	-1450000	75700000	80.2	180	745000000
1980	76100000	101000000	14800000	4290000	141000	-18000	86500000	86.6	171	716000000
1981	80200000	110000000	18900000	3230000	717000	NA	95000000	96.6	173	707000000
1982	65800000	67700000	15800000	2150000	649000	NA	78600000	100	169	644000000
1983	61300000	76800000	16300000	1440000	748000	NA	75200000	101	165	663000000
1984	66700000	83900000	24900000	1280000	1380000	NA	88800000	105	164	711000000
1985	66300000	80100000	23300000	1150000	1700000	NA	86600000	105	159	718000000
1986	63700000	74000000	20100000	1090000	1730000	NA	80800000	99.8	149	713000000
1987	69500000	80900000	18500000	1020000	1910000	NA	84900000	102	147	734000000
1988	76200000	90700000	19000000	1880000	23400000	NA	69800000	111	152	780000000
1989	76300000	88900000	15700000	4150000	1990000	NA	85700000	115	150	784000000
1990	77100000	89700000	15600000	3900000	2110000	NA	86500000	112	140	771000000
1991	71500000	79700000	14400000	5760000	2050000	NA	77900000	110	131	737000000
1992	74800000	84300000	15500000	3890000	2170000	NA	84100000	106	124	724000000
1993	60800000	88800000	17700000	3600000	4530000	NA	70200000	108	122	730000000
1994	80300000	91200000	27300000	3470000	7200000	NA	96800000	113	125	730000000
