FLUORSPAR STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
Year	Production 	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	16700	NA	NA	NA	16700	6	111	NA
1901	17700	NA	NA	NA	17700	6	126	NA
1902	43500	NA	NA	NA	43500	6	118	NA
1903	38600	NA	NA	NA	38600	6	101	NA
1904	33000	NA	NA	NA	33000	7	129	NA
1905	52000	NA	NA	NA	52000	7	126	NA
1906	37000	NA	NA	NA	37000	7	120	NA
1907	44800	NA	NA	NA	44800	6	112	NA
1908	35100	NA	NA	NA	35100	6	117	NA
1909	46000	6320	NA	NA	52300	6	115	NA
1910	63000	38500	NA	NA	101000	7	120	NA
1911	78900	29700	NA	NA	109000	8	136	NA
1912	106000	23700	NA	NA	129000	7	123	NA
1913	105000	20600	NA	NA	125000	7	115	171000
1914	86300	9260	NA	NA	95500	7	107	121000
1915	124000	6500	NA	NA	131000	6	99	163000
1916	141000	11200	NA	NA	152000	7	97	201000
1917	198000	12400	NA	NA	211000	12	147	279000
1918	239000	11400	NA	NA	251000	23	247	313000
1919	125000	6300	NA	NA	132000	28	265	196000
1920	169000	22300	2510	NA	189000	28	226	264000
1921	31700	5620	NA	NA	37300	23	208	92500
1922	128000	30000	2080	NA	156000	20	191	208000
1923	110000	38300	1040	NA	147000	23	217	215000
1924	113000	46300	560	36700	159000	22	206	255000
1925	103000	44200	957	20500	146000	20	184	263000
1926	117000	68600	1930	98900	183000	20	184	310000
1927	102000	64900	349	114000	167000	20	186	317000
1928	127000	42700	361	94900	170000	21	199	345000
1929	133000	49300	459	97200	182000	21	200	376000
1930	86900	58900	255	149000	146000	20	197	291000
1931	48400	18800	282	134000	67000	19	205	166000
1932	22900	12000	23	113000	34800	17	204	128000
1933	66100	9430	64	103000	75600	16	198	229000
1934	77700	15200	474	98100	92400	18	218	286000
1935	112000	14800	284	88900	127000	17	197	340000
1936	160000	23100	218	93000	183000	20	229	455000
1937	164000	33600	414	109000	198000	22	253	519000
1938	72900	17800	715	96900	90100	22	254	456000
1939	166000	14800	2700	117000	178000	22	262	577000
1940	212000	10800	7690	132000	215000	22	260	616000
1941	291000	6830	11100	128000	287000	23	256	698000
1942	327000	1950	8180	105000	321000	27	272	883000
1943	368000	39700	8230	113000	400000	32	302	1040000
1944	375000	79100	1800	107000	453000	33	308	1040000
1945	294000	95200	1290	112000	388000	34	306	674000
1946	252000	27100	1570	107000	278000	36	299	524000
1947	299000	71400	1070	134000	369000	37	268	655000
1948	301000	101000	604	167000	402000	37	252	795000
1949	215000	86700	728	162000	306000	39	264	710000
1950	273000	149000	671	173000	410000	39	263	844000
