INDUSTRIAL GARNET STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 1, 2019
Year	Production	Sold or used refined	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	2890	NA	NA	NA	NA	2900	42.7	840	NA
1901	4030	NA	NA	NA	NA	4000	39.2	770	NA
1902	3560	NA	NA	NA	NA	3600	37.3	700	NA
1903	3580	NA	NA	NA	NA	3600	37	670	NA
1904	3500	NA	NA	NA	NA	3500	33.6	610	NA
1905	4580	NA	NA	NA	NA	4600	32.3	590	NA
1906	4220	NA	NA	NA	NA	4200	37.2	680	NA
1907	6400	NA	NA	NA	NA	6400	33.1	580	NA
1908	1810	NA	NA	NA	NA	1800	35.7	650	NA
1909	2700	NA	NA	NA	NA	2700	38	690	NA
1910	3460	NA	NA	NA	NA	3500	32.8	580	NA
1911	3700	NA	NA	NA	NA	3700	32.9	580	NA
1912	4490	NA	NA	NA	NA	4500	36.4	620	NA
1913	4820	NA	NA	NA	NA	4800	38.1	628	4820
1914	3840	NA	NA	NA	NA	3800	37.9	618	3840
1915	3900	NA	NA	NA	NA	3900	35.8	577	3900
1916	5600	NA	NA	NA	NA	5600	37.3	558	5600
1917	4530	NA	NA	NA	NA	4500	43.8	558	4530
1918	4260	NA	NA	NA	NA	4300	58.3	629	4260
1919	4490	NA	NA	NA	NA	4500	69.2	652	5290
1920	4970	NA	NA	NA	NA	5000	87.4	713	5170
1921	2770	NA	NA	NA	NA	2800	94.3	859	2770
1922	6400	NA	NA	NA	NA	6400	88.6	859	9800
1923	8170	NA	NA	NA	NA	8200	84.3	803	13900
1924	NA	7520	1020	NA	NA	8500	89.6	855	12500
1925	NA	7650	1.81	NA	NA	7600	93.2	868	11400
1926	NA	5800	0	NA	NA	5800	90.3	831	5800
1927	NA	5750	0	NA	NA	5800	99.7	935	NA
1928	6000	NA	1.81	NA	NA	6000	76.5	729	NA
1929	5410	NA	0	NA	NA	5400	80.5	767	NA
1930	4540	NA	0	NA	NA	4500	69.2	675	NA
1931	2670	NA	1.81	NA	NA	2700	72.2	774	NA
1932	1770	NA	4.54	NA	NA	1800	83.3	992	NA
1933	2540	NA	0	NA	NA	2500	88.7	1110	NA
1934	2350	NA	0	NA	NA	2400	91.4	1110	NA
1935	NA	2780	0	NA	NA	2800	92.4	1100	NA
1936	3470	NA	0	NA	NA	3500	91.2	1070	NA
1937	NA	4410	0	NA	NA	4400	86.7	982	NA
1938	NA	2420	1.68	NA	NA	2400	79.2	915	NA
1939	NA	3680	0	NA	NA	3700	75.7	887	NA
1940	NA	4280	0	NA	NA	4300	60.6	706	NA
1941	NA	4990	NA	NA	NA	5000	74.5	826	NA
1942	NA	3950	NA	NA	NA	4000	75.9	759	NA
1943	5380	NA	NA	NA	NA	5400	79.7	751	NA
1944	W	W	0.181	NA	NA	5500	72.7	673	NA
1945	5720	NA	2.77	NA	NA	5700	65.6	594	NA
1946	7020	NA	17.6	NA	NA	7000	81.2	679	NA
1947	7910	NA	0.573	NA	NA	7900	77.6	567	NA
1948	7290	NA	1.41	NA	NA	7300	80.6	545	NA
1949	5970	NA	NA	NA	NA	6000	84.7	580	NA
1950	8440	NA	2.8	NA	NA	8400	94	636	NA
1951	12700	NA	NA	NA	NA	13000	97.8	613	NA
1952	10300	NA	1.81	NA	NA	10000	95	584	NA
1953	9540	NA	NA	NA	NA	9500	104	633	NA
1954	NA	12900	NA	NA	NA	13000	75.5	457	NA
1955	NA	10700	NA	NA	NA	10700	111	675	NA
1956	NA	8900	1.81	NA	NA	8890	121	722	NA
1957	NA	8870	1.81	NA	NA	8890	122	706	NA
1958	NA	11200	NA	NA	NA	11200	77.9	439	NA
1959	NA	13200	1.81	NA	NA	13200	91.6	513	NA
1960	NA	9550	NA	NA	NA	9530	103	569	11800
1961	NA	10900	NA	NA	NA	10900	94.7	516	13400
1962	NA	12900	NA	NA	NA	12900	91.2	492	15300
1963	NA	13300	NA	NA	NA	13300	106	567	15700
1964	NA	14600	0	NA	NA	14600	111	583	17200
1965	NA	17500	0	NA	NA	17500	97.9	507	20000
1966	NA	19900	0	NA	NA	19900	105	528	20700
1967	NA	18600	0	NA	NA	18600	99.5	485	19600
1968	NA	20100	0	NA	NA	20100	95.7	448	20900
1969	NA	18600	0	NA	NA	18600	101	448	21100
1970	NA	17100	0	NA	NA	17100	113	476	19000
1971	NA	17200	0	NA	NA	17200	112	452	18900
1972	NA	17200	0	NA	NA	17200	114	445	20900
1973	NA	20700	0	NA	NA	20700	115	423	24000
1974	NA	22400	0	NA	NA	22400	114	377	26600
1975	NA	15600	0	NA	NA	15600	134	406	19800
1976	23300	22300	0	NA	NA	22300	160	459	26500
1977	19900	18200	NA	NA	NA	18200	183	491	21900
1978	18900	20000	NA	3080	NA	16900	196	489	24900
1979	19300	21100	NA	3180	NA	18000	220	494	29900
1980	24400	24100	0	3450	5770	20600	205	405	30900
1981	23200	23200	0	2970	5710	20200	225	403	32100
1982	24800	24200	0	3080	6290	21100	229	388	32200
1983	27000	27500	0	2900	5810	24600	217	355	36400
1984	26900	25100	0	3080	7600	22000	226	355	39700
1985	33300	27800	0	2900	13100	24900	220	333	49100
1986	29300	28900	363	4990	12700	24300	234	347	45100
1987	38400	35800	2720	4990	7010	33500	216	310	79700
1988	42500	41900	4540	7980	5440	38400	266	366	94800
1989	42600	41300	5000	9720	5440	36600	236	311	92100
1990	47000	45900	5000	10000	2210	44200	257	321	108000
1991	50900	48100	5000	10000	11100	44000	270	323	108000
1992	54100	46100	12100	7600	8640	45700	282	328	106000
1993	44000	51500	12200	11400	10000	44800	243	274	120000
1994	44700	41100	6000	10000	5000	43600	260	286	101000
1995	46300	39900	5000	9000	5900	38000	253	271	133000
1996	60900	46200	8000	13000	14600	34500	242	252	173000
1997	64900	53600	11000	11000	19900	46300	233	237	215000
1998	74000	51900	20000	12000	39900	39900	243	243	300000
1999	60700	43900	12000	10000	52100	33700	264	258	354000
2000	60200	51300	23000	10000	50100	66300	273	258	456000
2001	52700	46200	29600	10000	NA	72300	292.21	268.95	608000
2002	39100	33700	27200	10400	NA	55900	302	273.798730734	781000
2003	36000	31400	34800	11000	NA	59800	372	329.495128432	893000
2004	38000	34100	36500	10900	NA	63600	402	346.850733391	1080000
2005	43900	39400	41800	13400	NA	72300	398	332.220367279	1190000
2006	43300	39900	50800	13300	NA	80800	452	365.69579288	1370000
2007	47000	42900	98000	12000	NA	133000	455	357.704402516	1380000
2008	45900	40800	92300	12500	NA	125700	454	343.679031037	1310000
2009	39000	34600	71100	8840	NA	101260	540	410.334346505	1390000
2010	34200	30500	79700	11700	NA	102200	514	384.155455904	1410000
2011	32500	29300	116000	14500	NA	134000	535	387.68115942	1350000
2012	38000	33520	166000	14600	NA	193000	551	391	1225000
2013	48600	43000	152000	14400	NA	186000	599	419	1160000
2014	59900	35900	162000	11500	NA	210000	479	330	1100000
2015	77200	47200	212000	11000	NA	278000	519	357	1010000
2016	81300	46600	156000	10100	NA	227000	515	350	1130000
2017	92900	84100	54200	17700	NA	129000	463	308	960000
2018	101000	166000	254000	14200	NA	341000	416	271	1250000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by D.A. Buckingham, D.W. Olson, C.L. Thomas, S.A. Singerling, and K.C. Curry
