GEMSTONES STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) gross weight unless otherwise noted]							
Last modification: April 1, 2014							
Year	Production value ($)	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	231000	NA	NA	NA	NA	NA	NA
1901	289000	NA	NA	NA	NA	NA	NA
1902	328000	NA	NA	NA	NA	NA	NA
1903	308000	NA	NA	NA	NA	NA	NA
1904	324000	NA	NA	NA	NA	NA	NA
1905	326000	NA	NA	NA	NA	NA	NA
1906	208000	NA	NA	NA	NA	NA	NA
1907	471000	NA	NA	NA	NA	NA	NA
1908	415000	NA	NA	NA	NA	NA	NA
1909	534000	NA	NA	NA	NA	NA	NA
1910	296000	NA	NA	NA	NA	NA	NA
1911	344000	NA	NA	NA	NA	NA	NA
1912	320000	NA	NA	NA	NA	NA	NA
1913	319000	NA	NA	NA	NA	NA	NA
1914	125000	NA	NA	NA	NA	NA	NA
1915	170000	NA	NA	NA	NA	NA	NA
1916	218000	NA	NA	NA	NA	NA	NA
1917	131000	NA	NA	NA	NA	NA	NA
1918	107000	NA	NA	NA	NA	NA	NA
1919	112000	0.163	NA	0.163	519000000	4890000000	NA
1920	265000	0.085	NA	0.085	658000000	5360000000	NA
1921	518000	0.0583	NA	0.0583	490000000	4460000000	NA
1922	NA	NA	NA	NA	0	0	NA
1923	NA	NA	NA	NA	0	0	NA
1924	NA	NA	NA	NA	0	0	NA
1925	NA	NA	NA	NA	0	0	NA
1926	NA	NA	NA	NA	0	0	NA
1927	NA	NA	NA	NA	0	0	NA
1928	NA	NA	NA	NA	0	0	NA
1929	NA	0.158	NA	0.158	433000000	4130000000	NA
1930	NA	0.106	NA	0.106	344000000	3360000000	NA
1931	NA	0.0924	NA	0.0924	221000000	2370000000	NA
1932	NA	0.0479	NA	0.0479	240000000	2860000000	NA
1933	NA	0.0421	NA	0.0421	274000000	3430000000	NA
1934	NA	0.0505	NA	0.0505	278000000	3380000000	NA
1935	5000	0.0821	NA	0.0821	266000000	3170000000	NA
1936	12500	0.109	NA	0.109	295000000	3460000000	NA
1937	32000	0.123	NA	0.123	341000000	3860000000	NA
1938	127000	0.0845	NA	0.0845	312000000	3610000000	NA
1939	353000	0.139	NA	0.139	276000000	3240000000	NA
1940	545000	0.116	NA	0.116	325000000	3780000000	NA
1941	505000	0.0954	NA	0.0954	354000000	3920000000	NA
1942	150000	0.0864	NA	0.0864	329000000	3290000000	NA
1943	67000	0.19	NA	0.19	379000000	3570000000	NA
1944	41000	0.221	NA	0.221	350000000	3240000000	0.471
1945	40000	0.276	NA	0.276	414000000	3750000000	0.513
1946	325000	0.441	NA	0.441	428000000	3580000000	0.557
1947	570000	0.271	NA	0.271	405000000	2960000000	0.508
1948	450000	0.263	NA	0.263	440000000	2970000000	0.449
1949	450000	0.213	NA	0.213	394000000	2700000000	NA
1950	450000	0.238	NA	0.238	497000000	3360000000	NA
1951	450000	0.232	NA	0.232	555000000	3480000000	NA
1952	450000	0.234	NA	0.234	518000000	3190000000	NA
1953	550000	0.243	NA	0.243	535000000	3270000000	NA
1954	650000	0.301	NA	0.301	477000000	2890000000	NA
1955	800000	0.364	NA	0.364	482000000	2930000000	0.8
1956	925000	0.384	NA	0.384	489000000	2930000000	0.972
1957	900000	0.329	NA	0.329	513000000	2980000000	0.652
1958	1000000	0.377	NA	0.377	440000000	2480000000	1.19
1959	1190000	0.517	NA	0.517	411000000	2300000000	1.18
1960	1190000	0.45	NA	0.45	428000000	2360000000	1.34
1961	1310000	0.801	NA	0.801	278000000	1520000000	1.4
1962	1300000	0.755	NA	0.755	297000000	1600000000	1.27
1963	1400000	0.813	NA	0.813	315000000	1680000000	1.28
1964	1500000	0.809	NA	0.809	369000000	1940000000	1.55
1965	2200000	1.18	NA	1.18	308000000	1590000000	1.55
1966	2400000	1.28	NA	1.28	333000000	1680000000	1.78
1967	2400000	1.45	NA	1.45	303000000	1480000000	1.87
1968	2500000	1.96	NA	1.96	274000000	1280000000	2.13
1969	2400000	1.98	NA	1.98	286000000	1270000000	2.61
1970	2400000	2.39	0.33	2.39	203000000	853000000	2.66
1971	2600000	3.21	0.315	3.21	164000000	660000000	2.49
1972	2700000	4.61	0.36	4.61	155000000	605000000	2.54
1973	2700000	4.46	0.345	4.46	210000000	771000000	2.49
1974	4600000	2.94	0.292	2.94	299000000	988000000	2.34
1975	8700000	3.81	0.289	3.81	222000000	673000000	2.05
1976	8900000	5.08	0.302	5.08	231000000	662000000	1.86
1977	8900000	4.75	0.311	4.75	344000000	925000000	1.86
1978	8900000	5.04	0.32	5.04	440000000	1100000000	1.89
1979	8200000	5.39	0.239	5.39	402000000	903000000	2.05
1980	6900000	5.12	0.265	5.12	533000000	1050000000	2.09
1981	7600000	7.11	0.643	7.11	389000000	698000000	2.03
1982	7200000	7.6	0.537	7.6	313000000	529000000	2.05
1983	7400000	10.3	0.498	10.3	277000000	453000000	4.61
1984	7500000	14.7	0.455	14.7	248000000	389000000	5.22
1985	7400000	14.1	0.476	14.1	261000000	395000000	5.25
1986	9300000	16.7	0.505	16.7	250000000	372000000	8.41
1987	21400000	19.8	0.506	19.8	206000000	296000000	8.2
1988	42500000	19.9	0.427	19.9	254000000	350000000	9.84
1989	42900000	23.9	0.21	23.9	214000000	281000000	10.1
1990	52900000	26.1	0.243	26.1	176000000	220000000	10.5
1991	84400000	101	0.742	101	45800000	54800000	10.2
1992	66200000	129	0.385	129	37500000	43600000	11.4
1993	57700000	150	0.326	150	38500000	43400000	9.48
1994	50500000	236	0.324	236	27200000	29900000	10.6
1995	48700000	322	0.466	322	20700000	22100000	11.1
1996	43300000	364	0.418	364	19900000	20700000	11
1997	25000000	289	0.59	289	29000000	29500000	11.4
1998	14300000	238	0.682	238	38800000	38800000	12.1
1999	16100000	331	1.09	331	32400000	31700000	12.1
2000	17200000	291	3.26	291	44400000	42000000	13.4
2001	14900000	280	1.8	280	40400000	37200000	14.6
2002	12600000	221	2.86	221	58100000	52600000	15.3
2003	12500000	325	3.3	325	41100000	36400000	17.6
2004	14500000	284	4.52	284	53300000	46000000	17.7
2005	13400000	374	5.1490448	374	44800000	37400000	18.6
2006	11300000	500	6.5209556	500	35600000	28800000	18.8
2007	11900000	293	7.223615	293	66800000	52500000	18.5
2008	11500000	239.6292846	6.7945242	239.6292846	87100000	65900000	17.3
2009	9310000	241.624569	5.0452052	241.624569	56100000	42600000	15.1
2010	10000000	303.306322	4.744638	303.306322	64500000	48200000	14.8
2011	11000000	347.924	3.2048846	347.924	67600000	49000000	14.8
2012	11300000	441	4.58	441	47600000	33800000	18.3
NA Not available. 							
1Compiled by C.A. DiFrancesco and D.W. Olson.							
Data are calculated, estimated, or reported.  See notes for more information.							
