GERMANIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) germanium content unless otherwise noted]
Last modification: June 19, 2019
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1945	NA	NA	NA	NA	NA	441000	3990000	NA
1946	NA	NA	NA	NA	NA	397000	3310000	NA
1947	NA	NA	NA	NA	NA	397000	2900000	NA
1948	NA	NA	NA	NA	NA	507000	3430000	NA
1949	NA	NA	NA	NA	NA	727000	4970000	NA
1950	NA	NA	NA	NA	NA	397000	2690000	NA
1951	NA	0.145	NA	NA	NA	397000	2490000	NA
1952	NA	0.092	NA	NA	NA	484000	2970000	NA
1953	NA	1	NA	NA	NA	720000	4390000	NA
1954	NA	1.65	NA	NA	NA	650000	3940000	NA
1955	NA	1.92	NA	NA	NA	650000	3960000	NA
1956	11	4.54	NA	NA	16	535000	3210000	NA
1957	20	NA	NA	NA	32	445000	2580000	40.8
1958	11	NA	NA	NA	20	445000	2510000	40.8
1959	20	NA	NA	NA	20	350000	1960000	45.3
1960	25	23.7	NA	NA	45	300000	1650000	45.3
1961	18	13.9	NA	NA	34	300000	1630000	40.8
1962	17	12.6	NA	NA	27	300000	1620000	66.7
1963	9.1	2.4	NA	NA	23	270000	1440000	70.3
1964	6.8	0.953	NA	NA	27	270000	1420000	35.4
1965	14	3.37	NA	NA	41	270000	1400000	30.8
1966	14	1.37	NA	NA	41	175000	879000	30.8
1967	14	1.53	NA	NA	23	175000	854000	30.8
1968	9.5	1.86	NA	NA	23	175000	820000	30.8
1969	14	3.56	NA	NA	20	185000	823000	85.2
1970	18	8.87	NA	NA	18	280000	1180000	84.4
1971	16	3.04	NA	NA	18	293000	1180000	68
1972	15	2.68	NA	NA	18	293000	1140000	72.6
1973	17	6.67	NA	NA	20	293000	1070000	74.8
1974	13	6.4	NA	NA	20	293000	969000	76.2
1975	14	7.68	NA	NA	20	293000	888000	125
1976	16	3.47	NA	NA	21	293000	839000	79.4
1977	16	2.68	NA	NA	22	314000	845000	89.8
1978	19	2.66	NA	NA	23	319000	797000	99
1979	23	4.03	NA	NA	24	398000	894000	109
1980	27	3.33	NA	NA	32	653000	1290000	116
1981	28	22.4	NA	NA	38	911000	1630000	125
1982	26	12.5	NA	NA	42	1060000	1790000	124
1983	20	11.6	NA	NA	35	1060000	1730000	85
1984	20	18.1	NA	NA	35	1060000	1660000	75
1985	22	11	NA	0	38	1060000	1610000	80
1986	22	8	NA	0	38	1060000	1580000	80
1987	25	13	NA	0	40	1060000	1520000	82
1988	21	33	NA	11.7	40	1060000	1460000	84
1989	20	40.1	NA	38.3	36	1060000	1390000	82
1990	18	49.8	NA	58.3	34	1060000	1320000	76
1991	15	26.8	NA	68.9	33	1060000	1270000	80
1992	13	13.2	NA	68.9	30	1060000	1230000	65
1993	10	15.5	NA	NA	29	1060000	1200000	50
1994	10	14.7	NA	68.2	25	1060000	1170000	50
1995	10	16.2	NA	68.2	27	1380000	1470000	45
1996	18	27.5	NA	68.2	25	2000000	2080000	53
1997	20	23.1	NA	61.7	28	1480000	1500000	63
1998	22	14.6	NA	55.2	28	1700000	1700000	56
1999	20	12.4	NA	51.4	28	1400000	1370000	58
2000	23	8.21	NA	48.5	28	1250000	1180000	70
2001	20	15.2	31.4	42.5	28	890000	819000	70
2002	15	19.9	20.1	42.121	28	620000	562000	50
2003	4.7	18.6	6.2	40	20	380000	337000	44
2004	4.4	23.8	13.8	32.8	25	600000	518000	87
2005	4.5	23.5	10.1	28.9	27	660000	551000	90
2006	4.6	50	12.4	23.7	55	950000	768000	90
2007	4.6	52.4	11.7	16.5	60	1240000	975000	100
2008	4.6	67.6	17.9	16.4	54	1490000	1130000	140
2009	4.6	60.2	21.2	16.4	44	940000	714000	120
2010	3	44.7	8	16.4	40	1200000	897000	118
2011	3	38.5	5.9	16.4	36	1450000	1050000	118
2012	W	48.5	15.3	16.4	38	1640000	1160000	140
2013	W	45.6	12.5	16.4	38	1780000	1250000	155
2014	W	36.2	12	13.4	32	1920000	1320000	144
2015	W	34.3	5	13.4	34	1790000	1230000	146
2016	W	26.2	4.8	13.4	30	1090000	740000	125
2017	W	23.2	3.7	13.4	30	1080000	718000	124
2018	W	24.1	4.9	14	30	1540000	1000000	130
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly, M.W. George, S.M. Jasinski, P.N. Gabby, D.E. Guberman, and C.L. Thomas.
Data are calculated, estimated, or reported.  See notes for more information.
