GOLD STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) gold content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Primary production	Secondary production	Imports	Exports	Shipments	Reported consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	120	NA	NA	NA	NA	33.2	609000	11900000	386
1901	120	NA	NA	NA	NA	35.9	610000	11900000	395
1902	122	NA	NA	NA	NA	41.7	609000	11400000	451
1903	114	NA	NA	NA	NA	43.7	609000	11000000	496
1904	122	NA	NA	NA	NA	43.1	608000	11000000	526
1905	133	NA	NA	NA	NA	50	607000	11000000	575
1906	146	NA	NA	NA	NA	58.9	608000	11000000	608
1907	132	NA	NA	NA	NA	61.3	609000	10600000	623
1908	138	NA	54.2	63	NA	47.4	609000	11000000	668
1909	150	NA	57.7	62.1	NA	56.6	609000	11000000	687
1910	143	NA	73.9	4.67	NA	62.9	608000	10600000	689
1911	146	NA	62.1	9.87	NA	61.4	608000	10600000	699
1912	140	NA	74.9	40	NA	66.2	609000	10300000	705
1913	135	NA	63.6	70.3	NA	69	608000	10000000	694
1914	139	NA	41.7	79.4	NA	54.4	610000	9900000	663
1915	150	NA	99	3.36	NA	54.4	616000	9890000	704
1916	140	NA	794	42.1	NA	75.3	623000	9300000	685
1917	123	NA	628	136	NA	75.9	629000	8000000	631
1918	102	NA	83	12.4	NA	79.8	635000	6870000	578
1919	85.6	NA	75.1	184	NA	115	641000	6040000	550
1920	74.1	NA	517	58.9	NA	120	660000	5370000	507
1921	72.9	NA	808	5.56	NA	72.9	662000	6030000	498
1922	71.3	NA	310	8.46	NA	85.2	667000	6490000	481
1923	74.8	NA	316	30.1	NA	101	664000	6350000	554
1924	76	NA	329	0.41	NA	97.5	665000	6340000	592
1925	71.8	NA	170	160	NA	92.1	664000	6180000	591
1926	69.4	NA	140	14.7	NA	94.8	663000	6110000	602
1927	65.5	NA	159	82.7	NA	85.5	664000	6240000	597
1928	66.8	NA	176	628	NA	85.1	665000	6330000	603
1929	64	NA	264	164	NA	85.6	663000	6310000	609
1930	66.5	NA	111	114	NA	64.2	662000	6470000	648
1931	69.2	NA	299	581	NA	43.9	723000	7740000	695
1932	72.5	NA	408	1080	NA	30.3	665000	7940000	754
1933	71.7	NA	219	127	NA	20.7	847000	10700000	793
1934	86.4	NA	1050	46.9	NA	12.7	1120000	13600000	841
1935	101	NA	1470	1.7	NA	23	1120000	13300000	924
1936	118	NA	1010	24.5	NA	29.3	1120000	13200000	1030
1937	128	NA	1450	40.9	NA	35.2	1120000	12700000	1100
1938	161	NA	1740	5.23	NA	26.8	1120000	13000000	1170
1939	145	NA	3170	0.451	NA	34.5	1110000	13000000	1230
1940	151	NA	3760	0.995	NA	36.6	1090000	12700000	1310
1941	148	NA	872	0.0499	NA	60.4	1090000	12000000	1080
1942	108	NA	280	0.0908	NA	67.3	1090000	10900000	1120
1943	42.4	NA	90.4	21.4	NA	86.1	1090000	10300000	896
1944	31.1	NA	89.3	853	NA	109	1090000	10100000	813
1945	29.7	NA	83.2	176	NA	124	1120000	10100000	762
1946	49	NA	340	197	NA	177	1120000	9320000	860
1947	65.6	NA	1720	157	NA	87.2	1120000	8150000	900
1948	62.7	NA	1720	166	NA	80.1	1120000	7560000	932
1949	62	NA	686	67.5	NA	132	1020000	6970000	964
1950	74.5	NA	145	455	NA	120	1120000	7560000	879
1951	61.6	NA	72.2	546	NA	93.3	1120000	7010000	883
1952	58.9	NA	658	24.4	NA	113	1110000	6830000	868
1953	60.9	NA	41.8	26.6	NA	100	1120000	6830000	864
1954	57.1	NA	33.7	15.4	NA	69.6	1130000	6830000	965
1955	58.5	NA	91.1	5.05	NA	61.1	1130000	6860000	947
1956	56.8	NA	116	22.8	NA	68	1130000	6750000	978
1957	55.8	NA	240	149	NA	69.7	1120000	6510000	1020
1958	54.1	NA	253	27.6	NA	80.9	1130000	6360000	1050
1959	49.9	NA	264	1.54	NA	98.8	1130000	6310000	1130
1960	51.8	NA	290	1.46	NA	115	1130000	6240000	1190
1961	48.2	NA	50.2	689	NA	122	1130000	6160000	1230
1962	48	NA	134	339	NA	140	1130000	6090000	1290
1963	45.2	NA	39.8	181	NA	132	1130000	6010000	1340
1964	45.3	16.1	36.4	376	-114	183	1130000	5930000	1390
1965	53	18	90.4	1140	-146	204	1130000	5840000	1440
1966	56.1	21.2	37.3	406	-174	242	1130000	5680000	1450
1967	49.3	25.3	28.9	893	-195	291	1130000	5530000	1420
1968	46	28	185	745	-57.8	296	1250000	5840000	1440
1969	53.9	28	182	10.5	0	312	1290000	5740000	1450
1970	54.2	26.4	134	3.3	0	272	1130000	4750000	1480
1971	46.5	28.9	196	39.7	0	284	1280000	5170000	1450
1972	45.1	27.7	191	23.8	0	292	1820000	7100000	1390
1973	36.6	23.4	120	18.7	53	265	3040000	11200000	1350
1974	35.1	25.3	82.5	17.7	66.7	205	4970000	16400000	1250
1975	32.7	34.9	82.8	83.6	17.9	208	5020000	15200000	1200
1976	32.6	33.2	82.6	89.5	66.1	222	3900000	11200000	1210
1977	34.2	32.3	139	218	199	228	4610000	12400000	1210
1978	31.1	43	146	171	48.8	243	6020000	15000000	1210
1979	30	52.1	144	513	1.2	239	9560000	21500000	1210
1980	30.2	67.9	141	190	55.5	170	19100000	37700000	1220
1981	42.9	50.1	145	200	36.7	165	14300000	25600000	1280
1982	45.6	55.5	153	92.4	41.4	163	11700000	19800000	1340
1983	62.3	55.5	143	97.6	-6.8	192	13200000	21600000	1400
1984	64.9	55	245	155	11.9	203	11200000	17600000	1460
1985	75.5	49.8	256	123	15.1	182	9880000	15000000	1530
1986	116	47.3	490	155	146	247	11500000	17000000	1610
1987	154	63.8	120	120	95.1	260	14900000	21300000	1660
1988	201	61.4	92.5	328	208	229	13600000	18800000	1870
1989	266	51.9	153	211	132	230	11900000	15600000	2010
1990	294	44	97.5	241	51.5	215	12000000	14900000	2180
1991	294	48.1	179	310	61.6	202	11300000	13500000	2160
1992	330	53.4	174	389	136	219	10700000	12500000	2260
1993	331	66	169	786	582	233	10700000	12700000	2280
1994	327	75	136	469	217	237	12000000	13200000	2260
1995	317	43	140	399	244	245	12000000	12800000	2230
1996	326	44	159	471	373	246	12100000	12600000	2290
1997	362	49	209	477	143	272	10300000	10500000	2450
1998	366	86.3	278	522	310	308	9180000	9180000	2500
1999	341	77.2	221	523	303	323	8710000	8520000	2570
2000	353	40	223	547	356	277	8710000	8250000	2590
2001	335	40.5	193	489	259	233	8470000	7790000	2600
2002	298	38.3	217	257	40	230	9680000	8780000	2550
2003	277	44	249	352	55	225	11300000	10100000	2540
2004	258	45	283	257	3	224	12800000	11000000	2420
2005	256	40	341	324	0	220	13900000	11600000	2470
2006	252	44	263	389	0	211	18800000	15200000	2370
2007	238	66	170	519	189	179	21700000	17100000	2350
2008	233	181	231	567	220	175	27200000	20600000	2300
2009	223	189	320	381	0	173	30300000	23000000	2480
2010	231	198	604	383	0	180	38200000	28500000	2580
2011	234	263	507	474	-4	168	48900000	35400000	2670
2012	235	215	332	692	0	147	52000000	36900000	2690
NA Not available.									
1Compiled by K.E. Porter, E.B. Amey, and M.W. George.									
Data are calculated, estimated, or reported.  See notes for more information.									
